商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
1778354316127684,南宁三叔木地板（华之丽）,2025-08-25 17:08:12,7527622809884675380,想要健康环保的木地板，三叔给你安... #南宁木地板批发 #南宁木地板厂家,2025-07-16 18:21:08,"['冠林木地板', '三叔木地板', '南宁木地板', '南宁木地板批发', '南宁木地板厂家']",南宁三叔木地板（华之丽）,70,23,11,10,"['居家', '装修设计', '家装主材']",家里有老人小孩孕妇的木地板该怎么审则 我是做了31年木地板的三叔。 今天我们就来聊聊木地板。 首先看材质 这块呢是灌零的新石木整新结构的木地板 我用美工刀。 把这板削开里面给你看一下 它里面的结构全部属于实木的 是比较难削的。 你看一下啊 这里没有纸皮 没有命的吧 而且新吧是整新的啊 现在我来再给你演示看一下同价位的其他品牌 他叫西三城 同样把它解剖过来看一下。 这对比这个是灌零的啊 可能是实木结构的 这款呢是同价位其他品牌的。 所以说 灌零地板更质性 家比更加的防水耐磨 防潮 水用安心 说到防水目的吧。 来三叔这块木地板在水里面已经泡了六个月了 它不开裂 不脱尘 不膨胀 这样的木地板它更加的耐用 厨房通风也没有问题 而且。 三叔还给你自保20年 最后我们来看耗度 这两块呢都是不到200块钱价位的。 新实木地板 这块是其他品牌的 新三城 它的耗度基本上在1 2和1 0之间 再看一下灌零的这个 它是1 5的耗度 这样的耗度呢 脚感更好。 这样更加的稳定 同时三叔这里的木地板环保等级都是ena级的 80到2000元借位的都能安排上保送货包安装 而且仓库就在长宾边上 今天切单 明天就能送货到您家安装 我是在南宁 装木地板的三叔 最近您家里专修 如果是要用到。 欢迎跟我聊聊。,https://www.douyin.com/video/7527622809884675380,True,00:01:43,视频,1752661268
1778354316127684,南宁三叔木地板（华之丽）,2025-08-25 17:08:12,7529482640370945315,三房木地板不到三千元搞定#三叔木...地板 #南宁木地板 #南宁木地板厂家,2025-07-21 18:38:14,"['三叔木地板', '冠林木地板', '南宁木地板', '南宁木地板厂家']",南宁三叔木地板（华之丽）,89,66,27,13,"['居家', '装修设计', '家装主材']",我是做了31年木地板的三叔 为了回馈新老粉丝 今天三叔拿出十套新三层石木。 只是2999元 三个卧室搞定 而且品质非常好 同样是黄水黄槽的 包送化包安装 如果你有需要 请在评论区留下木地板三个字。 三叔为你安排。,https://www.douyin.com/video/7529482640370945315,True,00:00:21,视频,1753094294
1778354316127684,南宁三叔木地板（华之丽）,2025-08-25 17:08:12,7532497332388416768,在南宁买木地板，选工厂直营的就对... #南宁木地板批发 #南宁木地板厂家,2025-07-29 21:36:47,"['三叔木地板', '南宁木地板', '南宁木地板批发', '南宁木地板厂家']",南宁三叔木地板（华之丽）,231,46,68,23,"['居家', '装修设计', '家装主材']",在南宁买木地板 找工厂举营店就对了 因为同样的价格在这里你能省到更多款式和更加性价比 我是做了31年木地板的三速 身后就是我们在南宁的木地板餐厅总占地面积1000多平方常年除备有上万平方的现化木地板 只要你有需要三速马上。 我会给你安排 不管你是想找新石木地板 纯石木地板 能自行从100块200块甚至到1000块的都能满足。 先往手里这块布地板。 它能做到防水防潮 泡水不易变形 而且不到200块就能拿下环保级别 更是做到的一恩二母级 不用担心解成问题 我们的掌厅。 就在保利正在市场 三叔的木地板都是包送货包安装在南宁的业主 今天卸单 明天就能送货上门 如果你也想了解木地板 可以到掌厅来三叔带你了解。,https://www.douyin.com/video/7532497332388416768,True,00:00:52,视频,1753796207
1778354316127684,南宁三叔木地板（华之丽）,2025-08-25 17:08:12,7534574332845919523,防水木地板有很多，三叔这里更实惠#...厂家 #南宁木地板批发 #南宁木地板,2025-08-04 11:56:34,"['三叔木地板', '南宁木地板厂家', '南宁木地板批发', '南宁木地板']",南宁三叔木地板（华之丽）,50,7,4,-1,"['居家', '装修设计', '家装主材']",广西的回南田那么多 这里能不能装木地板 我是做了31年木地板的三叔。 这里有我们在水里面泡水几个月的木地板不开裂 不拖沉 不膨胀 同时我们的地板耐用啊 对吧 这把是刚说好刚是说你看。 这个地板在我们的刚说去。 底下它没有任何的痕迹。 这个就是我们上的大样 它是新石木结构的木地板 更加的耐用 更加的防水 更不怕难临的回南天 而且不到200块钱就能把它拿下 除了这一款三叔这里还有纯石木给你选择 同时我们也是惯零木地板 广西总代 也增加了生活节地板。 在南宁 三叔的木地板都是包送货包安装的 而且可以记转记住 最近家里谁要装木地板的 可以来跟三叔聊聊。,https://www.douyin.com/video/7534574332845919523,True,00:00:55,视频,1754279794


=== 商家统计信息 ===
总视频数,4
转录覆盖数,4
转录覆盖率,100.0%
总点赞数,440
总评论数,142
总收藏数,110
总分享数,45
平均点赞数,110.0
平均评论数,35.5
平均收藏数,27.5
平均分享数,11.2
最早发布,2025-07-16 18:21:08
最新发布,2025-08-04 11:56:34
标签数量,3
主要标签,['家装主材', '居家', '装修设计']
商家UID,1778354316127684
商家名称,南宁三叔木地板（华之丽）
文件夹名称,UID1778354316127684_南宁三叔木地板（华之丽）_发布作品
