商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7402518169413373220,南宁投资500万的佛山品牌门窗工厂 ...窗定制 #南宁封阳台 #欧米德资门窗,2024-08-13 15:11:22,"['南宁门窗', '南宁门窗厂家', '南宁门窗定制', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,696,84,296,142,"['居家', '装修设计', '家装主材']",全南宁要封创的业主看过来。 这是我投资500万。 占地6000平。 正宗广东佛山。 欧米德兹门窗品牌工厂。 嗨 大家好。 我是欧米德兹品牌负责人林姐。 那有人问。 你们门窗工厂。 跟南宁其他工厂。 有什么不一样。 好 今天我们来比一比。 第一 比产品。 除了市面上能见到的平开窗。 普通六轨推拉窗。 推拉门。 我们这里还有6.0后的八轨推拉窗。 通风面积可达到三分之二。 主打的一个就是安全超级通风。 并且我们的玻璃。 还有十年内免费更换的服务。 第二 比安装。 我们给中单业主。 全部采用美国安德森的。 五道防水安装标准。 不搞所谓稀头八脑的终身之宝。 消费者直接面对工厂。 真正的享受佛山的产品。 质量和服务。 第三 比实力。 我们工厂6000平。 库存几百吨铝材。 还有2000平的门窗转机。 市面上各时各样的。 门窗款式我们都有。 直接对接工厂。 一平方也给你批发价。 花少钱让你享受。 高品质的门窗和服务。 在蓝陵要风仓的业主朋友们。 欢迎来找我。,https://www.douyin.com/video/7402518169413373220,True,00:01:10,视频,1723533082
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7403250774173617427,6.0壁厚的八轨推拉窗你见过吗 #南...厂家 #南宁门窗工厂 #欧米德资门窗,2024-08-15 14:34:17,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁门窗工厂', '欧米德资门窗']",南宁欧米德资门窗厂,99,4,32,28,"['居家', '装修设计', '家装主材']",2.0后的六轨天拉窗你见多了 你见过6.0后的八轨天拉窗吗 我们这款八轨天拉窗相比传统的天拉窗有以下几点升级。 第一安全性相比2.0 3.0后的这款6.0后的安全性能大大提升 第二通风面积普通六轨天拉窗只。 能打开50%我们这款八轨天拉窗可达到75%的通风面积 夏天的晚上您都可以不用开工条 第三颜值更高。 三扇重叠 没有反手的框扇遮挡 让你的视野更通透 我们还采用的是美国安德森的五道防水安装工艺 您不用再担心露出。 南宁想要风扬他的业主朋友们欢迎来找我。,https://www.douyin.com/video/7403250774173617427,True,00:00:44,视频,1723703657
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7404696557909560602,全南宁通风面积非常大的推拉窗 #南...窗厂家 #南宁封阳台 #欧米德资门窗,2024-08-19 12:04:43,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,81,6,29,21,"['居家', '装修设计', '家装主材']",这个是全蓝灵通风面积非常大的推拉窗了。 我们这款推拉窗的通风面积达到75%超大的通风视野 可以说全蓝灵只有我们人生产。 铝材厚度达到6 0对比传统的2 0 3 0后的推拉窗 安全性能大大提升 我们这款窗装卫。 5米以上的大阳台量身定制 10米长的阳台都不会摇晃 而且我们还采用的是美国安德森的五道防水安装工艺。 您不用再担心漏水问题 蓝林最近准备封阳台的业主朋友们欢迎来找我。,https://www.douyin.com/video/7404696557909560602,True,00:00:34,视频,1724040283
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7405875542085455142,挑战全南宁非常严格的门窗安装标准...窗厂家 #南宁封阳台 #欧米德资门窗,2024-08-22 16:19:37,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,56,2,15,16,"['居家', '装修设计', '家装主材']",挑战全南宁非常严格的门窗安装标准。 今天带大家看一下我们欧米德兹所采用的。 美国安德森的五道防水安装工艺。 第一道防水。 我们会在您装框的地台上刷一道德高防水。 传统的是需要业主自费的。 第二道我们会在窗框底下填塞门窗专用。 防水抗裂沙浆。 这比传统的水泥我们的防水性能更好。 不易开裂。 这边是我们市面上的普通水泥。 现在已经被水浸湿了。 我们右侧采用的是门窗专用的防水沙浆。 现在都是干透透的。 第三我们外侧采用不锈钢防水处理。 不锈钢吧。 不急。 可以防水。 还可以起到美化安全的作用。 时装会老化。 会空谷容易脱落。 第四道我们会在不锈钢板跟窗框之间。 打一道结构防水胶。 防止雨水倒灌。 第五道我们会在玻璃和框架之内填塞微发泡胶。 可以防止玻璃晃动产生的滞暴。 而且防水性能更好。 南宁最近准备封阳台的业主朋友们。 欢迎来工厂找我。,https://www.douyin.com/video/7405875542085455142,True,00:01:05,视频,1724314777
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7406270957351931174,欧米德资门窗参展南宁家博会 一平...窗厂家 #南宁封阳台 #欧米德资门窗,2024-08-23 17:54:05,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,83,4,5,3,"['随拍', '生活记录', '日常vlog']",佛山正宗的品牌门窗就在南宁汇展中心。 粉丝朋友们好。 我们欧米德兹受邀南宁家博会了。 我们欧米德兹是佛山正宗品牌门窗工厂。 工厂直接对接业主。 一平方米是批发价。 8月23至25号。 我在B1展区186号等您。,https://www.douyin.com/video/7406270957351931174,True,00:00:18,视频,1724406845
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7405876013126798618,10米阳台都不会晃动的八轨推拉窗 #...窗厂家 #南宁封阳台 #欧米德资门窗,2024-08-24 12:25:00,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,114,1,12,6,"['居家', '装修设计', '家装主材']",为什么我们这款八轨推拿窗可以做到10米的阳台都不晃动。 第一 我们的铝材采用6.63-T5的原生铝。 厚度达到6.0。 台风来了都稳如泰山。 第二 我们的铝材宽度有21公分。 传统的推拿窗只有十几公分。 那么材料越宽稳度越好。 而且我们采用的是美国安德森的五道防水工艺。 您不用再担心漏水问题。 来您最近准备丰阳台的业主朋友们。 欢迎您在评论区留下您的小新闻。,https://www.douyin.com/video/7405876013126798618,True,00:00:31,视频,1724473500
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7407761291265232178,南宁本地的价格买到正宗的佛山门窗...窗厂家 #南宁封阳台 #欧米德资门窗,2024-08-27 18:17:19,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,747,124,261,63,"['居家', '装修设计', '家装主材']",南宁本地的价格也能买到佛山正宗的品牌门窗。 你敢相信吗。 这里是佛山欧米德兹门窗。 在广西六千平方的门窗工厂。 大家好。 我是宁姐。 今天带大家看一下我们的门窗工厂。 这是我们的开料区。 我们的门窗都是国际高精密机器切出来的。 这边是。 我们的拼组区。 宁家的门窗就是在这里拼组出来的。 这是我们的打包区。 我们的门窗都是采用加厚的打包膜进行打包。 避免在运输的过程中产生刮伤。 这边是我们的成品区。 都是准备要发货的。 这一片都是我们即将要发走要去安装的。 这一片都是我们的女才区。 我们的女才的快乐。 库存有好几百吨。 这是我们2000平的门窗展厅。 我们除了市面上流行的六轨推拉窗。 平开窗。 还有这款6.0厚通风面积达到75%的八轨推拉窗。 安全通风视野一把刷。 南宁最近准备封阳台的业主朋友们。 欢迎来工厂找我。,https://www.douyin.com/video/7407761291265232178,True,00:00:59,视频,1724753839
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7408869304126426406,家博会结束啦 业主们最喜欢我们这...窗厂家 #南宁封阳台 #阿铝八八门窗,2024-08-30 17:57:06,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '阿铝八八门窗']",南宁欧米德资门窗厂,12,-1,1,5,"['居家', '装修设计', '家装主材']",前几天我们参加了南宁家破会。 已经顺利结束了。 感谢朋友们对我们的所有的支持。 那么在展会现场。 最受欢迎的就是我们这款八轨推拉窗。 10米的阳台。 在高楼层上也不用担心摇晃安全问题。 第三 三扇重叠。 没有多余的框扇遮挡 颜值更高。 错过了家破会也没关系。 来找临姐封窗。 一平方还是给你批发价。 我们的工厂就在快环间的市场对面。 最近准备封阳台的业主朋友们。 欢迎来找我。,https://www.douyin.com/video/7408869304126426406,True,00:00:38,视频,1725011826
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7409983490252377381,我们的门窗全广西包配送包安装 #南...窗厂家 #南宁封阳台 #欧米德资门窗,2024-09-02 18:00:37,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,10,1,2,1,"['居家', '装修设计', '家装主材']",有粉丝问我 你们宾阳包安装吗 那我跟你说 我们欧米得知 针对全广西所有的县城及市里面都是可以包安装包配送的。 不仅如此 我们欧米得知所有的产品都是终身之宝 并且给大家采用的都是美国安德森的五道防水安装工艺 您再也不用担心漏水问题。 更重要的是我们产品质量有保障 我们这里除了市面上流行的各类门窗以外 还有6 0b后 通风面积达到75%的八轨配搭窗。 可以做到10米的阳台都不晃动 来 您最近准备封阳台的业主朋友们欢迎来找我。,https://www.douyin.com/video/7409983490252377381,True,00:00:37,视频,1725271237
1766274232759290,南宁欧米德资门窗厂,2025-08-25 17:02:44,7410727418937363750,8月总结 #南宁门窗 #南宁门窗定制 ...窗厂家 #南宁封阳台 #欧米德资门窗,2024-09-04 18:07:32,"['南宁门窗', '南宁门窗定制', '南宁门窗厂家', '南宁封阳台', '欧米德资门窗']",南宁欧米德资门窗厂,13,2,1,-1,"['居家', '装修设计', '家装主材']",8月份已经过去了。 我们这个月服务的中单业主有400多位。 其中有50%的都是抖音粉丝过来的。 其中包括我们青山福小区。 西元 建发养院等。 在兰宁这边的话。 我们基本上是每个小区都有我们的一个封城案例。 粉丝朋友们除了喜欢我们这款。 还有我们这款。 无缝焊接工艺的落地平开窗。 这款无缝平开窗采用2.0B后的铝材。 6个枪底结构。 并且在沉重位加厚了。 变成了4.0。 可以承受几千斤。 高楼层风大玻璃。 台风来了都稳如泰山。 我们的沙扇和波扇都采用无缝工艺。 不用担心善业解体 高空坠落。 并且隔音隔热防水效果更好。 颜值更高。 兰宁这间准备封阳台的夜总朋友们。 欢迎来工厂找我。,https://www.douyin.com/video/7410727418937363750,True,00:00:50,视频,1725444452
