商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7520475509092846887,在广西想花实惠的价格买到高品质的...喜临门床垫 #金可儿床垫 #南宁床垫,2025-06-27 12:06:13,"['大牌床垫', '席梦思', '喜临门床垫', '金可儿床垫', '南宁床垫']",南宁法拉雅-床垫批发,201,88,71,38,"['居家', '家具家电', '家纺']",大牌船店动辄万八千。 但你绝对想不到。 大牌平地船店价格能有多低。 各位业主朋友们。 我叫阿飞。 是法拉雅软装品牌的创始人。 在广西做软装批发已经25年了。 这个就是我自己买的。 工厂掌厅四千多平方。 我是跑不掉的。 在我这边买任何东西。 都可以。 在我们的工厂掌厅。 你可以看到各种各样的大牌。 船店要软的有软的。 要硬的有硬的。 要适中的有适中的。 等你来试试。 同样的品质。 同样的材料。 同样的设计。 但价格只需要原版的三分之一。 没有品牌一价。 没有任何套路。 完完全全只有。 四大时的性价比。 想找性价比超高的大牌船店。 来我法拉雅逛一逛。,https://www.douyin.com/video/7520475509092846887,True,00:00:47,视频,1750997173
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7521689197931285817,大牌平替床垫，同品质同做工，价格直...喜临门床垫 #席梦思床垫 #南宁床垫,2025-06-30 18:35:39,"['大牌床垫平替', '金可儿床垫', '喜临门床垫', '席梦思床垫', '南宁床垫']",南宁法拉雅-床垫批发,69,22,10,9,"['居家', '家具家电', '家纺']","今天我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们就先到这里了。 我们有4000平的展厅。 我们有4000平的展厅。 我们只做大排平地的床垫。 只为客户达到更安心的睡眠。 朋友们,买床垫真的别再当越纳头了。 花小钱真的是能睡出万元之感的。 来我们法拉雅,你真的不亏。 我们的工厂就在火车东站附近。 欢迎您随时过来试睡。",https://www.douyin.com/video/7521689197931285817,True,00:00:47,视频,1751279739
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7523132634856181001,预算不足又想买高品质的大牌床垫，...南宁床垫 #床垫大牌平替 #家居软装,2025-07-05 18:00:00,"['大牌床垫', '南宁床垫', '床垫大牌平替', '家居软装']",南宁法拉雅-床垫批发,30,5,5,3,"['居家', '家具家电', '家居用品']",在我家买过船店的客户 总是推荐朋友来。 这到底是为什么呢。 因为在咱们这里能直接买到同品牌 同质感 同原料 同工艺的大品牌船店。 为您解决多维度的睡眠体验。 而且我们公司的理念一直秉承的就是为大家省钱 只做大牌船店的。 比如这款明星同款的马尾包垂手狗茶店 在外面十几万甚至几十万。 在我这里只要一万出头就可以带走 最近家里需要买大牌船店的朋友们 不妨来我这里看一看。,https://www.douyin.com/video/7523132634856181001,True,00:00:33,视频,1751709600
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7529496460870700334,各种大牌床垫，价格只要2到3折，睡眠...来看看#大牌床垫 #床垫 #南宁床垫,2025-07-21 19:32:03,"['大牌床垫', '床垫', '南宁床垫']",南宁法拉雅-床垫批发,7,1,5,-1,"['居家', '家具家电', '家居用品']",你知道百变的床垫吗。 这款床垫。 一层舒适层。 一层乳胶垫。 一层小弹簧。 一层3D材质。 底下是1800个独立带弹簧。 软硬任力调节。 这款床垫外面大几万。 在我们这里仅需3000块。 还可以随时。 洗凝膜云朵睡感床垫。 市场价过万。 在我们这里仅需2188。 老妹老妹起床了。 全智能拉底法床垫。 市场七八万。 在我们这里只需要八千。 金摩尔卷包床垫。 永不塌边。 市场价过万。 在我们法拉雅仅需。 1600。 同样的品牌原料。 同样的工艺质感。 但价格在我们这里。 却非常有优势。 虽然位置比较偏。 但是展厅非常大。 有4000方的展厅。 各种大牌同款的床垫。 这里都能看得到。 我们是自己的品牌。 直接跟大品牌。 生产厂家合作。 没有品牌一家。 所有大牌床垫的价格。 在我们这里只用。 两到三折。 就可以轻松带走。 如果您在广西。 正在需要选床垫的时候。 欢迎到我们法拉雅。 过来看一看。,https://www.douyin.com/video/7529496460870700334,True,00:01:16,视频,1753097523
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7532820409494900008,超多人喜欢的多功能床垫，符合多数...南宁床垫 #法拉雅软装 #床垫 #软装,2025-07-30 18:30:52,"['南宁床垫', '法拉雅软装', '床垫', '软装']",南宁法拉雅-床垫批发,6,3,1,1,"['居家', '家具家电', '家纺']",这是我们自己的品牌。 全部可以拆卸的。 你们家传的是不是。 粘了都不好洗。 对。 这个可以全部掀开。 对。 这个是什么。 糖黄吗。 这个是2000个糖黄。 这叫万能传的。 你们想要睡硬的。 这个叫3D神。 把这3D神调到上面来。 这个传就变硬了。 你要想软的。 你就是跟这个。 把乳胶垫放前面。 你们自由选择。 可以变化的传。 把这个打开。 七驱独立。 为什么有不同的颜色。 就是你脚这个位置。 是比较轻的。 它这个糖黄就硬一点。 你屁股的位置。 这个位置是突出的。 它就会软一点。 它会跟着你S型的变化。 这个传电在很多大牌。 是要卖过十万的。 在我们这几千块。 这么便宜。 我们自己生产的。 传电没有那么复杂的。 这个可以换机器吗。 可以机器。 最容易粘的是不是这个。 这个面拆下来洗。 太久了是不是想把它晒一下。 可以拿出去晒一下。 把这个脱下来洗。 两样东西。 两样。 三样。 四样。 五样。 抗菌防码。 这还有这个。 对。,https://www.douyin.com/video/7532820409494900008,True,00:01:15,视频,1753871452
1038419972071688,南宁法拉雅-床垫批发,2025-08-16 12:20:02,7536172234709191987,"大牌工厂床垫，高品质，只要999,就能... #南宁床垫 #法拉雅软装 #大牌床垫",2025-08-08 19:17:21,"['金可儿床垫', '南宁床垫', '法拉雅软装', '大牌床垫']",广西法拉雅软装工厂,6,1,2,-1,"['居家', '家具家电', '家纺']",金宝崖大牌船店只要三分钟就可以带回家。 我是阿飞。 在南宁一年卖出一万张船店的男人。 不知道怎么选船店的朋友看过来。 这款后脊后腰的船店您喜欢吗。 我们法拉雅这款船店是大厂合作生产的。 主料采用抗菌防码的蹄花真质面料。 变成采用。 采用热压无胶环保液液中。 德国邦尼尔猛干大型弹簧。 更加呵护您的健康睡眠。 这面料。 这花型。 这工艺。 透气性。 杠杠的。 夏天躺下去更加的超级舒服。 剩下的我也不多介绍了。 需要买船店的朋友们。 真的要亲自到我展厅睡一睡。,https://www.douyin.com/video/7536172234709191987,True,00:00:40,视频,1754651841
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7537640985233313075,欢迎广西各位设计师们过来喝茶#南宁床垫 #法拉雅软装 #大牌床垫,2025-08-12 18:17:01,"['南宁床垫', '法拉雅软装', '大牌床垫']",南宁法拉雅-床垫批发,7,1,3,-1,"['居家', '家具家电', '家居用品']",广西装修设计的大师们。 现在有没有好消息告诉您。 您每次给客户挑选高品质的船品及船店。 是不是总是要跑管动佛山呢。 现在不用了。 我们法拉雅生产的船链。 全部是跟佛山大牌工厂合作生产的船店。 价格跟佛山的出产价是一致的。 我们所有的船。 都是原创大师设计的。 每个船品都有专利。 别人反吧。 我们是可以去告他清缺的。 就好像这个旋浮船。 阿斯顿马丁的船品。 我们都一比一复刻。 靠包流皮。 是可以跟客户承诺。 可以割下来煮的吃。 而且我们4000平方的工厂展品。 随时恭候您带客户过来。 船店可以根据客户需求来定制。 我开店你赚钱。 我们一起合作共赢。,https://www.douyin.com/video/7537640985233313075,True,00:00:46,视频,1754993821
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7540961808476097842,大牌工厂床垫，高品质，只要999，就能... #南宁床垫 #法拉雅软装 #大牌床垫,2025-08-21 17:03:16,"['金可儿床垫', '南宁床垫', '法拉雅软装', '大牌床垫']",南宁法拉雅-床垫批发,3,-1,1,-1,"['居家', '家具家电', '家纺']",金宝艾大牌船店。 只要三分钟就可以带回家。 我们法拉雅这款船店。 是大厂合作生产的。 主料采用抗菌防满的蹄花真质面料。 变成采用热压无胶防保液中。 德国邦尼尔猛干大型弹簧。 更加呵护您的健康睡眠。 特面料。 这花型 这工艺 透气性 杠杠的。 夏天躺下去更加的超级舒服。 剩下的我也不多介绍了。 需要买船类的朋友们。 真的要亲自到我展厅睡一睡。,https://www.douyin.com/video/7540961808476097842,True,00:00:31,视频,1755766996
1038419972071688,南宁法拉雅-床垫批发,2025-08-25 16:49:55,7541348438068169994,今天突击拜访一下跟我们法拉雅合作...簧 #弹簧工厂 #南宁床垫 #南宁软装,2025-08-22 18:03:39,"['床垫工厂', '床垫弹簧', '弹簧工厂', '南宁床垫', '南宁软装']",南宁法拉雅-床垫批发,4,-1,1,-1,"['随拍', '生活记录', '日常vlog']",今天我们去看看独立弹簧。 是怎么生产的。 工艺是怎么做到的。 你好。 现在到弹簧厂了。 带大家来看看这个弹簧厂的一套流程。 到底它还不还保。 有没有浇水。 你们工厂用这个弹簧。 是在哪个钢材厂采购的。 我们用的是。 国内知名大牌的。 很多都用到这个钢丝是吗。 是的。 整个流程就是钢丝先来。 然后上架子。 然后上麒麟机器。 麒麟机器就是直接把那个弹缓出来是吧。 打出来之后就一个个包布。 包出来这样就像这个。 粘胶机。 它粘的是什么。 叶溶胶。 把每个的弹簧包好之后。 再用热溶胶给它粘住整张传网。 这里从原材料到成品。 拥有非常完整的生产线。 做出来的工艺更精细。 价格也更实惠。 我今天检查过了。 是零胶水零甲权的。 我们法拉雅一直比证的精英理念就是要。 坚持做传电厂家的搬运工企业。,https://www.douyin.com/video/7541348438068169994,True,00:01:05,视频,1755857019


=== 商家统计信息 ===
总视频数,9
转录覆盖数,9
转录覆盖率,100.0%
总点赞数,333
总评论数,119
总收藏数,99
总分享数,46
平均点赞数,37.0
平均评论数,13.2
平均收藏数,11.0
平均分享数,5.1
最早发布,2025-06-27 12:06:13
最新发布,2025-08-22 18:03:39
标签数量,7
主要标签,['居家', '生活记录', '家具家电', '日常vlog', '家居用品', '家纺', '随拍']
商家UID,1038419972071688
商家名称,南宁法拉雅-床垫批发
文件夹名称,UID1038419972071688_南宁法拉雅-床垫批发_发布作品
