商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7149446942618078503,欢迎业主们来参观#南宁全屋定制 #全屋定制 #全屋定制工厂,2022-10-01 15:45:42,"['南宁全屋定制', '全屋定制', '全屋定制工厂']",南宁浩枫全屋定制工厂,677,242,82,73,"['随拍', '生活记录', '日常vlog']",在南宜渡全屋定制柜子。 怎样找渠道。 其实对决工厂更划算。 更有保障。 从设计我们全程服务。,https://www.douyin.com/video/7149446942618078503,True,00:00:22,视频,1664610342
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7150171972490546444,带你们参观一下我们的全屋定制工厂...全屋定制 #全屋定制工厂 #定制衣柜,2022-10-03 14:39:09,"['南宁全屋定制', '全屋定制工厂', '定制衣柜']",南宁浩枫全屋定制工厂,701,154,61,88,"['居家', '装修设计', '家装主材']",全屋定制的衣柜是怎么生产出来的。 今天带大家参观一下我们后逢定制的生产流程。 这是我们的摆台存储区域。 你们家庭库的摆台会存储在这里。 这是我们的助控开料区。 你们定制的柜子会按照设计图纸在这里开料。 这边是我们QR的封别区域。 生产的。 如果需要找全屋定制的衣柜欢迎来到我们工场参观。,https://www.douyin.com/video/7150171972490546444,True,00:00:39,视频,1664779149
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7150975374082510118,欢迎你们来参观#南宁全屋定制 #全屋定制工厂 #定制衣柜 #全屋定制,2022-10-05 18:36:49,"['南宁全屋定制', '全屋定制工厂', '定制衣柜', '全屋定制']",南宁浩枫全屋定制工厂,138,37,18,23,"['随拍', '生活记录', '日常vlog']",在南宁做全屋定制 为什么要找本地工厂 第一 同样的板材工艺 本地厂的没有大品牌 广告费用更实惠 第二 我们的工厂在南宁没有中间商和长途的运输费用 方便参观 售后更快捷 第三 我们的设计更符合南宁的习惯 不会水土不服 如果你想订柜子。 欢迎来场去参观。,https://www.douyin.com/video/7150975374082510118,True,00:00:21,视频,1664966209
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7151751217373383939,如何判断一个全屋定制工厂靠不靠谱...定制衣柜 #全屋定制工厂 #全屋定制,2022-10-07 20:47:27,"['南宁全屋定制', '定制衣柜', '全屋定制工厂', '全屋定制']",南宁浩枫全屋定制工厂,118,15,10,20,"['居家', '装修设计', '家装主材']",如何判断一个全无地质工厂靠不靠谱。 一 看它的生产量和出货量。 出货量大。 代表着生产运营稳定。 不容易出错。 第二 看它的工艺是否达标。 板材是否切割了瓶子。 会不会出现崩边。 还有逆交的情况。 第三 看它的板材不符合法宝标准。 是否能出意。 小女子检测报告。,https://www.douyin.com/video/7151751217373383939,True,00:00:21,视频,1665146847
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7152480019892423949,不喜欢卫生间对着床怎么办？可以这...间#全屋定制 #全屋定制工厂 #装修,2022-10-09 19:55:58,"['全屋定制', '全屋定制工厂', '装修']",南宁浩枫全屋定制工厂,96,22,16,9,"['居家', '装修设计', '室内装修效果']",不喜欢卫生间对床的衣帽间可以这样做。 这边做的是一组开放区加灯带。 方便我们利用开关。 两边做的是闪电拿手的衣柜门。 外面加一个屏开门。 变成了隐藏式的衣帽间。 这边可以做开放区放小朋友的玩具。,https://www.douyin.com/video/7152480019892423949,True,00:00:19,视频,1665316558
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7153204454622383367,入户鞋柜怎么做好看实用#鞋柜设计 #全屋定制,2022-10-11 18:46:57,"['鞋柜设计', '全屋定制']",南宁浩枫全屋定制工厂,81,11,7,6,"['居家', '装修设计', '室内装修效果']",入户鞋柜怎样做极好看又实用。 今天来到观丽兴府院看一套鞋柜。 这边是镂空的加嵌入式的灯带。 镂空处可以放随手的物品。 下柜做的是一个45度斜边的免拉手工艺。 抽屉也是45度免拉手工艺。 进门的右手边做了一个开方格的换鞋区。 下柜是悬孔。 整排是免拉手。 主入柜这边搞的是一个圆角的穿插柜。 用的是一个木色更文心。,https://www.douyin.com/video/7153204454622383367,True,00:00:27,视频,1665485217
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7153961517367430431,装修儿童房小可以这样做#儿童房装修 #儿童房设计 #全屋定制 #榻榻米,2022-10-13 19:44:43,"['儿童房装修', '儿童房设计', '全屋定制', '榻榻米']",南宁浩枫全屋定制工厂,88,26,61,45,"['居家', '装修设计', '室内装修效果']",不足六平的儿童房 怎样打造。 进门的左手边做了衣柜。 衔接榻榻米。 上柜做的是远拉手的衣柜。 床头做了一个开放区。 开放区域还可以做一个超大的储物空间。 榻榻米下柜做抽屉。 超大的储物空间。 这边做了一个梳妆台。 小朋友可以写作业。 床位。 延伸台面板可以放书籍。,https://www.douyin.com/video/7153961517367430431,True,00:00:22,视频,1665661483
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7154722099892964622,电视背景墙怎么做温馨有格调？带你...浮电视柜 #全屋定制#全屋定制柜子,2022-10-15 20:56:16,"['电视背景墙', '悬浮电视柜', '全屋定制', '全屋定制柜子']",南宁浩枫全屋定制工厂,103,24,21,7,"['居家', '装修设计', '室内装修效果']",悬浮电视柜怎样做更有格调。 首先做一组倒顶的开放格。 悬街木设的悬浮电视柜。 中间的插座位做了一个四方板门。 储物插座。 靠空调位置做了一个薄圆角的处理。 避免小孩磕碰。 下面成板加有灯带更温馨。,https://www.douyin.com/video/7154722099892964622,True,00:00:18,视频,1665838576
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7155457911987309837,整面墙的餐边柜怎么做好看？#餐边柜...屋定制 #餐边柜设计#全屋定制柜子,2022-10-17 20:31:38,"['餐边柜', '全屋定制', '餐边柜设计', '全屋定制柜子']",南宁浩枫全屋定制工厂,65,16,7,10,"['居家', '装修设计', '室内装修效果']",整面墙的产品柜怎样做更好看。 这边做的是一组倒顶的储物柜。 这边配的是玻璃门。 加感应灯带。 中间镂空做开放格。 下面做的是免烂手工艺。 加抽屉。 边上配的是一组带感应灯带的。 Taboo玻璃门。,https://www.douyin.com/video/7155457911987309837,True,00:00:16,视频,1666009898
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7156189574627085579,这样的电视背景墙你喜欢吗？#南宁全... #全屋定制 #定制衣柜 #电视背景墙,2022-10-19 19:50:30,"['南宁全屋定制', '全屋定制', '定制衣柜', '电视背景墙']",南宁浩枫全屋定制工厂,75,18,7,5,"['居家', '装修设计', '室内装修效果']",今天来到荣固书乡门地。 掩守一套门墙柜一体的落地方案。 这位爷子是通过抖音相识。 在经过多家对比之后。 这种选择我们带你们去看一下。 整体的方案选用了深色的木纹柜体。 当进口克洛斯邦杨荣飞的青涩风格。 电视背景墙运用。 玻璃柜结合一台电视柜背景墙。 搭配访源版的幕式面。 衔接隐形门。 这边衔接餐边柜。 整个餐边柜运用的是。 免拉手的设计。 满满的高级感。,https://www.douyin.com/video/7156189574627085579,True,00:00:40,视频,1666180230
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7158018687591517447,隐形门设计-让墙面更协调美观#全屋... #南宁全屋定制#隐形门#电视背景墙,2022-10-24 18:08:31,"['全屋定制', '南宁全屋定制', '隐形门', '电视背景墙']",南宁浩枫全屋定制工厂,54,11,1,1,"['居家', '装修设计', '室内装修效果']",电视背景墙旁边有门。 怎样衔接更美观。 传统木门整体性不协调不美观。 现在流行这样设计。 运用隐形门。 衔接电视背景墙。 整体性更美观更协调。,https://www.douyin.com/video/7158018687591517447,True,00:00:14,视频,1666606111
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7159166132497255694,居家风格衣帽间，一眼就让人沦陷，你...#衣帽间 #南宁全屋定制#衣帽间设计,2022-10-27 20:21:18,"['全屋定制', '衣帽间', '南宁全屋定制', '衣帽间设计']",南宁浩枫全屋定制工厂,65,11,2,5,"['居家', '装修设计', '室内装修效果']",全屋定制 怎样打造出一个超大的衣帽间。 今天我们来幸福院看一户已经装好的落地效果。 进门的右手边做的是一个开放区。 下面两个抽屉。 这里可以挂一些可以随取的衣物。 这边衔接的是一门到底免了手工艺的衣帽间衣柜。 做的是一个反扣。 两层脚链。 锅道做了一面全神镜。 加灯带。 这边衔接的是一个超大的U字型衣帽间。 上柜是放被子。 下柜是做分段的平开门。 上下分开更实用。 这边配一组茶色的玻璃门。 做点缀。 整个衣帽间。 会更漂亮。 这边利用飘窗做了一个化妆台。 下面带两个抽屉。 可以放超多的首饰柜。 右边做的是一组展示柜。 配的也是茶色玻璃门。 上柜我们可以存储一些书籍。 开放区域可以放我们的附附品。,https://www.douyin.com/video/7159166132497255694,True,00:01:00,视频,1666873278
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7160632031402151168,全屋定制的柜子测量时间为什么要和...制 #装修 #全屋定制 #全屋定制工厂,2022-10-31 19:09:31,"['南宁全屋定制', '装修', '全屋定制', '全屋定制工厂']",南宁浩枫全屋定制工厂,42,3,10,7,"['居家', '装修设计', '装修过程']",我一直都在讲做全屋定制。 一定是设计粮尺跟水电是同步的。 这位业主的衣帽间。 侧边是要做一组玻璃柜。 但是玻璃柜一定是要求有灯带的。 可是现场的话是没有灯带线。 现在面临的就是要从这里开一条巢瘾。 所以说你在订柜子的时候。 一定是水电同步。 不能等到挂完栗子了才说。 我要去订柜子。 这样就很麻烦。,https://www.douyin.com/video/7160632031402151168,True,00:00:31,视频,1667214571
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7161084633696750861,利用飘窗做了榻榻米，节省空间又实...定制 #榻榻米 #飘窗 #南宁全屋定制,2022-11-02 00:25:59,"['全屋定制', '榻榻米', '飘窗', '南宁全屋定制']",南宁浩枫全屋定制工厂,23,4,7,4,"['居家', '装修设计', '室内装修效果']",怎样利用漂窗做出一个超大储物的儿童房。 利用漂窗做了一个榻榻米。 下面是超大的储物空间。 床头柜这边延伸了一个超大的储物空间。 这边衔接的是衣柜。,https://www.douyin.com/video/7161084633696750861,True,00:00:20,视频,1667319959
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7163851258757991687,今天带大家看一下我2000的全屋定制... #南宁全屋定制工厂 #全屋定制板材,2022-11-09 11:21:53,"['源头实力厂家', '全屋定制', '南宁全屋定制', '南宁全屋定制工厂', '全屋定制板材']",南宁浩枫全屋定制工厂,450,96,33,30,"['居家', '装修设计', '家装主材']",今天带大家来看一下我们2000多坪的船屋订制工厂。 南京的朋友大家好。 我身后就是船屋订制的工厂。 我们有进口 博产等众多板材。 和200多个花色共您挑选。 滑倒我的朋友 路过的朋友。 欢迎前来喝茶。,https://www.douyin.com/video/7163851258757991687,True,00:00:25,视频,1667964113
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7164710763142139167,大家好，我叫余军，江西人，目前经营... #源头实力厂家 #全屋定制衣柜橱柜,2022-11-11 18:57:06,"['全屋定制工厂', '全屋定制', '南宁全屋定制', '源头实力厂家', '全屋定制衣柜橱柜']",南宁浩枫全屋定制工厂,83,28,11,47,"['随拍', '生活记录', '日常vlog']",在南宁做条物定制。 为什么选择本地工厂。 第一 工厂执运省去了店铺的租金费用。 降低运营成本的同时。 还为你省下一笔不小的合作费用。 我们的工厂在南宁没有中间商和常服务流费用。 我们的同城售后安装服务也更快捷。 我们工厂板材存量大 花色选择多。 洋房 设计 安装一步到位。 为您节省不少的装修时间。 我们从事定制行业十年。 经验丰富 设计师一对一的服务。 面对面的沟通。 根据您家的复型和需求。 个性化定制。 做到您满意的定制方案。 我是渔君 需要定制的朋友。 私信关注 定制不迷路。,https://www.douyin.com/video/7164710763142139167,True,00:00:44,视频,1668164226
4341298114855684,南宁浩枫全屋定制工厂,2025-08-25 16:42:45,7165815858432904489,南宁准备做柜子的业主，为什么要建... #南宁全屋定制工厂 #南宁定制衣柜,2022-11-14 18:25:27,"['南宁装修', '南宁全屋定制', '南宁全屋定制工厂', '南宁定制衣柜']",南宁浩枫全屋定制工厂,139,58,23,33,"['居家', '装修设计', '家装主材']",很多业主不知道。 做柜子为什么要来工厂看一看。 板台煮是其中的一个环节。 就和大家用相同的食材。 做出来的菜。 味道会有相差万别。 一样的道理。 我们的板子也是一样。 工编好不好。 来看看我们的食物。 眼见为实。 更何况是环节这么多的。 定制柜子。 您可以来工厂看一看。 看看板材。 看看加工过程。 到底能做什么。 可以做成什么样。 一目了然。 有更好的了解。 全屋定制呢。 就是一个细节决定成败的行业。 几个毫米的相差。 都有可能导致整个柜子的翻车。 我们的六边转。 定位精准。 物质。 可以控制在30个师以内。 选择一个有经验。 又靠谱的工厂。 让您在装修过程。 有着非常棒的体验。 我是于君。 全屋定制。 自信关注。 定制不迷路。,https://www.douyin.com/video/7165815858432904489,True,00:00:52,视频,1668421527
