商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7517110357551320347,海帝门窗，只做高品质智能门窗 #海...南宁门窗厂家 #门窗厂家 #门窗定制,2025-06-18 10:28:08,"['海帝门窗', '南宁门窗厂家', '门窗厂家', '门窗定制']",南宁海帝门窗（富安居展厅）,178,63,55,52,"['居家', '装修设计', '家装主材']",AI的时代已经到来。 民家的门窗应该也由。 智能机器人生产。 我是海地旗舰店负责人。 阿豪 现在让我带你们来看一下。 我们位于南宁市。 海地智能门窗生产基地。 全系使用4.0智能门窗生产线。 投资近2个亿。 占地7万亿。 切割加工。 全部由智能设备完成。 工艺更精准。 效率更高。 我们从2012年开始做门窗。 一直致力于工装行业。 为大型房企供货。 现在成立海地家装品牌。 进入家装行业。 我们不惜重金引进门窗生产设备。 就是让每一扇窗都更耐用。 更隔音 更安全。 这是我们的材料储备区。 这边是我们的巨切中心。 激光划线。 切割打孔。 全部包办。 这台是我们的自动激光切网机。 由它剪出来的纱网。 会更加精细。 我们不仅能做传统屏开窗。 推拉窗。 还能订制智能升降窗。 重型推拉门。 15天就能完成生产安装。 比传统的。 我们不计投入。 只会给您家的门窗多一份质量保证。 有需要工装的业主朋友们。 请联系我。,https://www.douyin.com/video/7517110357551320347,True,00:01:09,视频,1750213688
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7517605455284145435,门窗就要买对的，千万不能买贵了 #...南宁门窗厂家 #门窗厂家 #门窗定制,2025-06-19 18:29:10,[],南宁海帝门窗（富安居展厅）,52,19,13,4,"['居家', '装修设计', '家装主材']",在广西 门窗可以买贵的。 但是千万不能买贵的。 我们是专业在南宁生产。 智能门窗的实力厂家。 拥有完整的四等零门窗生产设备。 从切割 组装 调式 一条龙生产。 被您的产品 导降护航。 我们主要生产。 平开窗 提升窗 高移窗 推拉窗 填补窗。 还有推拉门 连动门等。 我们还根据您的要求。 给您订制所需要的产品。 如果你们家装修需要到高品智能窗。 来海地找阿浩帮你安排。,https://www.douyin.com/video/7517605455284145435,True,00:00:28,视频,1750328950
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7519095784567098635,欢迎大家过来我们海帝门窗旗舰店逛...门窗厂家 #南宁门窗 #南宁封窗厂家,2025-06-23 18:52:34,"['海帝门窗', '南宁门窗厂家', '南宁门窗', '南宁封窗厂家']",南宁海帝门窗（富安居展厅）,43,14,7,6,"['居家', '装修设计', '家装主材']",经历了小半年。 花了300万。 我们南宁海地门窗旗舰店。 终于隆重开业。 看看我们的产品全不全。 这是我们128六轨悬浮推拉窗。 这款是我们128观景推拉窗。 这款是我们的110漂移窗。 这款是我们的130电动中载推拉门。 这款是我们的几载联动门。 这款是我们的120电动平开窗。 这款是我们的电动提升窗。 这个是我们的平开窗。 作为广西的本土品牌。 海地注意门窗。 不只是产品上的升级。 更是给您带来生活上的美好体验。 欢迎到我们的店。 阿浩一定亲自接待你。,https://www.douyin.com/video/7519095784567098635,True,00:01:05,视频,1750675954
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7520862313197440319,南宁封窗的业主一定要看的门窗厂 #...门窗厂家 #南宁门窗 #南宁封窗厂家,2025-06-28 13:07:14,"['海帝门窗', '南宁门窗厂家', '南宁门窗', '南宁封窗厂家']",南宁海帝门窗（富安居展厅）,47,1,3,-1,"['居家', '装修设计', '家装主材']",在南宁买门窗。 为什么要选择我们的海地门窗。 保证门窗在使用的过程中安全无忧。 最后我们的企业实力。 我们在滨洋拥有7万平方米的现代化生产基地。 全套采用工业4.0智能生产线。 在南宁最近需要到封窗的朋友。 一定要到我们的展厅看一看。,https://www.douyin.com/video/7520862313197440319,True,00:00:36,视频,1751087234
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7521930162628316425,这么多好门窗都五五折，不要错过啦 ...家 #南宁门窗厂家 #南宁封阳台厂家,2025-07-01 10:10:50,"['海帝门窗', '南宁封窗厂家', '南宁门窗厂家', '南宁封阳台厂家']",南宁海帝门窗（富安居展厅）,34,16,10,1,"['居家', '装修设计', '家装主材']",南宁的朋友别活走。 我们海地门窗新店开业。 全场55折。 不管你看上的是我们家的。 断桥屏开窗。 视野通透的窄边推拉门。 还是悬浮推拉窗。 全部直接打55折。 老板说了。 开业价拿出我们的诚意。 这个价格一年只敢放一次。 而且我们不完熄了所有的产品。 都是工厂职工2.0原生旅。 标配好博物经。 品质和售后都有保障。 想安装好门窗的朋友赶紧过来。 完了这个折扣就没有了。,https://www.douyin.com/video/7521930162628316425,True,00:00:30,视频,1751335850
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7522424562982620443,想优惠封好窗就趁现在 #海帝门窗 #...封窗 #南宁门窗厂家 #南宁门窗厂家,2025-07-02 18:09:21,"['海帝门窗', '南宁封窗', '南宁门窗厂家', '南宁门窗厂家']",南宁海帝门窗（富安居展厅）,79,3,4,-1,"['居家', '装修设计', '家装主材']",南宁这间要丰充的业主朋友们看过来了。 现在有一个能让你们省大几天的机会来了。 我们海地门充现在向全南宁。 征集20套样板间。 只要符合以下条件就能享受工厂价格。 条件一 近期准备丰充的业主。 条件二 丰充面积超过10平方。 条件三 交付前允许。 让我们聚给丰充拍摄短视频。 我们自有7万亿智能化门充生产基地。 工业4.0生产线。 每一款创都经得起品质考验。 铃儿只有20套 比的就是手速。 如果你感兴趣可以在评论区留言样板间。,https://www.douyin.com/video/7522424562982620443,True,00:00:36,视频,1751450961
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7522795172950805769,夏天担心什么，一款好门窗帮你解决 ...门窗 #南宁门窗厂家 #南宁封窗厂家,2025-07-03 18:07:28,"['海帝门窗', '南宁门窗', '南宁门窗厂家', '南宁封窗厂家']",南宁海帝门窗（富安居展厅）,6,-1,1,-1,"['居家', '装修设计', '家装主材']","南宁的夏天,你们在害怕什么? 是外面的资料叫? 还是楼下的汽车声? 还是突然起来的暴风雨? 来看看我们海地的镇店之宝。 115系列平开窗,窗纱一体。 三重密封结构设计。 别说暴风雨来了。 就是台风来了也给你挡得严重。 严实时滴水不漏。 松城中空玻璃。 一关窗。 楼下的广场舞声音都听不见了。 让你在家就能睡个好觉。 趁着我们新店开业。 这么好的平开窗。 价格相当美丽。 需要封窗的业主朋友。 请联系阿浩。",https://www.douyin.com/video/7522795172950805769,True,00:00:33,视频,1751537248
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7523223996456897818,这么大的门窗生产基地，你还担心什...门窗厂家 #南宁封窗厂家 #南宁门窗,2025-07-04 21:52:13,"['海帝门窗', '南宁门窗厂家', '南宁封窗厂家', '南宁门窗']",南宁海帝门窗（富安居展厅）,117,14,6,2,"['居家', '装修设计', '家装主材']",很多朋友私信问。 阿浩。 你们海地门窗新店开业。 优惠这么大东西靠不靠谱。 今天必须亮亮我们的家底。 一起供货十几年。 有很丰富的门窗生产经验。 现在转到家中板块。 就是想让难民的业主。 用上更好的门窗。 价格打折。 品质不打折。 好门窗海地造。 欢迎到店里来。 阿浩亲自接待你。,https://www.douyin.com/video/7523223996456897818,True,00:00:33,视频,1751637133
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7523229017051286794,买窗怕踩坑，我来帮你选 #海帝门窗 ...封窗厂家 #南宁门窗厂家 #南宁门窗,2025-07-05 10:00:00,"['海帝门窗', '南宁封窗厂家', '南宁门窗厂家', '南宁门窗']",南宁海帝门窗（富安居展厅）,64,19,23,3,"['居家', '装修设计', '家装主材']",在南宁风冲怕踩坑的业主。 不妨来海地门窗看一看。 我们海地门窗是冠飞集团自己的指引店。 这是我们在南宁。 7万平方米的门窗智能生产基地。 你在我们店里看到的。 不管是停开窗。 推拉窗 撤压窗。 都可以保证落地质量。 现在我们新店开业。 现场准备了很多。 满减活动 优惠多多。 买门窗怕踩坑的朋友。 联系阿浩 帮你避坑。,https://www.douyin.com/video/7523229017051286794,True,00:00:26,视频,1751680800
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7525738012110638386,海帝门窗价格有多低 #海帝门窗 #南...窗厂家 #南宁封阳台厂家 #门窗厂家,2025-07-11 16:27:11,"['海帝门窗', '南宁门窗厂家', '南宁封窗厂家', '南宁封阳台厂家', '门窗厂家']",南宁海帝门窗（富安居展厅）,25,-1,1,-1,"['居家', '装修设计', '家装主材']",海地门窗开业价格到底有多低。 今天阿浩帮你算一算。 一扇好门窗到你手里。 工厂赚一笔 经销商赚一笔。 经过这么多道关卡到你手上。 早已价格翻倍。 但是在海地门窗你不用担心。 因为我们新店开业。 为了让更多的人了解我们海地门窗。 直接给你们五五折的价格。 做到。 我们海地门窗在南宁自有七万平方。 智能门窗生产基地。 用料品质安装统统不用担心。 不管你想做。 平开窗 推拉窗 侧压窗都是这个价。 近期想封窗的业主。 让阿浩来帮你搞定。,https://www.douyin.com/video/7525738012110638386,True,00:00:41,视频,1752222431
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7530971819856153894,用料扎实，不怕你们说贵 #海帝门窗 ...厂家 #南宁门窗工厂 #南宁封窗厂家,2025-07-25 18:57:05,"['海帝门窗', '南宁门窗厂家', '南宁门窗工厂', '南宁封窗厂家']",南宁海帝门窗（富安居展厅）,38,2,5,1,"['居家', '装修设计', '家装主材']",有很多粉丝朋友私信我。 阿浩 你们做工厂直营了。 为什么价格还比外面的贵。 我想说 我们用料肯定对得起我们的价格。 像我们海地这款平开窗。 采用的都是6060原生铝材。 比传统的6063铝材。 硬度更高 稳定性更好。 其次是我们的工艺。 市面上一般做一道防水处理。 而我们采用三道。 抗风压 渗水效果更好。 最后我们还包五金。 包玻璃。 包设计。 包安装。 包售后。 所有的材料都经过严格把控。 真正做到每一笔消费。 都活在刀刃上。 我们海地门窗有。 现代化生产基地。 每个月服务好几百个客户。 靠的就是我们高品质。 好服务。 价格还实惠。 如果你在广西。 有门窗订制的需求。 让阿浩来帮你。,https://www.douyin.com/video/7530971819856153894,True,00:00:43,视频,1753441025
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7532080798405627136,用普通窗的价格，就能买到更可靠的...门窗 #南宁门窗厂家 #南宁门窗工厂,2025-07-28 18:41:00,"['海帝门窗', '南宁门窗', '南宁门窗厂家', '南宁门窗工厂']",南宁海帝门窗（富安居展厅）,37,5,3,1,"['居家', '装修设计', '家装主材']",在南宁丰阳台。 想选品质更好价格又美丽的门窗。 那你一定要来我们的海地门窗看一看。 我们采用工业4.0智能生产线。 全自动化生产门窗品质更有保障。 减下来的成本。 可以给到你们一个更实惠的价格。 不管是平开窗。 推拉窗。 侧压窗。 推拉门。 联动门等市场上主流的门窗。 我们都能给你安排。 而且我们采用的是。 6060原生铝材。 硬度更高。 性能更稳定。 能安全使用60年。 我们海地门窗的理念。 就是用普通窗的价格。 给你用料扎实。 安全更稳固。 售后更有保障的门窗。 好品质好服务。 海地造欢迎大家。 到我们的工厂和展厅进一步了解。,https://www.douyin.com/video/7532080798405627136,True,00:00:42,视频,1753699260
191788471032576,南宁海帝门窗（富安居展厅）,2025-08-25 17:08:48,7536177925398269235,别墅封窗怎么封，跟随阿浩的视角看...门窗 #南宁封窗厂家 #南宁门窗工厂,2025-08-08 19:39:27,"['海帝门窗', '南宁封窗厂家', '南宁门窗工厂']",南宁海帝门窗（富安居展厅）,15,2,2,1,"['居家', '装修设计', '家装主材']",在南宁别墅要怎么封窗。 今天阿浩带你们来看一下保力灌江树。 这栋别墅我们海地门窗是怎么做的。 整栋别墅采用的是我们海地门窗。 115系列平开窗。 一楼后花园这里我们采用了四款平开窗。 让整个别墅通风采光视野更好。 我们海地115系列平开窗。 表面处理用的是浮碳粉。 它可以达到20年不褪色。 一楼这里我们给他们设计的是一块大玻璃。 铝材用的是6060T6。 它比普通的铝材硬度更高。 安全性更好。 玻璃我们采用的是超白玻。 它比...。 普通的玻璃。 自爆率更低。 整框自爆是15年。 玻璃起雾自爆都是免费包换的。 然后我们的5斤配件用的是一线大牌。 因为我们这里是属于连排别墅。 另一边的客厅一楼也是同样的配置。 别墅的侧边我们采用了三款平开窗。 为了就是提高整个别墅的彩光通风。 为了避免开窗碰到人。 我们在走廊的位置设计的是一款推拉窗。 厕所这里我们用的是一个上旋窗。 加了一个持空摆月。 更好的保护业主的隐私。 整栋别墅的卫生间。 我们都是采用这样的上旋窗。 在广西如果你也要找高品质的门窗。 来海地找阿浩帮你安排。,https://www.douyin.com/video/7536177925398269235,True,00:01:25,视频,1754653167


=== 商家统计信息 ===
总视频数,13
转录覆盖数,13
转录覆盖率,100.0%
总点赞数,735
总评论数,156
总收藏数,133
总分享数,67
平均点赞数,56.5
平均评论数,12.0
平均收藏数,10.2
平均分享数,5.2
最早发布,2025-06-18 10:28:08
最新发布,2025-08-08 19:39:27
标签数量,3
主要标签,['家装主材', '居家', '装修设计']
商家UID,191788471032576
商家名称,南宁海帝门窗（富安居展厅）
文件夹名称,UID191788471032576_南宁海帝门窗（富安居展厅）_发布作品
