商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7515017291285695771,我们主营大厂处理砖，尾货砖，超低价...瓷砖 #尾货瓷砖 #处理瓷砖 #工程砖,2025-06-12 19:06:12,"['南宁特价瓷砖', '尾货瓷砖', '处理瓷砖', '工程砖']",南宁特价瓷砖仓-阿杰,998,264,178,111,"['居家', '装修设计', '家装主材']",这是我们投资了50万在南宁开的特价瓷砖仓库总占地进铅品 大家好 我叫阿杰 是身后家瓷砖仓库的负责人。 我从事这个行业已经七年了 这家仓库是从我爸手里面接手的 目前已经在南宁服务了数千做工庄的朋友 这边是我们的瓷砖仓库。 为了能做到按时交付我们储备了近30万的瓷砖库存仓库旁边就是。 我们的展厅 在这里你可以更好的挑选瓷砖 我这没有豪华的展厅只有两个仓库。 省下来的钱全部浪费在瓷砖的价格上了 我从19年从事瓷砖行业到现在知道客户的需求。 所以一直秉承的不忘初心的态度服务客户 想要了解特价砖的朋友欢迎来联系阿杰。,https://www.douyin.com/video/7515017291285695771,True,00:00:36,视频,1749726372
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7515387996313586982,铺贴面积大，需要大量瓷砖，想要高性...处理瓷砖 #南宁特价瓷砖 #南宁瓷砖,2025-06-14 10:19:00,"['尾货瓷砖', '处理瓷砖', '南宁特价瓷砖', '南宁瓷砖']",南宁特价瓷砖仓-阿杰,1298,882,735,276,"['居家', '装修设计', '家装主材']",是80的5块58080的9块961米215块钱一片在南宁打算开店装修或者这间房 出租房想要装修的朋友。 欢迎来到我的特价池仁仓库看看这里的瓷砖物美价廉我们是专门承包厂家尾货以及断马货的价格低到你想象不到一级品优等品都是库存现货。 当天下单当天拉走不耽误你的。 花小钱买品质好的特价砖轻轻松松为你省下大几千。 无论你是家装还是工装 这里都能满足你的需求 欢迎各位朋友来我仓库现场验货。,https://www.douyin.com/video/7515387996313586982,True,00:00:29,视频,1749867540
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7516735501685034291,特价砖不代表品质不好，阿杰在花鸟...瓷砖 #特价瓷砖 #装修建材 #卖瓷砖,2025-06-17 10:13:56,"['南宁瓷砖', '特价瓷砖', '装修建材', '卖瓷砖']",南宁特价瓷砖仓-阿杰,114,29,18,8,"['居家', '装修设计', '家装主材']",卖的是特价砖 交的是真朋友 大家好 我是在南宁做特价砖的阿杰 虽然不能给你免费 但一定给你大优惠。 这里有近十万件工厂直销的特价砖 同时有五线多项一线品牌的优等为后 大品牌的质量 小品牌的价格 提前的规格 时髦的发色 更有严格的质量把控。 很多在阿杰这里买特价砖的朋友对我的评价就一个字。 最近有对瓷砖有需求的 欢迎来阿杰的仓库参观一下。,https://www.douyin.com/video/7516735501685034291,True,00:00:23,视频,1750126436
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7517605873259220261,只希望让大家买到实惠特价砖的同时...#卖瓷砖 #瓷砖 #南宁瓷砖 #特价砖,2025-06-21 17:30:00,"['卖瓷砖', '瓷砖', '南宁瓷砖', '特价砖']",南宁特价瓷砖仓-阿杰,667,47,43,27,"['居家', '装修设计', '家装主材']",一个00后不老老实实上班 却跑来南宁开瓷丹仓库 很多人会有图什么 其实我就是为了赚钱。 同时我也想让大家买到实惠的特价砖 我的特价仓库讲究的就是火力多销 主要就是我们自己精挑细选 自更自底的特价砖。 我这里的特价砖 大家放心闭眼路 质量对得起价格 我希望从我这里拿走了每一片砖 客户的钱都。 花的是明明白白的 想看哪种规格 私信我 我来安排。,https://www.douyin.com/video/7517605873259220261,True,00:00:23,视频,1750498200
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7521686811844840713,我们的瓷砖虽然价格便宜，但是品质...砖 #工程瓷砖 #处理瓷砖 #尾货瓷砖,2025-06-30 18:26:31,"['特价瓷砖', '南宁瓷砖', '工程瓷砖', '处理瓷砖', '尾货瓷砖']",南宁特价瓷砖仓-阿杰,111,37,13,13,"['居家', '装修设计', '家装主材']",在哪里买车砖别再被坑了 而且今天给你透个底 看真正的源头特价砖是多少钱 3600的两块钱一片 800乘800的9块9一片61米2的15块钱一片。 无论你是想要亮面砖 油光砖还是木纹砖 花砖在我这里通通都是现货特价 有朋友们这么便宜 质量能好吗 我们最接的都是大厂 品质有保证 只是超出了厂家。 内控标准 所以特价处理并不影响铺铁效果的 并且都是仓库现货 剔除一些不必要的成本 不信的话来啊 接这里喝茶 让你随便挑随便选。,https://www.douyin.com/video/7521686811844840713,True,00:00:29,视频,1751279191
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7525379969023806766,也是努力搬砖的一天#南宁特价瓷砖 ...理砖 #尾货砖 #南宁瓷砖 #特价瓷砖,2025-07-12 18:20:00,"['南宁特价瓷砖', '处理砖', '尾货砖', '南宁瓷砖', '特价瓷砖']",南宁特价瓷砖仓-阿杰,48,16,5,4,"['居家', '装修设计', '家装主材']",这是发往横洲的一个订单 之前猛烂的沙已经下单过一次了 现在客户增加了一些面积。 所以说补些货过去 而且这里都是现货现发的 不会耽误你的工资。 不管你买多买少都是这个价格 有需要特价时专的欢迎来仓库找阿杰。,https://www.douyin.com/video/7525379969023806766,True,00:00:47,视频,1752315600
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7533193083526155555,300平的棋牌室，瓷砖花费不到五千，... #店铺瓷砖 #南宁特价瓷砖 #处理砖,2025-07-31 18:37:03,"['工程瓷砖', '店铺瓷砖', '南宁特价瓷砖', '处理砖']",南宁特价瓷砖仓-阿杰,154,13,7,8,"['居家', '装修设计', '室内装修效果']",谁说九块九瓷砖铺贴效果不好 今天就带大家看一下一个七百四的铺贴案例 现在我们瓷砖刚铺完还在收尾当中。 这边总占地面积是300平花费还不到5000元 地面用的是我们80乘80九块钱有一片的通体大理石瓷砖。 他是亮面的 比较好打理 显得比较通透明亮一点。 卫生间用的是。 是我们两块二一片的泡水砖 他的绝世白了 显得比较干净 而且亮面的好打理。 我的瓷砖在数量充足的情况下 当前下单马上就能提走 但是阿姐这边的砖呢 都是断马处理的 错过就只能等下一批了 有店铺装修需求的老板。 看到合适的就抓紧下单。,https://www.douyin.com/video/7533193083526155555,True,00:00:42,视频,1753958223
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7538023074969537818,琅东出租房的案例，看看我们9.9特价...出租房装修 #南宁自建房 #特价瓷砖,2025-08-13 18:59:36,"['南宁瓷砖', '工厂瓷砖', '出租房装修', '南宁自建房', '特价瓷砖']",南宁特价瓷砖仓-阿杰,30,9,7,1,"['居家', '装修设计', '室内装修效果']",今天我们来朗东十堵看一下两栋六层的自建出租房 用的都是我们9块9特价专系列。 六楼是我们包子婆自己住的地方 他这个客厅用的是一款800 x 800浅灰色的通体大理石。 属于一款比较百搭的 不管说是什么家具风格的话都能搭配上 而且价格什么只会不管是自己住还是住出去都是什么把算的非常。 有性价比 这是我们的厨房区域 墙砖用的是我们40 x 80 耐务疫情节的特价系列五块五一片。 为中间墙砖跟我们厨房用的是同一款全瓷砖 地砖搭了一款同色系的哑光防滑砖。 在南宁有自建房后出租房需要特价瓷砖装修的朋友可以来找阿姐。,https://www.douyin.com/video/7538023074969537818,True,00:00:42,视频,1755082776
2951530020344653,南宁特价瓷砖仓-阿杰,2025-08-25 16:49:51,7538728281537875227,两位房东阿姐都觉得我们的瓷砖很划... #南宁瓷砖 #特价瓷砖 #出租房瓷砖,2025-08-15 16:36:04,"['南宁出租房', '南宁自建房', '南宁瓷砖', '特价瓷砖', '出租房瓷砖']",南宁特价瓷砖仓-阿杰,20,3,1,1,"['居家', '装修设计', '家装主材']",- 麻烦了吗? 搞得咧? - 阿姐你要跟出去吗? 不方便就不用咯。 - 我外下巴来。 对啊 楼上那个贴的还可以吧? - 还可以 我反正我都几十个满足。 打扰你一下啊。 你下班了? - 我楼上东西很乱咯。 没事 那阿姐那边也乱了。 - 我上去不瘦了咯。 是咯 天天这么爬不瘦啊。 - 跟我们隔壁另一栋房东阿姐自己住的。 - 用的也是我们九块九特价专系列的。 我现在批的话今年又涨价了。 你最好是去年买的。 下个月应该还会再涨一点。 常你涨我跟着涨我没办法。 不是我要涨啦。 现在五名都要卖九块九咯。 你这个当时也是好料的。 难搞 现在生意来得很多咯。 你随便去比。 有拿的比你便宜呢。 等到这有便宜尽量给你找。 今天我们的瓷砖就看到这里了。 有需要特价专的可以来找阿姐。,https://www.douyin.com/video/7538728281537875227,True,00:01:03,视频,1755246964


=== 商家统计信息 ===
总视频数,9
转录覆盖数,9
转录覆盖率,100.0%
总点赞数,3440
总评论数,1300
总收藏数,1007
总分享数,449
平均点赞数,382.2
平均评论数,144.4
平均收藏数,111.9
平均分享数,49.9
最早发布,2025-06-12 19:06:12
最新发布,2025-08-15 16:36:04
标签数量,4
主要标签,['室内装修效果', '家装主材', '居家', '装修设计']
商家UID,2951530020344653
商家名称,南宁特价瓷砖仓-阿杰
文件夹名称,UID2951530020344653_南宁特价瓷砖仓-阿杰_发布作品
