商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
3660714677636003,南宁独匠装饰（简装工装）,2025-08-25 17:05:11,7535287214113115446,全屋硬装4万3？来看看包含了什么。#独匠装饰 #南宁全屋硬装 #全屋硬装,2025-08-06 10:03:08,"['独匠装饰', '南宁全屋硬装', '全屋硬装']",南宁独匠装饰（简装工装）,122,63,54,20,"['居家', '装修设计', '室内装修效果']",没有真相 不玩套路 在南宁全屋硬装80平的房子 只需要4万3 加上现在广西的大额补贴。 还能再减6000多 并且我们都是先装修后付款 我们做完每一套房子。 验收满意之后 再跟业主结算 今天我们就来算一下各个部分花了。 多少钱 大家看一下划不划算 电线用的是桂林国际水管 用的是尾心水管 全房自保50年。 整体7000块 厨房4000块 我们包含了。 时银石的台面 大理石的柜体 还有我们的大张槽 还有我们的吊柜 全房吊顶一共4000。 包含了我们的双层石膏板 还有我们的线形灯跟我们的桶灯 我们用的是耐水型力帮的粒子粉。 全房广东佛山时装通铺800乘800。 还有我们的水泥沙浆 跟我们墙面的涂料一共11000 卫生间的防水回填一共3000 全房的结局。 中间包含了浴室柜 还有我们的位置 全房四个石木炭金门 50后全房门套线门心跟门锁。 还有门合页 一共4000 全房每缝1800 最后还有一个宝节1000块 在南宁 如果你也想做高性价比的装修 可以来找我 我给你。 多包价更方案。,https://www.douyin.com/video/7535287214113115446,True,00:01:21,视频,1754445788
3660714677636003,南宁独匠装饰（简装工装）,2025-08-25 17:05:11,7536145982019407131,南宁建发和鸣小区水电验收阶段#施...水电验收 #独匠装饰 #南宁建发和鸣,2025-08-08 17:35:26,"['施工现场实拍', '水电验收', '独匠装饰', '南宁建发和鸣']",南宁独匠装饰（简装工装）,10,1,3,2,"['居家', '装修设计', '装修过程']",再好的宣传都不如去现场看一看。 这里是建发和明小区。 现在来带大家看一套80坪的毛培施工现场。 现在是水电应售的阶段。 来看一下我们这套的线管走的都是大腕的工艺。 方便后期的维护与检修。 还有我们每一套的水电应售。 还有我们每一套的水电应售。 还有我们每一套的水电应售。 都包有吸脖子。 防止信号被干扰。 我们的电线用的是桂林国际。 自保十年。 那我们的水管呢。 用的是伟信的水管。 自保五十年。 像我们电视柜的插座。 离地都是有20公分。 然后后期装电视柜的时候。 都可以隐藏在柜子里面。 这样子它就不会。 我们卫生间浴室柜的下水管。 如果有条件。 一定要做墙牌工艺。 后期会更美观。 这户型原来是两个房间。 我们在这边砌了一堵墙之后。 变成了三个房间。 整体的空间使用率会更高。 但是我们整体的客厅的使用空间是不受影响的。 厨房这个位置。 原先有一堵墙。 我们把它打开了之后。 做成了开放式。 整体会更加的敞亮。 动线会更加的舒服。 水电施工是装修当中。 非常重要的隐蔽工程。 像瓷装铺贴完之后。 再想改动。 非常麻烦。 所以说我们前面规划跟定位。 非常重要。 如果您在南宁也有装修的需求。 都可以随时过来参观我们的施工现场。,https://www.douyin.com/video/7536145982019407131,True,00:01:33,视频,1754645726
3660714677636003,南宁独匠装饰（简装工装）,2025-08-25 17:05:11,7537251429866573106,80+30平的衣柜只需要63800，无增项...独匠装饰 #南宁全屋硬装 #衣柜橱柜,2025-08-11 17:05:13,"['全屋整装', '独匠装饰', '南宁全屋硬装', '衣柜橱柜']",南宁独匠装饰（简装工装）,179,45,56,18,"['居家', '家具家电', '家居用品']",没有真相 不玩套路 在南宁全房硬装80瓶加30瓶的衣柜只需要6380030瓶的柜子包含了两台厨房柜。 还有我们的电视柜 还有餐边柜 还有我们的鞋柜 还有三个房间的衣柜跟我们的书桌 我们的柜体用的是水性。 进客厅的多层板 柜门用的是抚感的欧松板。 然后整体是能达到emf级是集装集注的效果 柜子这边 我们还加了一些小圆弧的工艺 而且防磕还防碰。 而且还很美观 我们加了触摸的灯带 再加上我们的铝框边玻璃门。 整体的氛围感会更强 我们书桌这边在有限的空间做了很多储物的功能。 储物跟学习两不误 硬装部分除了家电家具之外 您看到的我们都包了 像地装 我们用的是800成800的佛山的品牌装。 全房通铺 像全房的粒子。 跟涂料 我们都是用立方的 我们还有多乐士跟三棵树都可以选择 我们全房的开关跟插座都是用德利西品牌的。 我们全部都包含在预算里面 您刚才看到的跟看不到的隐蔽工程都包含在我们的预算63800以内我们。 自律于在南宁打造高性价比高品质的装修 近期想要了解装修的业种 朋友们欢迎在评论区留下您的小区名字。,https://www.douyin.com/video/7537251429866573106,True,00:01:30,视频,1754903113
3660714677636003,南宁独匠装饰（简装工装）,2025-08-25 17:05:11,7542379117598100782,餐饮店简装，一个月完工。#餐饮店装修 #独匠简装,2025-08-25 12:43:15,"['餐饮店装修', '独匠简装']",南宁独匠装饰（简装工装）,1,-1,1,1,"['居家', '装修设计', '室内装修效果']",在服属于300平的烤肉店 我们一个月就完工了 来带大家看一下装修的效果 整个店最出彩的地方。 就是我们的门头做了一个三米乘八米的超大广告 搭配上我们超大的玻璃落地窗 整体布局非常的协调同意 正面墙我们做了品牌的slogan。 能达到非常好的宣传的效果 又不会太单调 整个店用橙色作为主色调。 搭配上一些其他的颜色作为点缀 像我们整体的装修采用的是800乘800的防滑装。 再搭配一些小包装做点缀 整体就不会显得太单调 调料存放区用。 的台面是1.5厚的石英石。 非常易清洁好打理 柜体用的是多层板 作为柜体。 非常的结实耐用 二楼整层 我们做了一圈护墙板的围挡。 搭配上我们的灯光效果 非常的有氛围感 而且非常的好打理 我们所有的。 墙面 包括桥架 包括水管 都做了堆设系的涂料。 整体看起来非常的同意 而且美观 我们每个区域都做了轨道的桶灯。 让整体就仓更加的明亮 更有氛围感 我们墙面都做了一些标志性的广告 让整体的空间更有设计感 我们楼梯做的是。 是广告的扶手 非常具有创意感 整个店所有的东西都是我们做的 大家觉得这套装修的效果怎么样 在哪里 如果你想要装修可以关注我 我可以给更多的案例给你参考。,https://www.douyin.com/video/7542379117598100782,True,00:01:33,视频,1756096995


=== 商家统计信息 ===
总视频数,4
转录覆盖数,4
转录覆盖率,100.0%
总点赞数,312
总评论数,108
总收藏数,114
总分享数,41
平均点赞数,78.0
平均评论数,27.0
平均收藏数,28.5
平均分享数,10.2
最早发布,2025-08-06 10:03:08
最新发布,2025-08-25 12:43:15
标签数量,6
主要标签,['装修过程', '居家', '家具家电', '家居用品', '室内装修效果', '装修设计']
商家UID,3660714677636003
商家名称,南宁独匠装饰（简装工装）
文件夹名称,UID3660714677636003_南宁独匠装饰（简装工装）_发布作品
