商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7348755294350069029,样板间征集，想参加的不要错过#南宁...屋定制工厂 #水性科天无毒全屋定制,2024-03-21 18:04:04,"['南宁全屋定制', '南宁全屋定制工厂', '水性科天无毒全屋定制']",南宁艺美新家全屋定制工厂,689,375,149,140,"['居家', '装修设计', '室内装修效果']",我们工厂在南宁准备征集十套全屋定制样板间 如果你满足以下三个条件 请私信我第一 全屋的柜子选择水性颗点板材。 因为我们主打的是无毒全屋定制 第二 全屋的柜子面积达30平以上且衣柜 橱柜一起定制 第三 能让我们带业主上门。 整体的落地效果 而且能让我们拍摄短视频 我们提供免费测量和设计 并且是工厂价给到你花色星银有几十款花色任你选。 这个活动我们只求致不求量 所以说落地效果完全不用担心 如果您满足这三个条件 请在评论区留下您的小区名。,https://www.douyin.com/video/7348755294350069029,True,00:00:40,视频,1711015444
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7351351674646056227,这个样柜就在我们工厂，可以过来参...工厂 #全屋定制设计 #实景拍摄效果,2024-03-28 17:59:10,"['南宁全屋定制', '南宁全屋定制工厂', '全屋定制设计', '实景拍摄效果']",南宁艺美新家全屋定制工厂,297,67,53,39,"['居家', '装修设计', '室内装修效果']",想要你家的柜子与众不同吗 来看看我身旁的这个柜子 首先为我们设计的是无拉手加反弹器的开合方式 用的是无力脚链开合 非常顺畅 丝滑 第二 这是我们的aba叠集的三明治成版 采用18加9加18层板的叠加 适合用作。 展示柜非常有层次感 其次板材用的是同步对花 钢板纹理很贴近自然 质感强 背板我们采用的是石纹点缀 也可以用我们的3D数码板 花色非常丰富 第三 这是我们的斜切免拉手 45度切角 可以不露出成板 使用起来。 顺手 看起来美观 第四 是我们灯光层板支柱架 采用钢板与木板结合 使整个层板仿佛悬浮空中 展现轻奢空气美学 第五 这是我们的斯卡帕叠集设计手法 从平面变立体 发现细节的美 打造独特的。 空间氛围 第六 这是我们的进退门把设计手法 位置不在一个平面上 有层次感 精致细节 立体感 这柜子 我们最注重的就是设计里面色彩搭配和落地使用效果 欢迎来我们工厂参观 就在江南区。,https://www.douyin.com/video/7351351674646056227,True,00:01:17,视频,1711619950
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7356917730378861861,为什么做全屋定制要选择工厂#南宁... #南宁全屋定制工厂 #艺美新家家居,2024-04-12 17:58:24,"['南宁全屋定制', '南宁全屋定制工厂', '艺美新家家居']",南宁艺美新家全屋定制工厂,55,19,10,12,"['居家', '装修设计', '家装主材']",一个是不经过门店装修公司中下。 棋子。 棋板是在哪一个工厂生产的。 生产环境好不好。 用的是怎么样的机器来生产的。 最后一个就是您可以看到。 您家的柜子。 方便用的是什么样的胶水。 人家说是PUR的胶水。 实际上。,https://www.douyin.com/video/7356917730378861861,True,00:00:33,视频,1712915904
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7358034036347948314,放弃高薪开工厂，只为给你们带来更... #南宁全屋定制工厂 #无毒全屋定制,2024-04-15 18:10:16,"['南宁全屋定制', '南宁全屋定制工厂', '无毒全屋定制']",南宁艺美新家全屋定制工厂,96,94,14,10,"['随拍', '生活记录', '日常vlog']",别怀疑了 这就是我放弃了一线定制品牌六年的店长职位 跟朋友创业开的全屋定制工厂。 为的就是给业主提供更加健康环保高性价比的全屋定制。 带大家看一下我们工厂的规划 这栋楼就是我们的生产车间 厂房面积3000。 总使用面积达15000平方 主打环保健康全屋定制。 首先一楼 我们规划是板材仓储以及定制成品的发货区。 全南宁以及广西各地在我们这里定的柜子都是从这里发货的 二楼我们规划投资100万作为定制展厅。 在我们的展厅有很多新品的工艺 如斯卡帕碟集 三明制成板 圆弧门板。 tt免拉手 您都可以参观到 三楼我们规划是柜体生产车间 这两天我们整条生产线设备就会陆续进场 四楼是我们的门板生产车间 激光方便。 门 磨压造型门 石木贴皮等都可以在这里生产 五楼我们规划做办公区产品 研发部 设计部 售后部都会在这里办公 接下来我会慢慢更新我们的工厂建筑 如果您需要健康环保的全屋定制可以私信我。,https://www.douyin.com/video/7358034036347948314,True,00:01:16,视频,1713175816
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7358410166653455642,记得过来哦，优惠多多#南宁全屋定制...宁全屋定制工厂 #艺美新家全屋定制,2024-04-16 18:29:43,"['南宁全屋定制', '南宁全屋定制工厂', '艺美新家全屋定制']",南宁艺美新家全屋定制工厂,171,12,18,34,"['居家', '家具家电', '家居用品']",想要高品质全屋定制的业主。 千万不要错过。 本月4月19号到21号这三天。 有加模会 装修 闭逛。 我们在B1展厅等你来哦。 优惠多多。 第一个 我们全屋定制多层实木。 加欧重门板 覆盖门。 一门到底只要699一坯。 第二个 就是25980。 丁包入住。 包了20平方全屋定制。 还有家具11斤套。 而且这个是我们上一次会展的样柜。 这一次加模会会展。 我们还会上更新的样柜。 欢迎业主们过来观观。,https://www.douyin.com/video/7358410166653455642,True,00:00:32,视频,1713263383
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7359484377354554675,这样的柜子你打几分#南宁全屋 #南宁全屋定制工厂 #华夏家博会,2024-04-19 15:58:21,"['南宁全屋', '南宁全屋定制工厂', '华夏家博会']",南宁艺美新家全屋定制工厂,187,11,27,23,"['居家', '家具家电', '家居用品']",我愿称之为全场家婆会最屌的样柜。 高地设计中都在这个柜子上了。 铜布木纹 45度黑色斜切封边。 开放格位置用的是铝布结合。 成板使用的是家后的36度成板。 背板用的是3D数码打印。 也有很多更好看的。 我们在南宁国际会展中心第一展厅。 19-21号这三天我们都在这里。 欢迎各位业主们过来相关。,https://www.douyin.com/video/7359484377354554675,True,00:00:35,视频,1713513501
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7360623709247327497,499不是不能做，而是我想给你更好的...美新家全屋定制 #南宁全屋定制工厂,2024-04-22 17:39:31,"['南宁全屋定制', '艺美新家全屋定制', '南宁全屋定制工厂']",南宁艺美新家全屋定制工厂,360,60,48,39,"['个人管理', '职场技能', '职场营销']",好多粉丝朋友过来问我外面便宜一些499一平的能不能做可以做。 但是呢 我不建议你做499一平 正常的话一定是有20%的利润才能正常的去运营。 等个门店或者是工厂 那么设计费 我不说最贵的3040。 其实我按最基础的20块钱就可以然后运输10块钱里面包括了里面的怪异感怪异感的话一种方量哪怕八毛钱都要用到20块钱 包括表列呢这些。 那我看143装好一点的60一平到7080都有 折中我算50一平 那么这里的话就是有120了。 就除掉正常应该运营下去的利润台剩399点掉这个固定的120还剩下。 279 我是还没有算 位体版本版还有背版的备用的 正常你买一块大版 好一点的一些品牌 值大品牌也要有268到301平。 级的背板的话 折中下来一平方大概70块钱左右 499装到年家的版 可能贵体最10块钱背板70 这个还没有算到。 最后面的打包纸皮啊 这些 所以说499一瓶甚至399一瓶 每个厂都可以做 但是装到年家的是基础的五金 还有便宜一些的版。 如果你想要更好的弱力效果 五金板材欢迎私信我。,https://www.douyin.com/video/7360623709247327497,True,00:01:26,视频,1713778771
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7361744059116916006,万科翡翠中央案例验收，这样的标准... #南宁全屋定制 #南宁全屋定制工厂,2024-04-25 18:06:56,"['艺美新家全屋定制', '南宁全屋定制', '南宁全屋定制工厂']",南宁艺美新家全屋定制工厂,278,36,20,7,"['居家', '装修设计', '装修过程']",挑战在南宁业收100套全屋定制 我现在呢 位于万科翡翠中央金庄房的业主做的三个房间 大概15坪左右 进来看一下 这个是次窝二的房间。 整体的设计还是可以的 这边是为了美观加了个剑光板 设计的都是免拉手 看一下。 这边的话就设计的话就有缺陷了 这个树板应该是要切角的。 不会露出来 会好看一点 这两个风板确实尺寸的把控非常好 完全没有切割 门缝与门缝之间很齐平。 上下都是齐平 看一下我们这一个抽屉的导轨是否。 顺滑是很顺滑的 还有门板这个脚链。 这是带环充的 安装不好 这个门开关到一半就会停 或者是说。 门里门之间会打架 眼睛之上的城板没有金孔 眼睛下面这个城板也没有金孔 这边我们来到的次位。 挂一区的话 我们标准的话是下跪是两米零八左右的 这个。 有点高了啊 就是我自己身手要的有点高 这个需要改进 下面的话其实可以做一个。 活动城板 如果说我要放箱子大型的物品的话 可以把活动城板拆出来 不需要的话就加上。 活动城板会比较实用 一组说是不放床头柜的 如果有床头柜的话 我们也可以切一个不敞开的门在这里 从上面取下面的东西 二到三毫之间。 然后下面。 也是三毫是标准的啊 门的五斤的顺滑程度。 这边装了三个抽屉 也是带。 满重的 风板这里他打的结构胶非常的好美观。 我这边他床呢是对着卫生间的 所以他设计的柜子就是两边做柜子 在这里做一个隐形门或者推拉门都可以的 这边。 尺寸把控的也很好 这个建管板这个墙。 这边的三合一钉我们是要用美文贴去贴上去的 然后这里是我们安装剩下的这个废料 这个是多余的这个收口。 全屋下来只切了这么一小块 说明我们的设计师对尺寸把控的非常好 还有我们安装师傅手艺非常好。 一组用的是多层石木的 一级材料的 而且是全联心的 非常好 不会像便宜的板会有空痛的 验收完毕 我们会把我们剩下的这个备料。 拿走 我们做这个验收呢 不是为了给业主看 也不是为了录视频 这是我每天都要做的工作 不断的去发现问题。 去做到更好 就像我身后的这个广告一样 今天这一趟我们已经验收完成 我们走下一趟。,https://www.douyin.com/video/7361744059116916006,True,00:03:01,视频,1714039616
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7362859910314396967,追求极简风格的业主可以看下我们这...屋定制衣柜橱柜 #南宁全屋定制谢倩,2024-04-28 18:17:02,"['南宁全屋定制', '南宁全屋定制衣柜橱柜', '南宁全屋定制谢倩']",南宁艺美新家全屋定制工厂,49,32,9,13,"['居家', '家具家电', '家居用品']",四卧房间的衣柜能有多少个细节 让我们来看看。 整个柜子它设计的是极简的白色。 没有做到门套边 进门就没有那么压抑。 当然也可以做到门套边 然后这里做开放格。 设计的也是免拉手 免拉手的话一般在二到三分分。 刚好可以方便打开。 它升级的是一字脚链糯米的五金。 二段力的话它是关到哪里 就停到哪里 然后带缓冲的。 一段力的话关到这里会回弹的。 它升级了这一个怪异感 也是糯米的。 跟脚链颜色是统一的 非常的好看 美观。 而且看看我们这个糯米的脚链。 它是没有露出任何叮咚的。 然后一组这边设计的是三个大的抽屉。 都是重型的托底轨道带缓冲的。 也是做了免拉手 里面的话设计也可以加个活动成本。 再看一下我们的怪异感 是可以承重100斤。 上面有个防滑镜印条 挂衣服上去也不会有声响。 然后又不会滑来滑去 这怎么。 这个柜子非常美观。,https://www.douyin.com/video/7362859910314396967,True,00:01:01,视频,1714299422
3855318988371648,南宁艺美新家全屋定制工厂,2025-08-25 16:51:24,7363608415555439913,简简单单煮个板#艺美新家全屋定制 #南宁全屋定制工厂 #南宁全屋定制,2024-05-01 10:45:00,"['艺美新家全屋定制', '南宁全屋定制工厂', '南宁全屋定制']",南宁艺美新家全屋定制工厂,257,128,52,39,"['居家', '装修设计', '家装主材']",做全屋定制板材好不好。 煮过才知道。 给大家看一下。 这块是我们的板材。 这块是普通的板材。 接下来给大家测试一下。 放到水里面去煮。 板材现在煮着了。 接下来带回去我们的车间看一下。 现在来到了我们车间。 我们整条生产线已经在。 正常运营了。 目前一个月大概1500。 在家级生产中。 五一我们会上。 第二条生产线。 这边是我们的封边区。 我们这个封边是。 纵型六边段。 无缝QR封边机。 看一下封边的效果。 这个是我们白色的封边。 没有胶线。 松得很好。 很圆滑也没有黑边。 封边打开。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。 封好了 封好了。,https://www.douyin.com/video/7363608415555439913,True,00:01:08,视频,1714531500
