商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7412893796742040895,3字头的一线大品牌板材，各位老板了...板材 #工厂实拍视频 #和居定制工厂,2024-09-10 14:13:56,"['全屋订制', '环保板材', '工厂实拍视频', '和居定制工厂']",和居全屋定制工厂（B端合作）,416,226,154,112,"['居家', '装修设计', '家装主材']",市面上三字头的板材可能各位老板见多了。 但是三字头的杜宝宝 莫干山 千年洲 大王爷。 这四大品牌你们见过吗。 在我们这里只要这个价 全国一平方起发。 我们有六条生产线。 只要有订单 我们20天就能交付。 临省两天就。 能把货送到您的手上。 我们不敢保证零售后。 但是在运输过程中出现的任何损坏。 我们48小时内为您处理。 顺便说一句 我们只做这四大品牌。 我们也没有任何的套路。 只有性价比 选择合居工厂。 就相当于选择一线大品牌。 欢迎有意义的老板。 留言私信 共同探讨合作的机会。,https://www.douyin.com/video/7412893796742040895,True,00:00:42,视频,1725948836
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7413676705883213067,做全屋定制要找柜体批发的老板们，...视频 #生产车间现场 #和居定制工厂,2024-09-12 16:52:15,"['源头工厂', '工厂实拍视频', '生产车间现场', '和居定制工厂']",和居全屋定制工厂（B端合作）,66,9,9,4,"['居家', '装修设计', '家装主材']",这里是我们的生产基地占地上万平米 有规模 有实力。 这是我们的精选板材 涵盖四大一线品牌 品质卓越 值得信赖。 这是我们的生产设备 采用德国封编技术保证每一件产品的精细工艺和高端品质。 这是我们现代。 化收场线配备六条全自动流水线 月产上万方 供货稳定。 而我们和菊工厂是您不可错过的机会 四大一线品牌的贵体 超高性价比 每平米仅三字头 全国一平方起发。 我们不仅追求性价比 更追求卓越的品质。 欢迎有意向的老板留言私信 共同探讨合作的机会。,https://www.douyin.com/video/7413676705883213067,True,00:00:44,视频,1726131135
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7414038480575073548,四大一线品牌的板材做的柜体，而价...直供 #和居定制工厂 #全屋定制板材,2024-09-13 16:16:00,"['工厂实拍视频', '源头厂家直供', '和居定制工厂', '全屋定制板材']",和居全屋定制工厂（B端合作）,64,6,13,9,"['居家', '装修设计', '家装主材']",为什么明明我们是一线大品牌却能做到如此高性价比呢 今天带大家了解一下 首先来看看我们的板材商铺 我们拥有庞大的库存量 批量采购能节省不少原材料成本。 另外 我们厂房租金相对较低 进一步降低了整体运营成本价格。 自然更实惠 而且我们生产速度快 出货效率高 选择与合居工厂合作 意味着选择了更优质的产品与更具竞争力的价格。 欢迎有一些的老板留言私信 共同探讨合作的机会。,https://www.douyin.com/video/7414038480575073548,True,00:00:35,视频,1726215360
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7414380170749971775,这里是和居家居定制，一线品牌板材...源头直供 #环保板材 #和居定制工厂,2024-09-14 14:21:58,"['工厂实拍视频', '源头直供', '环保板材', '和居定制工厂']",和居全屋定制工厂（B端合作）,113,52,37,12,"['居家', '装修设计', '家装主材']",有没有再找品牌定制柜批发的老板们呢 请看过来 这是我们和菊新投入的定制工厂 占地上万瓶。 哈喽 大家好 我是魏姐 我们和菊定制工厂是大王爷千年周兔宝宝 诺干山的寿存品牌工厂 我们工厂只做这四大品牌。 三字头一瓶哦 全国可批发 我们工厂分为两个区域 这边是我们的生产车间 我们现在有六条生产线。 这几台设备都是德国的豪卖p u r封编机 这是我们的打孔机 这是全自动开料机 我们生产速度快 出货效率高。 月才能达到上万方 这是我们品牌板材的储存区 这些都是我们贵体的原材料 一线大品牌来的哦 这是即将发往全国各地的板材打包发货区 欢迎需要品牌定制会提发的老板们评论区留言。,https://www.douyin.com/video/7414380170749971775,True,00:00:57,视频,1726294918
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7414394059193732363,选择一家值得信赖的板材加工工厂，...定制板材 #专业厂家 #和居定制工厂,2024-09-14 23:23:00,"['全屋定制板材', '专业厂家', '和居定制工厂']",和居全屋定制工厂（B端合作）,151,3,8,4,"['居家', '装修设计', '家装主材']",选择一家值得信赖的定制工厂有哪些好处呢 一品质卓越 我们严格把控生产流程 确保每一件产品都达到高品质标准 让你无需担忧质量问题。 准时交付 我们确保订单按时完成 让您的经营计划不受影响 单创新。 不断持续研发新产品 紧跟市场趋势 另外我们提供一站式的解决方案 从板材精选到精气的加工 全程无需你在奔波于多家供应商之间。 大大的节省了您的时间与精力 产品的交付只是我们合作的开始 后续的满意才是您。 选择我们和聚工厂的理由。,https://www.douyin.com/video/7414394059193732363,True,00:00:42,视频,1726327380
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7414382391797632268,没有中间商赚差价 在做全屋定制的...车间现场 #和居定制工厂 #板材批发,2024-09-15 10:00:00,"['仓库实拍', '全屋定制板材', '生产车间现场', '和居定制工厂', '板材批发']",和居全屋定制工厂（B端合作）,103,34,28,14,"['居家', '装修设计', '家装主材']",主要你是在广西广东海南等地区做全屋定制生意的 就必须来了解一下我们和居公场 我们只做这四大品牌的板材 醋宝宝莫干山大王爷千年周 去掉层层中间商 直接将实惠送你手上。 每平米只需三字头 单新家。 或问题吗 我们是品牌授权工厂 有授权证书 如果你担心品质问题 可以直接来我们工厂考察 任何问题面对面沟通 拒绝一切套路和不实承诺。 你精湛工艺与高品质的封编效果 让你亲眼见证品质真实感受靠谱。 您说了算 欢迎各位老板来工厂考察 咨询期待您的联系。,https://www.douyin.com/video/7414382391797632268,True,00:00:46,视频,1726365600
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7414383110260903187,和居定制工厂的五大优势，老板们来...定制工厂 #板材批发 #和居定制工厂,2024-09-15 18:20:00,"['源头工厂', '全屋定制工厂', '板材批发', '和居定制工厂']",和居全屋定制工厂（B端合作）,357,5,14,3,"['随拍', '生活记录', '日常vlog']",四大一线品牌高品质 源头代工厂 单次投一瓶 全国批发。 是我们合居工厂的优势。 如果您是全屋定专注于客户的服务。 如果您想找稳定可靠 价好至高的供货。 您近期到了瓶颈 工厂就是你的福儿之选。 客户你们来维护 品质我们来把关。 共同开启合作共赢的新天章。,https://www.douyin.com/video/7414383110260903187,True,00:00:33,视频,1726395600
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7416642599064276258,不要998不要698 我们和居定制工厂，... #工厂视频实拍 #全屋定制源头工厂,2024-09-20 16:41:27,"['和居定制工厂', '全屋定制工厂', '工厂视频实拍', '全屋定制源头工厂']",和居全屋定制工厂（B端合作）,45,61,24,15,"['居家', '装修设计', '家装主材']",不要998 不要698 我们只要30头一瓶。 不是11级 不是10级 我们是ENF级。 不是杂牌 不是普通品牌 我们是四大一线品牌。 我们不是小作坊 不是无名企业。 我们是正规大厂 没有套路 没有隐形条。 我们只做良心牌。 不是临时注销 不做短期活动。 我们30四头的价格全年不变。 在等什么呢。,https://www.douyin.com/video/7416642599064276258,True,00:00:30,视频,1726821687
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7416654643272469760,各位做装饰公司的老板，兔宝宝 莫干...板材 #和居定制工厂 #全屋定制板材,2024-09-23 11:30:00,"['源头工厂', '环保板材', '和居定制工厂', '全屋定制板材']",和居全屋定制工厂（B端合作）,19,11,7,3,"['居家', '装修设计', '家装主材']",各位做全屋定制的老板们 你们还在买六字头 五字头一瓶的柜子吗 我们和聚工厂已经把价格达到三字头了 那么有老板问了三字头有什么好板呢 兔宝宝莫干山大王爷千年周算不算好板 各位老板 你们说了算 我们工厂只做。 这四大品牌只做这四大品牌只做这四大品牌。 重要的事情说三遍 欢迎对我们和聚工厂感兴趣的老板们评论区留言。,https://www.douyin.com/video/7416654643272469760,True,00:00:30,视频,1727062200
24657777143323,和居全屋定制工厂（B端合作）,2025-08-25 17:07:25,7419143734392114466,和居定制工厂没有套路，说了3字头，...源头工厂 #环保板材 #和居定制工厂,2024-09-27 10:27:27,"['工厂实拍视频', '源头工厂', '环保板材', '和居定制工厂']",和居全屋定制工厂（B端合作）,17,9,6,-1,"['居家', '装修设计', '家装主材']",这个就是我们三字头一瓶的贵品 可以做各种书柜 橱柜 衣柜 全国一瓶方喜发。 不玩套路玩的就是性价比 不搞劣质板材的引流套路 全系采用t u r封边工艺 边缘平整 逐翘边不搞低质量一k封边仓库。 上千万库存一平方起发 没有才可做20多个后续会从民论区留言。,https://www.douyin.com/video/7419143734392114466,True,00:00:36,视频,1727404047
