商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7425576571185974567,欢迎大家来我们的南南·佐顿系统门...定制 #南南铝材 #南南佐顿系统门窗,2024-10-14 18:31:31,"['系统门窗', '南宁门窗定制', '南南铝材', '南南佐顿系统门窗']",广西南南铝门窗工厂（上样合作）,683,130,87,54,"['居家', '装修设计', '家装主材']",什么是货真价实的 南南理财门庄 来我们南南左顿系统门庄总部广西南宁生产基地看一看。 大家好 我来自于江西 南南左顿系统门庄 创始人熊宋 部我们南南左顿系统门庄。 是南南理财加装板块的南宁总代理 主营个理。 提拉装 平开装 侧压装 提拉门 阳光房等系列产品。 只要是市面上有的门窗系列 我们不仅能生产 还能做到更好。 我们商场基地位于秀灵仓库A7 总桃枝1000多万 顺地约8000。 这里是我们行财库存期 常年资费300多吨 南南延伸里。 我们的生产基地有个力工作人员30多人 业产能可以做到1万平方 这里是我们的展厅 医疗为办公区。 二楼是我们的企业文化和成品。 这是我们南南左顿系统门窗的窗网130系列。 我们生产基地应有8年生产经验 能够给各位老板做到高品质 高效益门窗交付。 想要了解南南里门窗的各位老板 欢迎大家过来常里 川关指导。,https://www.douyin.com/video/7425576571185974567,True,00:01:20,视频,1728901891
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7428127339139058996,一条视频告诉你我们的南南铝材系统...定制 #南南铝材 #南南佐顿系统门窗,2024-10-21 15:28:16,"['系统门窗', '南宁门窗定制', '南南铝材', '南南佐顿系统门窗']",广西南南铝门窗工厂（上样合作）,53,15,9,8,"['随拍', '生活记录', '日常vlog']",很多客户都不知道 南南你才能装怎样生产的 今天我带大家了解一下我们的门窗生产制作流程 第一。 显材首先是由我们的配料 师傅从300多灯的原材料里挑选出客户所需要的形材 第二 开料 我们采用高精密度束布。 切割机切出来的形材精准平滑 第三 冲洗形材切割纹后到冲孔机冲孔 再用高精密度设备洗槽 第四 组装。 冲洗完之后 来到我们这个组装区域 我们的师傅会一根一根的将形材拼接起来 第五 调试 这是我们的调试期组装完。 之后再进行调试 每一个窗户都是经过严格的检验 层层把关第六打包 这是我们的打包器 我们的门窗打包前都会有专人。 进行质检 递产品 进行一个前面的检查 确保没有瑕疵 才能打包路酷 最后诚感的邀请大家来我们。 我们工厂了解真正的南南米苔门庄。,https://www.douyin.com/video/7428127339139058996,True,00:01:03,视频,1729495696
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7428888044163370280,一条视频告诉大家，在南宁如何快速... #南宁门窗定制 #南南佐顿系统门窗,2024-10-23 16:40:12,"['系统门窗', '南宁门窗定制', '南南佐顿系统门窗']",广西南南铝门窗工厂（上样合作）,135,21,20,2,"['居家', '装修设计', '家装主材']",很多门窗老板都不知道怎样找到一个靠谱的门窗工厂 今天我雄大发一分钟时间告诉大家。 首先看工厂规模 像我们南南左的门窗厂房面积达8000平方 面积越大 工厂实力越强 第二看工厂库存为了给各位门。 窗老板快速出货 我们长年储备超300吨蓝蓝原生理 库存充足 给你满满安全感 第三看工厂设备 我们用的都是高精密度竖空加工机器 保证切出来的每一根理财都光滑亮丽 这样组装出来的门窗衔接。 更贴合 更牢固 更安全 第四看工厂数钱 我们南南左的门窗是蓝蓝理财的 家长板块的蓝领总代理 所有的理财亲带有蓝蓝理财的正版数钱 并享受自保70年。 实地探访才能感受到我们工厂实力 欢迎大家过来。 长李川关直达 我在工厂等你们。,https://www.douyin.com/video/7428888044163370280,True,00:01:03,视频,1729672812
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7429608292198010112,正在找靠谱系统门窗供应链的老板们... #南宁门窗定制 #南南佐顿系统门窗,2024-10-25 15:15:11,"['系统门窗', '南宁门窗定制', '南南佐顿系统门窗']",广西南南铝门窗工厂（上样合作）,238,18,48,7,"['居家', '装修设计', '家装主材']",正在寻找优质门窗工厂的老板们看过来 我们南南佐顿门窗已经成立八年 是我们南南理财家庄板块的南宁总代理。 帮助我们的经销商服务了南宁40%以上的业主 我们工厂在南宁市快盘剑拆市场旁 你们带客户过来。 不用你们服务和跟单 我们有专业的设计师客服团队一条龙服务到位帮助你们高效整单。 欢迎跟我们自从到河的门窗老板们来我们的工厂 穿关指导。,https://www.douyin.com/video/7429608292198010112,True,00:00:34,视频,1729840511
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7430745078332788002,严格的打包标准，只为能安全快速的... #南宁门窗定制 #南南佐顿系统门窗,2024-10-28 16:46:17,"['系统门窗', '南宁门窗定制', '南南佐顿系统门窗']",广西南南铝门窗工厂（上样合作）,33,2,6,2,"['居家', '装修设计', '家装主材']",我们南南理财的门窗是怎样 文好无省的交付到各位门窗老板属东的。 首先我们窗框整理采用珍珠棉包装 外层采用透明薄膜 确保在运输初中无废刮撑到理财表面 其次。 窗框四周采用直角防护起到。 板中作用 即使经过长出印书 也不用担心窗光壁磕碰变形 因为我们舍得在包装上面下成本。 所以我们的门窗才能文好无省的交付到您的属中 而且我们工厂就在秀林仓库ig离快盘建材市场鹦鹉路口直线100米出货。 其实送货快 给我们南南米台门章感兴趣的老年们欢迎过来场里团观指导。,https://www.douyin.com/video/7430745078332788002,True,00:00:47,视频,1730105177
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7432248899739389219,今天给大家推荐我们的窗王——130系...制 #南南佐顿系统门窗 #断桥平开窗,2024-11-01 18:01:56,"['系统门窗', '南宁门窗定制', '南南佐顿系统门窗', '断桥平开窗']",广西南南铝门窗工厂（上样合作）,56,9,25,7,"['居家', '装修设计', '家装主材']",这款窗是我们南南佐顿系统门窗130系列的窗网 也是我们经销商卖的很火的一款窗。 所有窗光采用6063南南延伸里 前影设计。 窗扇切入式边框颜值更高 采用信印银片汽车级玻璃设计可装山坡。 两枪5加27a加5 东风刚发 交疗采用江阴海达三年一饼 密封及硅胶密封性更强 服役老发。 隐形排洗设计 下雨天已死不废 意向甚陋 排洗更甚畅 以130窗网感兴趣的老铁们 欢迎大家过来。 展顶看一看。,https://www.douyin.com/video/7432248899739389219,True,00:00:41,视频,1730455316
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7433304689153821986,大家对侧压窗感兴趣的可以过来看看...窗定制 #南南佐顿系统门窗 #侧压窗,2024-11-04 14:19:05,"['系统门窗', '南宁门窗定制', '南南佐顿系统门窗', '侧压窗']",广西南南铝门窗工厂（上样合作）,26,2,6,1,"['居家', '装修设计', '家装主材']",我们做导印一个月了 非常感谢大家对我们的支持 广西有300多个经销商来过我们这里了解南南你才门窗。 很多经销商都来执行我们这款新的侧压器密踢拉窗 这款窗有几个优点 第一 有多种厚度可显 第二 六腔里的结构伤轨。 设计更加安全牢固 第三玻璃可做到六到八米 超大玻璃 视野更好 第四踢拉装扇可做到一米二宽 通风及密封性更好 第一只管窗感兴趣的老铁们 欢迎私信我。,https://www.douyin.com/video/7433304689153821986,True,00:00:35,视频,1730701145
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7433981483720756532,我们的门窗，全国都是可以发货配送...制 #南南佐顿系统门窗 #电动提升窗,2024-11-06 10:05:22,"['系统门窗', '南宁门窗定制', '南南佐顿系统门窗', '电动提升窗']",广西南南铝门窗工厂（上样合作）,19,2,4,-1,"['居家', '装修设计', '家装主材']",有很多老铁问我们 你们发货能发外赏吗 今天我来告诉大家 我们男男左任系统门庄 真地全国都是可以发货 配送安装的 不仅如此 我们男男女才的系统门庄都是70年至宝 五金剑十年至宝 而且我们这里除了市面上流行的个理。 门庄以外 我们180电动自然提升窗 采用商店机双螺杆设计 稳定性强 更安全可靠 第这款装感兴趣的老铁们欢迎私信我 全国都可以发货。,https://www.douyin.com/video/7433981483720756532,True,00:00:33,视频,1730858722
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7435106095879785743,来看看我们这款新推出的100系列非... #南南佐顿系统门窗 #非断桥推拉窗,2024-11-09 10:49:20,"['系统门窗', '南宁门窗定制', '南南佐顿系统门窗', '非断桥推拉窗']",广西南南铝门窗工厂（上样合作）,54,8,27,9,"['居家', '装修设计', '家装主材']",这款装是我们南南李山门床新踢出来的100系列飞断桥六回踢拉窗。 采用6063P5蓝蓝原生理。 理材表面油漆采用金属浮碳漆面处理耐高温不易变色。 玻璃中空采用5加102i加5仓扇上下。 采用插入式连接更牢固更安全。 玻璃窗扇采用我们南南佐顿自动编索设计。 安装方便更简单。 同时可显防盗格设计。 安全实用两不误。 欢迎第四款门窗感兴趣的老板们诗细以我。,https://www.douyin.com/video/7435106095879785743,True,00:00:38,视频,1731120560
2144460275713802,广西南南铝门窗工厂（上样合作）,2025-08-25 16:37:31,7435926815031561507,欢迎大家来看看我们这款卖的很火的...窗定制 #推拉窗 #南南佐顿系统门窗,2024-11-11 15:54:08,"['系统门窗', '南宁门窗定制', '推拉窗', '南南佐顿系统门窗']",广西南南铝门窗工厂（上样合作）,20,6,6,2,"['居家', '装修设计', '家装主材']",这款窗是我们南南女才六轨飞断桥130系列T拉装。 我给大家详细介绍一下这款窗的优势在哪里。 第一采用6063t5南南原生里 自保70年 大品牌更可靠。 第二上轨标配防台风上人 能抗十二级台风。 第三玻璃。 窗扇工艺采用45度角拼接 玻璃中空采用5加15i加5 坚固安全。 第四轨道采用隐形排水 上发人设计 提拉更加甚拔流畅。 第五玻璃提拉装扇采用 上高蓝蓝左瞪自动碰接连锁 更加方便简单。 想要上样的老板们欢迎私信我。,https://www.douyin.com/video/7435926815031561507,True,00:00:43,视频,1731311648
