商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7489394324874988840,给大家介绍一下我们能度空间全屋定...屋定制工厂 #能度空间全屋定制工厂,2025-04-04 17:55:14,"['全屋定制', '广西全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,306,46,63,27,"['居家', '装修设计', '家装主材']",广西的业主朋友们。 占地40姓的全屋定制超级工厂。 你们有见过吗。 今天我带你们参观一下。 我们工厂的生产流程。 这是我们板材的储存区域。 有兔宝宝 千年舟 莫干山等。 市面上常见的主流板材。 这是我们的开料环节。 柜子的设计图在您满意之后。 会根据下定的板材规格。 大小在这台设备上进行切割。 这是我们的封编环节。 这就是我们的激光封编机。 我们有豪迈激光封编机。 也有南星的POR封编机。 这个是刚封出来的板材效果。 光滑五毛次。 没有任何的交线。 这是我们的打孔环节。 我们用速控六面钻打孔。 打出来的板材孔位精准。 拼装过程更顺畅。 不会有缝隙。 这是我们的置剪环节。 我们的柜子在出厂之前。 要经过严格的人工修剪 消毒。 检查正反面是否有破损。 这是我们的打包环节。 我们采用全自动的打包线。 翻好的板材都是豆腐块。 这样送到您的家中。 也不会有破损问题。 欢迎有需要的业主朋友。 来我们家里。 从工厂看看。,https://www.douyin.com/video/7489394324874988840,True,00:01:00,视频,1743760514
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7490504453993352448,我们能度空间全屋定制，能给各位业...屋定制工厂 #能度空间全屋定制工厂,2025-04-07 17:43:14,"['全屋定制', '广西全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,120,33,23,11,"['随拍', '生活记录', '日常vlog']",在广西做全屋定制 选我们40亩的源头工厂能给你带来什么好处。 第一 跳过中间商给你更优惠的价格 第二 我们工厂十条4.0的自动生产线能给您更快的出货。 第三 我们有更及时的售后和更优质的服务 我们包全屋定制的测量 设计 生产 送货 安装全流程。 帮您一暂时搞定 全屋定制找我们轻松帮您省下好几个月的工资。,https://www.douyin.com/video/7490504453993352448,True,00:00:25,视频,1744018994
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7491996630665710888,欢迎大家来我们能度空间全屋定制工...屋定制工厂 #能度空间全屋定制工厂,2025-04-11 18:13:41,"['全屋定制', '全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,313,117,51,43,"['随拍', '生活记录', '日常vlog']",这是我爸在南宁投资了近两个小目标。 3D40目的定制家具工业园区。 为了继承这么大的家业。 我压根就没有打算出去。 直接进场上班。 嗯? 能度空间是我们自己家的。 全屋定制家具品牌。 因为老爸想让它走向全国。 但是它有一点懒。 不愿意自己出镜。 所以让我上。 现在 待待待。 大家参观一下我们的产业园。 我们工厂的位置是在。 宾阳宾州工业园区。 主要是为广西的业主朋友们。 做全屋定制柜子。 这边是我们的定制生产车间。 这边是我们的定制仓库。 这就是我们的办公大楼。 这两栋就是我们的员工宿舍和食堂。 这就是我们的生产车间。 我们的生产车间现在有。 10条4.0的自动生产线。 封边采用的是豪迈机光封边机。 男星PUR封边机。 我们还有全自动的机械手。 负责采版开版的工作。 打包也是用的全自动打包线。 这里是我们的板材库存区。 有兔宝包 千年舟 木干山等。 全国一线品牌板材。 这里是我们的全屋定制。 这里主要是展示市面上热门的圆弧。 隔山 门墙柜落地工艺。 和板材大板的展示厅。 这边是我们的设计师办公区。 我们有20多位专业的设计师。 能根据您的需求为您量身定制。 如果你们均期有柜子的需求。 我们可以直接为您安排。 也随时欢迎你们来到我们工厂参观。 我在这里等你们。,https://www.douyin.com/video/7491996630665710888,True,00:01:21,视频,1744366421
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7493105908046793984,需要做全屋定制的业主们，选我们能...屋定制工厂 #能度空间全屋定制工厂,2025-04-14 17:58:08,"['全屋定制', '全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,58,5,4,-1,"['居家', '装修设计', '家装主材']",在广西做全屋定制。 网上找的工厂到底靠不靠谱。 别的工厂我不敢说。 但我们能够贡兼全屋定制工厂。 肯定没问题。 第一我们投资够多。 不会轻易跑路。 40亩的园区用地和我们的三栋大楼。 都是我们用真金白银砸出来的。 第二我们的生产线够先进。 十条4.0自动。 自动生产线。 德国豪卖机关封编机。 全自动机械手负责开料。 全自动打包线。 生产设备在整个广西都是数一数二的。 第三我们有20多位专业的设计师。 能为您量身定制。 不管您是想要什么样的风格。 我们都能为您落地。 最后不论您在广西哪个地方。 我们都能给您包装。 包设计包送货包安装包售后。 欢迎大家来我们工厂参观。 看看我们能够空间到底靠不靠谱。,https://www.douyin.com/video/7493105908046793984,True,00:00:47,视频,1744624688
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7494362947288845602,我们能度空间全屋定制，468元一平米...屋定制工厂 #能度空间全屋定制工厂,2025-04-18 10:00:00,"['全屋定制', '全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,48,1,7,2,"['居家', '装修设计', '家装主材']",我身后正在装车的是我们能度空间全无定制工厂。 刚刚生产完的柜子准备发往南宁德天府小区。 现在我们搞活动。 468一平全包。 包设计包五金包送货包安装包售后。 柜门我们配的是双面PET欧松门板。 抗变形能力更好。 柜体我们配的是ENF。 多层板加九厘多层背板。 全部采用了PUR封边加德国胶网胶水。 标配一线大牌汉膏五金。 每个柜子还给您送两个抽屉。 即使您还想加也只要100块一个。 近期想要做全无定制柜子的广西业主们。 欢迎跟我联系。,https://www.douyin.com/video/7494362947288845602,True,00:00:36,视频,1744941600
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7494363443965807906,我们全屋定制468一平，没有套路，没...屋定制工厂 #能度空间全屋定制工厂,2025-04-21 09:00:00,"['全屋定制', '广西全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,135,43,34,18,"['居家', '装修设计', '家装主材']",有粉丝朋友问 我们468一瓶的全屋定制都包含了哪些东西 今天我用一条视频告诉你们 贵门 我们给您双面 pt o 搜门版 贵体 我们给您emf 级多层版加九厘多层背板。 包设计包五金包送货包安装包售后五金用的是国内一线平台汉高。 每个柜子送两个抽屉 没有任何隐形增向 让大家消费的明明白白 准备要装修做全屋定制的业主朋友们欢迎来联系我。,https://www.douyin.com/video/7494363443965807906,True,00:00:30,视频,1745197200
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7496458237324234018,我们2025的国补活动来咯！#广西全屋... #能度空间全屋定制工厂 #全屋定制,2025-04-23 18:46:43,"['广西全屋定制工厂', '能度空间全屋定制工厂', '全屋定制']",广西能度空间定制工厂,17,-1,1,1,"['居家', '装修设计', '家装主材']",广西的耶稻朋友们 2025年的国步要来咯 如果您正在想做全屋定制的柜子 那千万不要错过了。 不管你是想做什么样风格的柜子 还是选什么品牌的板材 都可以享受到15%的大补贴 即使有这么大的优惠 我们保证落地的标准不会改变 我们会给您高品质的交付 如果你想了解更多。 国步的信息欢迎联系我。,https://www.douyin.com/video/7496458237324234018,True,00:00:21,视频,1745405203
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7497935970315160872,我们要在五月征集30套样板间，给到...屋定制工厂 #能度空间全屋定制工厂,2025-04-27 18:21:05,"['全屋定制', '广西全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,131,48,35,16,"['居家', '装修设计', '家装主材']",广西的业主朋友们注意了 我们将在五月份征集30套样板间 您只需满足以下两个要求 第一 柜子的面积要在30瓶以上 第二 完工后允许我们拍摄视频 我们可以给到您两个优惠 468元一瓶 品牌 enf 级实木多层板加双面 pt 的欧松板 568元一瓶。 付签墨 ef 级实木多层板加双面 pt 的欧松板 并且在这两个价格基础上 每五平方赠送您两个抽屉。 标配汉膏五金 赠送两米灯带 一平方的玻璃门 最重要的是我们给您包测量 设计 生产 送货 安装 请放心 我们不会因为活动优惠就降低产品质。 作为样板展示 更要保质保量 如果您符合条件 欢迎在评论区留言样板间。,https://www.douyin.com/video/7497935970315160872,True,00:00:45,视频,1745749265
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7498611836070513935,千万不要错过我们五一的团购活动，...屋定制工厂 #能度空间全屋定制工厂,2025-04-29 14:03:49,"['全屋定制', '广西全屋定制工厂', '能度空间全屋定制工厂']",广西能度空间定制工厂,208,2,12,-1,"['居家', '装修设计', '家装主材']",广西要装修的胭脂朋友们 千万不要错过我们五一的团购活动 468元一瓶品牌 enf 及实木多层板加双面 pt 欧松门板。 568元一瓶 顾千莫 enf 及实木多层板加双面 pt 欧松门板 并且每五平方自送您两个抽屉 标配汉膏五金还给大家做。 送灯带玻璃门等 如果带上您的亲朋好友一起下单 我们还会赠送您价值1580元的品牌床垫 对我们五一团购活动有兴趣的朋友们 欢迎来工厂看一看。,https://www.douyin.com/video/7498611836070513935,True,00:00:30,视频,1745906629
7488636137872639034,广西能度空间定制工厂,2025-08-25 16:40:59,7498939858631544064,我们的五一活动详情！欢迎大家来了...全屋定制 #广西全屋定制工厂 #五一,2025-04-30 11:16:42,"['全屋定制', '广西全屋定制工厂', '五一']",广西能度空间定制工厂,26,3,13,-1,"['随拍', '录屏', '文字录屏']",,https://www.douyin.com/note/7498939858631544064,False,00:00:00,图集,1745983002
