商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
4100528813145408,文挺机电的挺哥（五恒系统空调）,2025-08-25 17:03:41,7536166643815992610,欢迎各位设计师到我们展厅，体验五...五恒空调系统 #五恒系统 #五恒空调,2025-08-08 18:55:33,"['文挺机电', '五恒空调系统', '五恒系统', '五恒空调']",文挺机电的挺哥（五恒系统空调）,40,15,11,2,"['居家', '家具家电', '家电']",这是南宁少有的一家五恒系统空调体验中心。 我是文挺机店的主要负责人挺哥。 这是我投资百万打造的一家。 瑞士深得的五恒体验中心。 深得五恒系统市集。 智能。 采暖。 厨师。 家师。 新手。 清风。 台风。 净化。 杀菌。 与液体的高端智能空气处理集成系统。 能实现恒温。 恒湿。 恒凉。 恒静。 恒洁的五恒环境指标。 更好的满足用户对室内环境低噪音。 无风感。 空气清新。 体感舒适的高标准室内环境需求。 是高。 高端住宅用户实现。 高品质生活的重要配置。 在我们体验中心的二楼。 您可以直观的对比。 五行系统和传统中央空调。 从噪音舒适度。 及加装适配性。 多方面的差异。 三楼是瑞士深得五行系统的体验空间。 在这里可以体验到。 适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适合适。 适合暂停参观体验。,https://www.douyin.com/video/7536166643815992610,True,00:01:21,视频,1754650533
4100528813145408,文挺机电的挺哥（五恒系统空调）,2025-08-25 17:03:41,7538042023321799946,各位设计师朋友不可或缺的谈单底牌...空调 #五恒科技住宅 #五恒舒适系统,2025-08-13 20:12:59,"['五恒系统', '五恒空调', '五恒科技住宅', '五恒舒适系统']",文挺机电的挺哥（五恒系统空调）,13,5,7,3,"['居家', '家具家电', '家电']",很多豪宅业主指定要安装的。 五行系统空调就在我们这里。 五行环境指标可以满足用户对于。 无噪音 无风感 体感舒适。 空气清新的室内环境要求。 我是在南宁做五行空调的挺哥。 如果你手上有优质的别墅或者大平常的单子。 我们的五行系统空调将是你不可或缺的。 谈单底牌 欢迎有需要。 有意义的设计师的朋友随时跟我联系。,https://www.douyin.com/video/7538042023321799946,True,00:00:42,视频,1755087179
4100528813145408,文挺机电的挺哥（五恒系统空调）,2025-08-25 17:03:41,7541386563318975790,冠江墅三恒空调系统，是你想找的吗？...电 #五恒空调 #三恒系统 #南宁空调,2025-08-22 20:31:31,"['文挺机电', '五恒空调', '三恒系统', '南宁空调']",文挺机电的挺哥（五恒系统空调）,9,-1,1,-1,"['居家', '家具家电', '家电']",好房子配好系统 今天我们来到的是保力灌浆数27的江景一线大平城 这一套房子呢 客户选择的是我们一套三横系统 可以做到恒温恒施恒雅 我们系统的组合采用的是特灵的天水地水两联共系统 我们空调呢采用的是水循环的空调 所以夏天。 的质冷比较油和 属性度非常高 不干燥 我们的地暖呢 可以实现冬天的取暖和夏天的供冷 我们夏天给地面通入高温冷水就可以实现地面的制冷功能。 所以系统的结合呢 舒适度是非常的高 同时我们又增加了一套厨师新风系统 来保证我们整个室内空间的。 空气的品质和湿度的控制 我们整个地面地暖已经施工完毕 采用的是12的管道 5公分的间距铺设 大大提高了我们整个地面的散热面。 效果是非常好 我们的地暖管道在柜子的位置呢 预留出来 但柜子的部分 我们底部也是做了整体的保温 我们。 整个平面的保温效果是非常好的 这种小间距加密铺设的工艺呢 在使用的过程当中也相对会更节能 效果也会更好 因为管道的加密铺设以后 我们可以用更低的水温。 实现更好的供暖的温度 所以机组的能效比会更高 也会更加的节能 更加的舒适 这里是我们。 我们的地暖的分级水器 我们地暖安装完之后都做了压力的测试 现在系统里面都打着8公斤的压力 所以我们不需要担心后期地暖管漏水的隐患 因为我们在整个安装和整个装修的过程当中 整个系统是持续保护 避免后续的这种找平过程当中破坏到管道或者管道的一些破损。 导致的漏水 这个空间呢 是主卧的位置 这边有一组大的衣柜 所以我们衣柜下面地暖的管道是没有铺设 但是我们整个地面的空间呢 底部是做了两公分的保温 让我们整个楼面的保温性能做的最好 后期使用呢 会更加的节能 这一套房子呢 所有的房间采用的是。 木地板木地板呢 在地暖来讲 它的导热会相对比较慢 我们这种加密的地暖的工艺可以有更大的散热量 能够很好的保证我们木地板的冬季供暖的效果。 这样一套系统既舒适又节能 是不是你正在寻找的理想选择 如果您在南宁 也的房子正在装修 欢迎。 到我们的展厅参观交流。,https://www.douyin.com/video/7541386563318975790,True,00:02:21,视频,1755865891


=== 商家统计信息 ===
总视频数,3
转录覆盖数,3
转录覆盖率,100.0%
总点赞数,62
总评论数,19
总收藏数,19
总分享数,4
平均点赞数,20.7
平均评论数,6.3
平均收藏数,6.3
平均分享数,1.3
最早发布,2025-08-08 18:55:33
最新发布,2025-08-22 20:31:31
标签数量,3
主要标签,['家具家电', '家电', '居家']
商家UID,4100528813145408
商家名称,文挺机电的挺哥（五恒系统空调）
文件夹名称,UID4100528813145408_文挺机电的挺哥（五恒系统空调）_发布作品
