商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7526122665557200166,真没有想到#门窗源头工厂#封窗封阳台#断桥平开窗#六轨推拉窗,2025-07-12 17:19:47,"['门窗源头工厂', '封窗封阳台', '断桥平开窗', '六轨推拉窗']",欧缇雅门窗工厂,6,1,-1,-1,"['居家', '装修设计', '家装主材']",真没想到这个行业已经卷成这个样子。 我是谁不重要 重要的是有我的存在。 您在欧地亚名川能够买到以上有保障的好名川。 现在做生意比的就是谁靠谱。 真诚做事的人一定会人得人心。 欧地亚名川多年将属品质。 您什么时候来我一直都在。 我是飞哥 欢迎您来欧地亚。 欧地亚找我。,https://www.douyin.com/video/7526122665557200166,True,00:00:20,视频,1752311987
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7526496633329028402,维护品质是持久战，让客户没有后顾...轨推拉窗#断桥平开窗#门窗源头工厂,2025-07-13 17:30:58,"['六轨推拉窗', '断桥平开窗', '门窗源头工厂']",欧缇雅门窗工厂,3,-1,-1,-1,"['居家', '装修设计', '家装主材']",说出来您可能不信。 欧利亚名川客户用家都说品质好。 价格还不贵。 广大业主相互推荐就是最好的证明。 现在所有的行业都很卷。 我觉得不管怎么样内检。 最终还是会回到品质本身。 维护品质是持久战。 让客户没有后顾之忧才是根本。,https://www.douyin.com/video/7526496633329028402,True,00:00:18,视频,1752399058
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7526861401648303417,#同城热门话题🔥 欧缇雅门窗，用心做...门窗源头工厂#自建房门窗#别墅门窗,2025-07-14 17:06:29,"['同城热门话题🔥', '门窗源头工厂', '自建房门窗', '别墅门窗']",欧缇雅门窗工厂,3,2,-1,-1,"['居家', '装修设计', '家装主材']",千万不要去买那些差的名村了。 因为没有任何服务。 征服人心的一定不是价格。 是品质。 作为深耕名村行业15年的大型名村源头购场。 欧利亚名村能够持续发展。 不是侥幸。 而是专业。,https://www.douyin.com/video/7526861401648303417,True,00:00:14,视频,1752483989
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7527238359090220315,一扇好的门窗能让你的生活更美好#...窗#平移气密窗#六轨推拉窗#推拉门,2025-07-15 17:29:14,"['门窗源头工厂', '断桥系统门窗', '平移气密窗', '六轨推拉窗', '推拉门']",欧缇雅门窗工厂,4,-1,-1,-1,"['居家', '装修设计', '家装主材']",你信不信呢 一扇好多名窗能让你的生活更美好。 说一千到一万 不如实地看一看 满不满不要紧。 一定要来看看我们的好产品。 名窗外观差不多 但是细节差很多。 虽然不是传家宝 但是等用上几十年。 看材料 看品质 OTA名窗差不了。,https://www.douyin.com/video/7527238359090220315,True,00:00:19,视频,1752571754
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7527636791970696488,南宁欧缇雅门窗工厂，只要398平，你...#大玻璃#南宁封阳台#门窗源头工厂,2025-07-16 19:15:23,"['创作灵感', '系统窗', '大玻璃', '南宁封阳台', '门窗源头工厂']",欧缇雅门窗工厂,182,41,55,16,"['居家', '装修设计', '家装主材']",在南宁这款110断桥系统屏开窗。 给到你398一平方。 包两尺包安装。 售后自保十年还是佛山大牌。 你缺点不来看一看吗。 我们这里是佛山欧里亚门窗南宁工厂。 现在直接出来对接热阻。 优惠利度没得说。 398一平的110系列屏开窗。 给到你6063-T5佛山新距离材。 随之等为设计。 无缝工艺。 新一玻璃。 德国热道师全套五金。 我们自有安装团队高标准为你提供安装服务。 如果你在南宁最准备风扬台。 欢迎你来欧里亚门窗。 飞哥给你安排。,https://www.douyin.com/video/7527636791970696488,True,00:00:40,视频,1752664523
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7527973554709761322,在南宁想买大牌门窗，就来欧缇雅门...南宁装修 #南宁门窗工厂 #南宁门窗,2025-07-17 17:02:12,"['南宁封窗', '南宁装修', '南宁门窗工厂', '南宁门窗']",欧缇雅门窗工厂,49,20,18,7,"['居家', '装修设计', '家装主材']",在能林想买大品牌名窗 又放心价格太贵。 抗了便宜的又怕品质和服务跟不上。 在博山欧里亚名窗 哪里工厂 这些都不是问题。 我们的110断桥系统平开窗 给到你们398一平方。 没有任何套路 一平方也是这个价。 100平方也是这个价。 保持着。 包两次包安装包售后。 女才采用的是博山新居女才6 63-75原生理。 搭配新一玻璃 德国瑞拉斯全套五金。 自由安装团队为你提供高标准安装。 确保名窗使用安全无忧。 如果你正好在能林 如果你正准备要封窗。 欢迎你随时来参加。 我给你安排。,https://www.douyin.com/video/7527973554709761322,True,00:00:41,视频,1752742932
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7530234180597419274,南宁欧缇雅门窗源头工厂，110平开窗...厂 #南宁装修 #欧缇雅门窗南宁工厂,2025-07-23 19:14:32,"['南宁封窗', '南宁门窗厂家', '南宁门窗源头工厂', '南宁装修', '欧缇雅门窗南宁工厂']",欧缇雅门窗工厂,13,1,1,-1,"['居家', '装修设计', '家装主材']",比南宁北京工厂更低的价格 有没有可能买到佛山一项品牌的名创 还给你包设计 包粮食 包安装。 自保十年 佛山欧利亚名创 南宁工厂在南宁深耕15年 现在出来直接面对业主。 不止价格实惠 质量更是没得说 女才采用的是佛山新巨女才663。 看t五原生女玻璃采用的是新一元片五金采用德国全套乐式五金。 并增加的是我们自由安装团队高标准为您提供安装服务 确保您的名创使用安全无忧 近期需要封窗的业主朋友们欢迎您随时联系我。,https://www.douyin.com/video/7530234180597419274,True,00:00:36,视频,1753269272
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7531017508908797219,在南宁投资上千万，占地10000平的门...封窗 #封阳台 #门窗工厂 #佛山门窗,2025-07-25 21:54:26,"['南宁', '封窗', '封阳台', '门窗工厂', '佛山门窗']",欧缇雅门窗工厂,17,3,2,4,"['', '', '']",我们在南宁投资上千万 开了这家一万平的门窗源头工厂 就是为了让各位业主在家门口就能用上工厂价买到正宗佛山品牌门窗。 我是欧利亚门窗飞哥在南宁做门窗15年 一直在给各位业主提供高性价比的名创。 现在我来带大家参观一下我们的工厂 这是我们的行财库存区。 为给您快速出货 我们常年储备无保的佛山新巨理财 这边是我们的生产线 从开料拼装。 质检到打包 我们成成把光 只为门窗能更好的安装到您家 生产线就是我们的掌厅 你能看到市面上。 主流的门窗 平开窗 六个特拉窗 便宜厕压窗等热门产品。 里面是我们的测试区 你可以亲自感受我们门窗的隔音 抗风 防水性能。 到门窗的落地效果 为什么说我们的门窗性价比高 这款是我们的110断桥系统平开窗 给到各个业主398一平方没有任何套路。 一瓶也是这个价 100瓶也是这个价 采用6663-75佛山。 新技女才2 0币后 随之等级线设计。 搭配新一汽车级玻璃 德国热纳斯全套五金 自有安装团队 高标准为您上名安装 售后自保20年 我们欧亚门窗是秉承给男业业主做佛山好门窗的理念。 如果你近期有风伤需求 欢迎你来工厂了解。,https://www.douyin.com/video/7531017508908797219,True,00:01:19,视频,1753451666
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7531018355201953076,南宁门窗源头工厂，自己生产自己卖，...宁 #封窗 #封阳台 #门窗 #门窗工厂,2025-07-25 21:57:47,"['南宁', '封窗', '封阳台', '门窗', '门窗工厂']",欧缇雅门窗工厂,26,1,14,5,"['居家', '装修设计', '家装主材']",在南宁小风窗不来我这里 你都不知道能够省那么多钱 像这款110系列的平开窗 3981平分给到各位业主。 还给你们包玻璃 包沙网 包设计 包安装 包售后 我们欧地亚门窗是上万平方的门窗源头工厂。 在南宁已经扎根15年了 一样的价格在我们这给你。 更好的品质 一样的品质 我给你更低的价格 你想要的平开窗 推拉窗 提升窗等 我们这里都有。 不管你是资建房 商品房还是别墅 都有适合您的风窗款式 最近要风窗复扬台的南宁业主 请直接私信我 我给你发报价清单和风窗案例。,https://www.douyin.com/video/7531018355201953076,True,00:00:37,视频,1753451867
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7532433681785408802,南宁的自建房别墅业主们！南宁大型...宁 #别墅 #自建房 #平开窗 #推拉窗,2025-07-29 17:29:59,"['南宁', '别墅', '自建房', '平开窗', '推拉窗']",欧缇雅门窗工厂,3,-1,1,-1,"['居家', '装修设计', '家装主材']",在南联的自建房别墅业主们同样的价格你们还在看那种不隔音不隔热落风累手的。 8090窗吗 为什么不看一下我们otr名窗这款110断桥系统平开窗 采用663让t5佛山新级女才。 随之等明显设计 创造无缝焊接工艺 新一汽车级玻璃德国。 说瑞拉斯全套五斤 自有安装团队 高标准为你提供安装服务。 3981平方的价格给你包设计包廉耻包安装包售后 差不多的价格给家里装一个用的更久。 用的更舒服的窗 不香吗 不要觉得我们在搞套路 我们是源头工厂 只要出货量一瓶是这个价。 100平也是这个价 如果你正在了解门窗 不妨来我们工厂看看 我给你安排。,https://www.douyin.com/video/7532433681785408802,True,00:00:46,视频,1753781399
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7533864576459263270,后悔开了这家门窗工厂，398一平的高... #平开窗 #封窗 #推拉窗 #门窗工厂,2025-08-02 14:02:33,"['南宁', '平开窗', '封窗', '推拉窗', '门窗工厂']",欧缇雅门窗工厂,1,-1,1,1,"['居家', '装修设计', '家装主材']","这辈子最后悔的事情就是在南林开了这家。 勾底亚明川工厂。 当初这款110断桥系统平安窗。 门店要你7,800。 我们只要398一坪。 还包两尺。 包设计 包安装 包售后。 价格比门店还低。 直接对接业主。 一件也是批发价。 就这样还有很多业主。 跑到门店去买更贵的门窗。 我们用的是。 佛山新技原生理财。 新一元片钢发玻璃。 配套5G是全套德国热辣丝。 用材品门店不知道要好多少。 就这样子在南林还有很多业主。 不知道我们。 不知道找我们买窗更划算。 你说我会不会后悔。",https://www.douyin.com/video/7533864576459263270,True,00:00:33,视频,1754114553
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7535015099946421564,门窗怎么看，我来带你看#创作灵感 #...南宁门窗定制 #欧缇雅门窗南宁工厂,2025-08-05 16:26:58,"['创作灵感', '门窗人', '阳台设计', '南宁门窗定制', '欧缇雅门窗南宁工厂']",欧缇雅门窗工厂,3,-1,1,-1,"['居家', '装修设计', '家装主材']",没看怎么看 我来带你看。 这是六轨全景断桥跳的窗。 这是断桥系统屏开窗。 这是平移侧压窗。 这是电动提升窗。 这是标配的全套热达15斤。 品质新的货。 这是我们的新一玻璃大品牌定有宝大。 这是我们的新技礼院663。 但期五杨胜利放心靠谱。 在哪里想要高品质高性价比的门窗。 请来欧雅名专找我。 我带你去。 你看各种各样的窗。,https://www.douyin.com/video/7535015099946421564,True,00:00:21,视频,1754382418
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7536186039808576825,130悬浮六轨推拉窗！#南宁封窗#门窗...窗 #欧缇雅门窗南宁工厂 #创作灵感,2025-08-08 20:10:48,"['南宁封窗', '门窗源头工厂', '封窗', '欧缇雅门窗南宁工厂', '创作灵感']",欧缇雅门窗工厂,8,1,5,-1,"['居家', '装修设计', '家装主材']",在南宁通窗 你不想要这种大玻璃 内开窗 暂时内空间 容易碰头 开窗小 空气不好 那你可以看看我们这款全景六轨推拉窗 663-75 杨城女才 闭口2.0 结实看照。 现入式设计 隔音隔热 不碰头 还美光 新意 杨天玻璃 大品牌 更安心 六轨推拉四环 不暂时内空间 搭配304 高清沙瓦 蛮从物党视野 还可以选配10厘米大风。 此首抗风景 简直不要太舒服 这款大拖风大事业的全景六轨推拉窗 你喜欢吗 在哪里有需要的朋友欢迎你来欧亚名庄打我。,https://www.douyin.com/video/7536186039808576825,True,00:00:26,视频,1754655048
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7537241903897611579,在南宁，110系列平开窗只需要398一...窗 #欧缇雅门窗南宁工厂#创作灵感,2025-08-13 12:27:00,"['南宁封窗', '门窗源头工厂', '封窗', '欧缇雅门窗南宁工厂', '创作灵感']",欧缇雅门窗工厂,17,5,9,1,"['居家', '装修设计', '家装主材']",有的业主问我 雍林区也包送货安装吗 是的 老板在整个广西啊 不管是哪里还是下面的事情 我们都上面两次生活安装 作为哪里三万平安门仓园团工厂 直接面向业主 厂门对接家门 给到各位都是工厂价 像我身旁的这款110断桥系统屏开窗 398一平不仅两次送货安装收货都给你安排 用的都是华商星际女才 金玉玻璃和瑞拉斯。 全套五斤 此外 市面上主流的推拉窗 平开窗 侧压窗 提升窗都有生产 满足你的各种封窗需求 近期需要封窗的哪里业主请随时联系我。,https://www.douyin.com/video/7537241903897611579,True,00:00:28,视频,1755059220
3572742372467803,欧缇雅门窗工厂,2025-08-25 17:09:21,7540147748864085306,在南宁买门窗，当然要选择本地直营...人#封窗 #大玻璃落地窗 #创作灵感,2025-08-19 12:24:16,"['南宁封窗', '门窗人', '封窗', '大玻璃落地窗', '创作灵感']",欧缇雅门窗工厂,1,-1,-1,-1,"['居家', '装修设计', '家装主材']",在南宁买名船 为什么要选择本地的名船然后工厂 首先我们是工厂职业 直接对接业主价格更实惠 像我身后的这款110方桥系统平开窗 只要398一平。 还安排两次送货安装售后 其次我们的名船质量过硬 采用的都是6663-75 黄沧清级铝材 常年储备500吨 及时享用各种需求。 名船均标配信义玻璃和链大师全套五金 保证你的名船在使用的过程中安全无忧 最后我们工厂就在香氏福小镇附近 您下好进档 我们马上开始生产 基本上在15天内完成出货 不当问题 住新房 在南宁需要通船货扬台的业主 有空的时候一定要来我们欧利亚名船工厂看一看。,https://www.douyin.com/video/7540147748864085306,True,00:00:37,视频,1755577456


=== 商家统计信息 ===
总视频数,15
转录覆盖数,15
转录覆盖率,100.0%
总点赞数,336
总评论数,69
总收藏数,102
总分享数,25
平均点赞数,22.4
平均评论数,4.6
平均收藏数,6.8
平均分享数,1.7
最早发布,2025-07-12 17:19:47
最新发布,2025-08-19 12:24:16
标签数量,4
主要标签,['', '家装主材', '居家', '装修设计']
商家UID,3572742372467803
商家名称,欧缇雅门窗工厂
文件夹名称,UID3572742372467803_欧缇雅门窗工厂_发布作品
