商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7516387004784430363,你可以找到性价比更高的冻库， 欢迎...汉 #湖北 #冷链物流园 #冻库 #冷库,2025-06-16 11:40:32,"['武汉', '湖北', '冷链物流园', '冻库', '冷库']",武汉海汇冷库,224,16,51,31,"['随拍', '生活记录', '日常vlog']",在武汉 哪里可以找到性价比更高 价格更有优势的大型标准冷库。 大家好 我是武汉海会冷面物流园的招商负责人张点。 这是我们发了建议两个小目标。 在东区湖区建造的冷面物流园。 占地60亩 设置有两个6000平冷库 两个4000平干仓。 仓库顶部的这些东西就是我们冷。 高性价比的秘诀 这就是我们的光伏发电机组 价值近千万的光伏发电设备。 能极大的降低电费成本 我们就能给各位老板更美丽的价格。 来 我们来感受一下我们零下18度的洞库。 我们的冷库采用自动化设备 使用prc控制技术 全程温度自动。 控制 可以根据您的需求 设置成不同的温度 这个就是我们的备用发电机。 可以确保在突发停电的状态下 保证洞库的正常运转 我们园区道路足足有45米宽。 即使18米的大货车也能轻松掉头 该有的配置我们都有 方便装卸货物 如果各位老板对我们园区感兴趣。 欢迎来找张姐喝茶。,https://www.douyin.com/video/7516387004784430363,True,00:01:04,视频,1750045232
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7517592185274141990,海汇物流园在哪里 #武汉物流园 #冷链物流 #武汉冷链物流,2025-06-19 17:37:12,"['武汉物流园', '冷链物流', '武汉冷链物流']",武汉海汇冷库,9,-1,4,1,"['随拍', '生活记录', '日常vlog']",怎么还有做生鲜的老板。 不知道我们海汇冷店物流园在哪呢。 我们物流园在武汉东西湖区。 汇安大道上。 旁边就是京港澳高速出入口。 交通十分便利。 我们洞库面积共有12000平。 分有两个6000平的大仓。 我们园区还配置有光伏发电。 可以极大降低电费成本。 各位有需要的。 老板欢迎来我们海汇冷店物流园了解一下。,https://www.douyin.com/video/7517592185274141990,True,00:00:23,视频,1750325832
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7519027106525826354,武汉干仓欢迎来访 #武汉物流 #冷链 #武汉 #冷链物流,2025-06-23 14:25:24,"['武汉物流', '冷链', '武汉', '冷链物流']",武汉海汇冷库,222,7,34,2,"['随拍', '生活记录', '日常vlog']",在武汉做冷链配送 洞窟都有了。 怎么还能少得了干舱呢。 身后就是我们海会的两个干舱。 总共8000方。 就在我们洞窟的正对面。 45米宽的主路停车也是非常方便。 都座有高台库。 这种升降平台。 该有的配置我们都有。 方便装卸货物。 就是我们的。 可以根据客户的需求。 放置货架。 如果您进去想要找一个这样的干舱。 不妨来我们园区看看。,https://www.douyin.com/video/7519027106525826354,True,00:00:29,视频,1750659924
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7520096744215317811,武汉现成冷库 #武汉 #冷链物流 #武汉海汇冷链物流园,2025-06-26 11:36:10,"['武汉', '冷链物流', '武汉海汇冷链物流园']",武汉海汇冷库,144,9,7,3,"['随拍', '生活记录', '日常vlog']",如果您近期想在武汉找一个现成的洞库。 做生鲜做冷炼。 那么我身后这个洞库您可千万不要错过了。 我们园区是位于武汉东西湖区惠安大道上。 位于京港澳高速附近。 交通运输非常的方便。 园区道路宽敞。 停车入库也都相当方便。 而且顶部还做的光滑。 可以省一笔不小的电费。 不管您需要多大规格的仓库。 我们都可以随时提供。 可以根据您的货品需求。 从宁夏20度到宁夏15度任意调节。 如果您需要洞库的话。 欢迎来我们园区参观考察。,https://www.douyin.com/video/7520096744215317811,True,00:00:35,视频,1750908970
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7521703803168541978,海汇冷链园让你安心又放心#武汉 #冷链运输 #武汉冷链物流园,2025-06-30 19:32:22,"['武汉', '冷链运输', '武汉冷链物流园']",武汉海汇冷库,234,9,10,-1,"['随拍', '生活记录', '日常vlog']",我绝不允许你们还不知道。 在武汉有这么一家能量物流源。 我们的宗旨就是让客户安心放心。 首先就是放心。 我们这里有365天24小时的服务。 安保能源每小时消防安全巡查。 不需要担心任何突发事件。 其次就是安心。 我们有专业管理维护能源。 定时对电器设备进行检查维护。 确保洞库正常运行。 有需要洞库的老板们。 欢迎来我们海会能量物流源了解一下。,https://www.douyin.com/video/7521703803168541978,True,00:00:28,视频,1751283142
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7522758991551221002,海汇物流园让老板更放心 #武汉 #武汉冷链运输 #武汉冻库,2025-07-03 15:47:02,"['武汉', '武汉冷链运输', '武汉冻库']",武汉海汇冷库,114,5,6,2,"['随拍', '生活记录', '日常vlog']",很多老板在选择仓库的时候。 最关心的还是安全问题。 今天我就带大家看看我们园区做的哪些安全消防措施。 首先是制冷这一块我们配有独立的发电机。 即使有突发停电情况我们也能正常运行。 其次我们冷库配有自动消防安全系统。 一旦有险情发生消防安全系统。 防水炮即刻精准定位。 最后我们园区有24小时值班。 每小时就巡查一次。 确保没有安全隐患。 选择我们海会冷垫围游园完全没有后顾之忧。,https://www.douyin.com/video/7522758991551221002,True,00:00:32,视频,1751528822
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7524522163404426506,武汉高性价比物流园推荐 #武汉 #冷链物流 #武汉冷链物流园,2025-07-08 09:49:05,"['武汉', '冷链物流', '武汉冷链物流园']",武汉海汇冷库,109,1,5,1,"['随拍', '生活记录', '日常vlog']",在武汉你可以找到很多做冷链的园区。 但是像我们海会这样性价比更高的。 您为什么不考虑一下呢。 我们今年花下了近千万。 在冷库顶部布置了光伏发电设备。 这可以极大降低我们东货的电费成本。 可以给各位老板更美丽的价格。 而且我们园区道路宽敞。 18米的棒挂。 也能轻松掉头。 我们工作人员会随时巡查园区。 杜绝安全隐患。 欢迎有需要的客户来我们园区考察。 我们海会将节程为您服务。,https://www.douyin.com/video/7524522163404426506,True,00:00:31,视频,1751939345
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7526157306750127410,高性价比物流园欢迎了解下我们海汇 #武汉 #冷链物流 #冻库,2025-07-12 19:34:12,"['武汉', '冷链物流', '冻库']",武汉海汇冷库,165,8,22,7,"['随拍', '生活记录', '日常vlog']",如果你想找一个性价比高的园区。 欢迎来我们海会看看。 这里是我们园区居龙冷店云仓。 后面就是他们的打包区。 这边就是他们的冷库。 之所以选择我们园区。 就是因为我们正规稳定设备完善。 并且我们园区交通非常便利。 旁边就是京港澳高速。 和物流园。 方便他们货物进出。 所有你能想到的配置。 我们都有。 方便装卸货物。 欢迎想做冷店的老板们。 来我们海会看看。,https://www.douyin.com/video/7526157306750127410,True,00:00:31,视频,1752320052
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7527610155739942170,武汉冻库看看海汇 #武汉 #冷链物流 #武汉海汇冷链物流园,2025-07-16 17:31:59,"['武汉', '冷链物流', '武汉海汇冷链物流园']",武汉海汇冷库,40,1,3,-1,"['随拍', '生活记录', '日常vlog']",这条视频是给所有在武汉想住洞库的朋友们。 这里就是我们站地65。 我们还会冷静误留言。 我们不说废话。 直接看洞库。 智能效果非常好。 我们的道路宽敞从这儿到这儿。 45米。 18米的货车。 轻松入库。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。 我们还配置。 我们的道路宽敞从这儿到这儿。,https://www.douyin.com/video/7527610155739942170,True,00:00:34,视频,1752658319
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7527616224210226478,武汉冻库干仓招租 #武汉 #冻库 #干仓 #冷链物流,2025-07-16 17:55:33,"['武汉', '冻库', '干仓', '冷链物流']",武汉海汇冷库,43,2,3,1,"['随拍', '生活记录', '日常vlog']",,https://www.douyin.com/video/7527616224210226478,False,00:00:17,视频,1752659733
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7530837891225619738,做生鲜冷链什么最重要 #冷链物流 #武汉 #同城热搜 #现场实拍,2025-07-25 10:17:17,"['冷链物流', '武汉', '同城热搜', '现场实拍']",武汉海汇冷库,64,9,13,2,"['随拍', '生活记录', '日常vlog']",做生鲜冷链最重要的是什么。 当然是对温度的控制。 我们海会的洞库使用国外控温技术。 可以做到温度可视化。 减少温度波动。 我们有1万2千坪的可调温库。 不论您是做恒温。 冷藏。 和冷冻。 都可以满足您的需求。 我们还配置有备用发电机。 远距24小时。 确保您的货物安全无忧。 如果您需要洞客的话。 欢迎来我们园区看看。,https://www.douyin.com/video/7530837891225619738,True,00:00:35,视频,1753409837
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7535377081959484732,武汉租冷库来海汇 #冷库招租 #干仓招租 #武汉,2025-08-06 15:51:39,"['冷库招租', '干仓招租', '武汉']",武汉海汇冷库,34,-1,2,-1,"['随拍', '生活记录', '日常vlog']",在武汉东西湖区租大型标准冷库。 选择海彗洞库。 性价比更高。 园区标配光伏发电。 价格美丽。 道路宽敞。 设备专业。 出道就是赚到。 安保负责24小时巡检。 您的货物放心交付。 有洞库干舱需求的武汉老板们。 欢迎来园区参观考察。,https://www.douyin.com/video/7535377081959484732,True,00:00:27,视频,1754466699
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7540572458760555803,武汉干仓冻库招租看海汇 #武汉 #冻库招租 #干仓招租 #物流,2025-08-20 15:52:22,"['武汉', '干仓招租', '物流']",武汉海汇冷库,6,1,2,-1,"['随拍', '生活记录', '日常vlog']",近期有没有想在武汉找洞库干仓的老板。 如果你们想找一个正规。 道路宽敞 使用品高的仓库。 欢迎来我们海会了解一下。 这边是我们的洞库。 一共12000方。 目前有2000方在招租。 可以根据您的货品要求。 从零下18度的洞库。 到零下15度的冷藏。 都可以满足。 这边是我们的干仓。 一共8000方。 目前有3000方在招租。 仓库都标配高台库。 自动升降平台。 方便装卸货物。 顶部配置有自动消防水泡。 安保能源24小时巡逻。 确保您的货物安全无忧。 我们是房东直租。 没有租借商价格更优惠。 如果各位对我们有兴趣的话。 如果有兴趣的话。 欢迎各位老板。 来我们园区参观考察。 我们海会欢迎您。,https://www.douyin.com/video/7540572458760555803,True,00:00:44,视频,1755676342
1532049171167472,武汉海汇冷库,2025-08-25 16:38:02,7542068330678340910,武汉食品供应链的老板别错过啦 #武汉 #冷链物流 #干仓招租 #冻库招租,2025-08-24 16:37:08,"['武汉', '冷链物流', '干仓招租']",武汉海汇冷库,-1,-1,-1,-1,"['财经', '财经知识', '创业指导']",如果你是在武汉做食品供应链的企业。 你知道你的同行会选择什么样的冷库吗。 我要推荐的就是这个海汇冷链物流源。 位于东西湖汇安大道上。 旁边就是京港岸高速。 园区共有两个6000平的洞库。 六层高的货架。 顶部有光伏发电租金价格美丽。 园区道路宽敞。 乐台配置有。 升降平台方便装卸货物。 现有2000方对外出租。 可以分割。 优惠有时效。 欢迎有需要的朋友赶紧联系我。,https://www.douyin.com/video/7542068330678340910,True,00:00:27,视频,1756024628


=== 商家统计信息 ===
总视频数,14
转录覆盖数,13
转录覆盖率,92.9%
总点赞数,1407
总评论数,65
总收藏数,161
总分享数,45
平均点赞数,100.5
平均评论数,4.6
平均收藏数,11.5
平均分享数,3.2
最早发布,2025-06-16 11:40:32
最新发布,2025-08-24 16:37:08
标签数量,6
主要标签,['财经', '生活记录', '财经知识', '日常vlog', '创业指导', '随拍']
商家UID,1532049171167472
商家名称,武汉海汇冷库
文件夹名称,UID1532049171167472_武汉海汇冷库_发布作品
