商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7522347409700834617,#门窗厂 #门窗生产线 广西铝合金门...配套，利润空间大，诚邀经销商合作！,2025-07-02 13:09:52,"['门窗厂', '门窗生产线']",海帝门窗知识库,10,2,1,-1,"['居家', '装修设计', '家装主材']",想找门窗靠谱供应链的老板们别划走。 我是小玉。 万飞100阳光门窗B端负责人。 今天就让我带你看一下我们工厂的实力。 这是我们位于南宁智能门窗生产基地。 投资两个小目标。 占地7万平方。 厂房全部采用玻璃木墙现代化力面。 全系使用4.0智能生产线。 我们不惜重金引进门窗生产设备。 就是为了让工艺更精准。 生产更高效。 成本更低。 这是材料储备区。 常年储备500吨铝材。 充足的库存是稳定出货的保证。 这是锯切中心。 激光化线。 切割。 一台机子全给你搞定。 这是自动激光切网机。 由它剪出来的纱网。 会更加的精细。 做好的门窗。 经过调试后全部进行加厚包装。 全国可发。 我们冠飞集团从2006年开始做门窗。 一直致力于工庄行业。 对大型房企供货。 现在成立100阳光品牌。 打造家庄产品线。 不管你是门窗经销商。 还是装修公司。 工程公司的老板。 只要你需要门窗。 我们就能供货。 需要靠谱门窗供应用的老板。 欢迎来场参观交流。,https://www.douyin.com/video/7522347409700834617,True,00:01:17,视频,1751432992
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7522795718768446778,#门窗工厂 优质门窗供货渠道 我们...用）欢迎全国的门窗经销商洽谈合作,2025-07-03 18:09:31,['门窗工厂'],海帝门窗知识库,89,80,27,11,"['居家', '装修设计', '家装主材']",价格低 品质好的门川供货渠道哪里找 30秒给你安排上 这是我们卖的比较好的113系列屏开窗 只需2491瓶。 我们包五斤 包玻璃 包物流 全国发货 选自广东6063t5原生履材 币后2.0。 结实稳固 玻璃采用双层中空钢化玻璃。 搭配好薄五金 我们贯飞100阳光门窗 已经专注门窗生产近20年。 自有7万平门窗生产基地 全系使用4.0智能生产线 有需要的老板欢迎在评论区留言 我给您。 安排样窗。,https://www.douyin.com/video/7522795718768446778,True,00:00:41,视频,1751537371
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7526750648222747913,全网寻找三种人 #门窗厂 #门窗定制... 装修公司老板 工程老板 洽谈合作,2025-07-14 09:56:46,"['门窗厂', '门窗定制']",海帝门窗知识库,130,38,47,14,"['居家', '装修设计', '家装主材']",我们正在全网寻找三种人。 门窗店老板。 装修公司老板。 各类工程老板。 我们贯飞100阳光门窗。 有着7万平智能化生产基地。 全系使用4.0智能生产线。 我们和广东大厂合作。 从源头把价格打下来。 一次性囤租500吨原生铝。 能及时响应各种大单。 集单。 用材有保证。 价格也实惠。 如果您也正好在寻找一个。 靠谱的门窗生产工厂。 欢迎您随时联系我。,https://www.douyin.com/video/7526750648222747913,True,00:00:34,视频,1752458206
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7530224671061511433,爆款系统平开窗 4.0智能生产线大厂...经销商洽谈合作 #门窗工厂 #门窗厂,2025-07-23 18:37:57,"['门窗工厂', '门窗厂']",海帝门窗知识库,178,9,11,-1,"['居家', '装修设计', '家装主材']",全广西的门窗经销商老板看过来。 我们100阳光爆款系列平开窗包五金包玻璃包物流全国发货。 密封结构设计防水隔热效果好。 搭配好薄五金大品牌。 更安心赠送304金刚沙网更通透耐用。 装好的门窗调试后全部进行加厚包装。 这是我们在门窗行业的第19个年头。 服务过上千家B端客户。 从生产到售后我们都有着完整且成熟的流程。 如果你正在寻找一家靠谱的门窗工厂。 欢迎随时联系我。,https://www.douyin.com/video/7530224671061511433,True,00:00:39,视频,1753267077
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7530580337466838323,4.0智能生产线 急单多单都能搞定 #门窗厂 #门窗厂家,2025-07-24 17:37:53,[],海帝门窗知识库,8,-1,2,-1,"['随拍', '生活记录', '日常vlog']",广西的老板们 如果你有集单 多单 找我们100阳光 完全可以放心。 现在大家看到的是柳州李总的订单 一共800瓶。 因为要货时间紧 我们专门调动多条生产线同时运作。 从下单到生产发货 15天左右就能搞定。 目前正在准备装车。 我们从生产到售后 都有完整且成熟的流程。 无论怎样的单量 我们都全力做好品质与服务。 广西的门窗门店 装饰公司的老板 有需要欢迎来了解。,https://www.douyin.com/video/7530580337466838323,True,00:00:34,视频,1753349873
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7530583737797496110,爆款系统平开窗小样 有兴趣的经销...板可以留言发货 #系统门窗 #门窗厂,2025-07-25 17:50:00,"['系统门窗', '门窗厂']",海帝门窗知识库,153,5,6,-1,"['居家', '装修设计', '家装主材']",现在给大家看到的是我们爆款系列平开窗小样。 采用大品牌五金 质保十年。 更有品质保障。 广东原生铝材。 304金刚沙网。 更通风透气。 搭配信意玻璃。 让您窗前观景更通透。 对我们高性价比平开窗有兴趣的老板们。 评论区留言。 样窗 给您安排发货。,https://www.douyin.com/video/7530583737797496110,True,00:00:22,视频,1753437000
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7530584470462762291,爆款系统平开窗细节展示 #门窗厂家 #门窗厂,2025-07-27 17:55:00,"['门窗厂家', '门窗厂']",海帝门窗知识库,6,1,2,-1,"['居家', '装修设计', '家装主材']",爆款系列屏开窗 只做批发 全国可发。 现在看到的一大片都是我们准备装车发货的订单。 有柳州的 有北海的 还有房城港的。 这是我们113系列屏开窗。 很多老板都喜欢拿这款。 我们包五金 包杀窗 包物流。 如果你也在找门窗工厂。 请直接私信我 我给你详细报价。,https://www.douyin.com/video/7530584470462762291,True,00:00:25,视频,1753610100
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7530585364248022322,爆款系统平开窗价格打下来了 欢迎...合作交流 #门窗厂 #性价比高的门窗,2025-07-29 17:58:00,"['门窗厂', '性价比高的门窗']",海帝门窗知识库,120,2,6,-1,"['居家', '装修设计', '家装主材']",我们100阳光虽然把价格打下来了。 但是我们给各位老板的品质与服务一点也不差。 第一广东原生履材节食稳固。 第二玻璃采用信义玻璃搭配好薄五金配件。 第三自有智能生产基地4.0智能。 下单到发货只需10天左右。 我们包玻璃包五金国内外发货。 从生产到售后全程有人跟进。 广西做装修的老板们这波福利别错过哟。 评论区抠想要。 我们安排小样给您验货。,https://www.douyin.com/video/7530585364248022322,True,00:00:38,视频,1753783080
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7539862385390013746,只做高性价比门窗 有兴趣的经销商老板可以留言发货 #系统门窗#门窗厂,2025-08-18 17:56:59,"['系统门窗', '门窗厂']",海帝门窗知识库,1,-1,1,-1,"['居家', '装修设计', '家装主材']",我们不做市场最低价。 也不做市场最高价。 我们只做高性价比。 这是我们爆款113系列屏开窗。 是我们合作的机销商卖的很火的一款产品。 等温垂直线设计。 防水隔热防噪音。 不仅如此。 我们用的是信义元片玻璃全头。 一套标配进口五金。 还包沙网。 包物流。 自保十年。 这样的性价比之王。 你不心动吗。 感兴趣的老板赶紧私信我。 全国都可以发货。,https://www.douyin.com/video/7539862385390013746,True,00:00:31,视频,1755511019
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7539862825762606374,靠谱专业门窗货源渠道 优质门窗供...国的门窗经销商洽谈合作#门窗工厂,2025-08-19 19:00:00,['门窗工厂'],海帝门窗知识库,4,3,1,-1,"['随拍', '生活记录', '日常vlog']",很多门仓机销商 装饰公司老板。 都不知道怎么选择靠谱的货源渠道。 今天30秒给大家讲明白。 一 看工厂实力。 我们有7万平方米的全自动工厂。 数十条工业4.0智能生产线。 大大缩减了成本。 省下来的利润全都让给你。 二 看库存与生产能力。 仓库常年储备500吨铝材。 月产能可达6万方。 以便快速响应各位老板的急单 大单。 这也是我们赶承诺15天发货的底气。 三 看服务与经验是否专业。 我们100阳光深耕门创行业。 每月服务上百个客户。 有着完整的生产。 对接和售后流程。 此外我们承诺给各位老板。 包五金 包玻璃 包沙网 包物流。 自保十年。 如果你也在找高品质 高性价比的门窗工厂。 直接到我们的网站。 如果有任何评论 请在私信我 给你发详细报价。,https://www.douyin.com/video/7539862825762606374,True,00:01:02,视频,1755601200
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7539863253850033418,专业生产门窗20年 只做高性价比门窗 #系统门窗#门窗厂,2025-08-20 20:00:00,"['系统门窗', '门窗厂']",海帝门窗知识库,-1,-1,-1,-1,"['居家', '装修设计', '家装主材']",各位门窗经销商老板们。 你还在为选品而发愁吗。 我们专业生产门窗20年。 每个环节都会严格把控。 让您用得更安心。 不管是平开窗。 推拉窗。 侧压窗。 阳光房。 联动门。 推拉门等。 顺便请问。 搭上主流的门窗。 我们都可以满足您的需求。 品质过硬。 外框平整。 载边设计。 适配各类装修风格。 有需要的老板欢迎在评论区留言。 我给您安排样窗。,https://www.douyin.com/video/7539863253850033418,True,00:00:51,视频,1755691200
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7541329435916602634,门窗生产流程中的细节才是好产品的...国的门窗经销商洽谈合作#门窗工厂,2025-08-22 16:49:53,['门窗工厂'],海帝门窗知识库,2,-1,1,-1,"['居家', '装修设计', '家装主材']",这就是我们在广西开的门川工厂。 只服务全国的门川门店。 装饰公司的老板们。 数十条工业4.0智能生产线。 确保每一条旅行材的切口。 都能达到完美的状态。 常年储备500吨旅财。 行财的庇候也按照严格的标准实行。 不存在偷偷。 每一个转角必须有脚马助胶。 然后通过我们的多重检验才能出货。 正是这些看不见的细节层层把关。 才让我们这么受客户的欢迎。 如果你正在寻找一家靠谱的门川工厂。 不妨来我们工厂看看。,https://www.douyin.com/video/7541329435916602634,True,00:00:36,视频,1755852593
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7541329901949816074,靠谱专业门窗货源渠道 只做性价比...国的门窗经销商洽谈合作#门窗工厂,2025-08-23 18:55:00,['门窗工厂'],海帝门窗知识库,-1,-1,-1,-1,"['居家', '装修设计', '家装主材']",很多门仓机销商 装饰公司老板。 都不知道怎么选择靠谱的货源渠道。 今天30秒给大家讲明白。 一 看工厂实力。 我们有7万平方米的全自动工厂。 数十条工业4.0智能生产线。 大大缩减了成本。 省下来的利润全都让给你。 二 看库存与生产能力。 仓库常年储备500吨铝材。 月产能可达6万方。 以便快速响应各位老板的集单 大单。 这也是我们赶承诺15天发货的底气。 三 看服务与经验是否专业。 我们100阳光深耕门创行业。 每月服务上百个客户。 有着完整的生产。 对接和售后流程。 此外我们承诺给各位老板。 包五金 包玻璃 包沙网 包物流。 自保十年。 如果你也在找高品质 高性价比的门窗工厂。 直接到我们的网站。 如果有任何试性我给你发详细报价。,https://www.douyin.com/video/7541329901949816074,True,00:01:02,视频,1755946500
2833868827394732,海帝门窗知识库,2025-08-25 17:08:15,7541330282784378138,全国发货 十年质保 广西铝合金门窗...邀经销商合作！#门窗厂#门窗生产线,2025-08-24 18:55:00,"['门窗厂', '门窗生产线']",海帝门窗知识库,-1,-1,-1,-1,"['随拍', '生活记录', '日常vlog']",有门窗的经销商老板问我。 你们可以发货到广东吗。 今天我来告诉大家。 全国都可以发货。 并且我们包五金。 包玻璃。 包物流。 破损包培。 我们的工厂占地7万平米。 数十条4.0智能生产线。 只服务全国的门店和装饰公司。 现在你看到。 都是我们准备装车的订单。 有发到桂林的。 桂港的。 还有发往越南的。 只做靠谱的门窗生产供应链。 有兴趣合作的老板。 评论区留言。 我给您发样窗。,https://www.douyin.com/video/7541330282784378138,True,00:00:32,视频,1756032900


=== 商家统计信息 ===
总视频数,14
转录覆盖数,14
转录覆盖率,100.0%
总点赞数,698
总评论数,134
总收藏数,102
总分享数,13
平均点赞数,49.9
平均评论数,9.6
平均收藏数,7.3
平均分享数,0.9
最早发布,2025-07-02 13:09:52
最新发布,2025-08-24 18:55:00
标签数量,6
主要标签,['居家', '生活记录', '家装主材', '装修设计', '日常vlog', '随拍']
商家UID,2833868827394732
商家名称,海帝门窗知识库
文件夹名称,UID2833868827394732_海帝门窗知识库_发布作品
