商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7138746371804368158,做窗帘为什么要找源头工厂？#南宁装...厂家 #南宁窗帘软装 #南宁源头工厂,2022-09-02 19:42:00,"['南宁装修', '南宁窗帘', '南宁窗帘厂家', '南宁窗帘软装', '南宁源头工厂']",百合玛帛窗帘工厂,708,319,168,125,"['居家', '装修设计', '家装主材']",在南宁 很多业主不知道去哪里购买窗帘 其实工厂直营更划算。 这里就是我们的窗帘生产基地 自己生产自己卖 我们的生产基地就在五项新区。 最近有装修的朋友可以过来参观一下 或者到我们富安居的展厅去参观我们的成品 我想买。 大家会亲自接待你 给你最专业的搭配建议。,https://www.douyin.com/video/7138746371804368158,True,00:00:24,视频,1662118920
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7139848114730536200,现代简约风如何搭配窗帘软装，今天...装修 #南宁窗帘定制 #南宁窗帘软装,2022-09-05 18:57:21,"['南宁窗帘', '南宁装修', '南宁窗帘定制', '南宁窗帘软装']",百合玛帛窗帘工厂,127,22,10,15,"['居家', '装修设计', '室内装修效果']",在南宁 现代简约风格的窗帘如何搭配 那么今天我带大家到万科第五园参观我们最新的窗帘软装搭配样板间 来。 那么这个空间呢 就是最主要以绿色为主。 灰色为辅 那么我在窗帘的色彩选择方面呢 我会选择一个灰色料来进行过度 会让这个空间。 中间更加有氛围感 材质选择方面 我选择了一个麻料来做搭配 这个麻料的材质呢 有三个优点 第一个的话就是通风透气 第二个就是显高质感 第三个的话就是比较方法。 关注窗帘小马哥带你了解更多窗帘搭配小知识。,https://www.douyin.com/video/7139848114730536200,True,00:00:35,视频,1662375441
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7140594075698236702,在南宁做窗帘软装为什么要找工厂？#...窗帘定制 #南宁装修 #南宁窗帘工厂,2022-09-07 19:12:01,"['南宁窗帘', '南宁窗帘定制', '南宁装修', '南宁窗帘工厂']",百合玛帛窗帘工厂,2735,737,413,192,"['居家', '装修设计', '家装主材']",买窗帘为什么要找工厂。 第一 我们的工厂就在五项新区。 直接送货上门 省去长途物流费。 第二 我们工厂可选择的款式多。 支持个性化定制。 第三 我们够专业。 十年行业经验。 五十人的大团队。 专属设计师 一对一服务。 能更好的服务。 第四 我们更注重售后服务。 售后决定了工厂的可持续发展。 如果最近你正准备安装窗帘软装。 找我小马哥 我会亲自接待你。,https://www.douyin.com/video/7140594075698236702,True,00:00:32,视频,1662549121
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7142832907063790855,在南宁做窗帘软装，去富安居就没有...窗帘 #南宁窗帘厂家 #南宁窗帘定制,2022-09-13 19:59:47,"['南宁装修', '南宁窗帘', '南宁窗帘厂家', '南宁窗帘定制']",百合玛帛窗帘工厂,83,17,4,6,"['居家', '装修设计', '家装主材']",在南宁很多业主朋友想买窗帘软装。 但是都觉得富安居的性价比不高。 首先呢 富安居确实在整个广西来说是一个最高端的卖场。 所有的最高端的品牌都会落户在富安居。 但是我们是有自由工厂的。 所以说我们在价格方面是更加有用。 第二 就是我们在品质方面的话。 在一个很高的一个标准的情况下。 我们因为有自由工厂。 所以说我们的这个成本会相对来说控制的比较好。 并且在我们在品质不变的情况下。 我们应该来说是更加有优势 更加性价比。,https://www.douyin.com/video/7142832907063790855,True,00:00:38,视频,1663070387
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7145072391750765832,喜欢梦幻帘的朋友们注意了，学到这...南宁窗帘 #南宁装修 #南宁窗帘厂家,2022-09-19 20:50:08,"['南宁窗帘', '南宁装修', '南宁窗帘厂家']",百合玛帛窗帘工厂,241,33,18,13,"['居家', '装修设计', '家装主材']",南宁想要装梦幻联的朋友注意了 如果你是梦幻联小白 那么需要注意以下几点 首先梦幻联的话是分为电动和手动的。 第二梦幻联它分为小叶片和大叶片 小叶片就是10公分 如果是12公分的叶片呢 他需要的宽度就是21-25公分的创联盒。 第三 它这个半布半纱的功能放在客厅里面才是最好看的。 那放在卧室呢 它就不是很实用了 倘若你装了梦幻联之后 就无需再要装布和纱了。 第五梦幻联和普通的窗帘是不一样的 我们梦幻联的话是用平。 方来计算 那一般的窗的话是按米来算的 那这个的话我们也是要注意的 最后一个就是弧形的窗是不适合装梦幻联的。 那这样的话 做弧形的窗它售后问题会比较多 而且的话 这个安装条件的话是不满足的 那尤其是最后一个大家。 一定要注意。,https://www.douyin.com/video/7145072391750765832,True,00:01:01,视频,1663591808
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7145784371872533768,做整屋窗帘要花多少？我建议还是选...窗帘厂家 #南宁装修 #南宁窗帘定制,2022-09-21 18:52:58,"['南宁窗帘', '南宁窗帘厂家', '南宁装修', '南宁窗帘定制']",百合玛帛窗帘工厂,308,81,47,32,"['居家', '装修设计', '家装主材']",南宁整屋窗帘要花多少钱。 这个呢 我昨天特意叫我们内情呢 就统计了一下。 那么我们拿南宁一般的市防一厅来做一个统计。 大概的话是3000到5000左右。 那么呢 这个这个数据的包 基本上我们要抛开电动窗帘。 还有梦幻联这样的一个一个配置。 现在呢 我们走高端的这个面料会走的比较少一点。 并不是说我们这个客户的的消费能力达不到的问题。 而是说呢 我们高端的面料呢 含棉比较多一点。 那清洗起来的话他可能会比较麻烦一点。 那甚至有一些高端的面料他是载服的。 那载服的用量会比较多。 所以说呢 就不是太实用。 那1980其实我们也是可以做得到。 只是说呢 我们可能这个面料会比较有局限性。 光面用的都是不一样。 比如说你一个pvc还有铝合金。 其实他的这个价格其实是不一样的。 所以说我建议呢 还是用比较终端一点的产品。 一般。 有讲究或者是工艺比较好的厂家做出来。 还有服务方面 如果做出来效果的话就会很好。 那毕竟呢 还是有一分钱一分货价的讲法。,https://www.douyin.com/video/7145784371872533768,True,00:01:08,视频,1663757578
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7149149251749137701,阳台不封窗，窗帘要怎么搭配呢？看看...南宁窗帘 #南宁装修 #南宁窗帘定制,2022-09-30 20:30:27,"['南宁窗帘', '南宁装修', '南宁窗帘定制']",百合玛帛窗帘工厂,435,18,91,99,"['居家', '装修设计', '室内装修效果']",如果您家阳台不封窗 窗帘怎么搭配更合理。 今天带大家来看到这套窗帘样板间。 位于万科层38楼。 工业组没有选择大玻璃封窗。 而是在佩拉门窗帘盒里装了一层布 一层纱。 我们这款金刚纱锤感非常好。 耐刮防钩丝。 选择的这款窗帘。 遮光度90%加厚棉麻面料。 透气性非常好。 我们可以看到这款窗帘的颜色。 跟我们客厅的整体空间搭配非常的协调。 而且窗帘装在窗帘盒里面。 让我们整个的一个客厅空间非常的一个饱满。,https://www.douyin.com/video/7149149251749137701,True,00:00:42,视频,1664541027
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7149885725805251877,轻奢风卧室窗帘怎么选？看看这套实...宁窗帘定制 #同城装修的朋友看过来,2022-10-02 20:08:21,"['南宁窗帘', '南宁装修', '南宁窗帘定制', '同城装修的朋友看过来']",百合玛帛窗帘工厂,288,17,54,52,"['居家', '家具家电', '家居用品']",青蛇蜂卧室窗帘怎么选更好看。 这个主卧业主选择的是一层百叶沙和一层高精密窗帘。 百叶沙的卸调感非常的强。 而且有太阳照进来的时候。 会有一条一条的光影照在地上非常的浪漫。 这款高精密窗帘自带光泽。 很搭配这种青蛇蜂的感觉。 而且它的遮光性非常的好。 拉起来几乎是看不到光。 青蛇蜂怎么选窗帘您学会了吗。,https://www.douyin.com/video/7149885725805251877,True,00:00:26,视频,1664712501
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7150598650031377671,揭秘窗帘的生产流程，你家窗帘就是...装修 #南宁窗帘定制 #南宁窗帘厂家,2022-10-04 18:14:53,"['南宁窗帘', '南宁装修', '南宁窗帘定制', '南宁窗帘厂家']",百合玛帛窗帘工厂,229,36,56,65,"['居家', '装修设计', '家装主材']",今天我带大家揭秘一下整个窗帘的生产流程 首先第一个步骤就是办公室会将我们的这个百合马博销售订单表 把它做成一个。 表格给大生产车间 第二个步骤的话就是我们的评论部分 那像以前没有机器的情况下呢 我们这个评论的话。 我们是先锁两边 然后才可以进行拼接的 那这个机器呢 我们花了一万多块钱 差不多两万块钱的这个机器呢 就是。 直接一次性就过了 第三个步骤 我们就是车窗帘的脚了 这个办公室的脚是是有固定的这个规格的 这样这样车出来的话我们。 这个条理就会很好 还有的话就是这个。 这个输送带 这输送的话就是因为这个窗帘太重了 所以说这样做出来的窗帘的话会更加均匀 好 我们接着下来看一下一个步骤。 那这个的话呢 这个机器就是我们花了好几万购买回来的专门车。 布袋的这个机器 我们不能一做了之后 你看这这两条线的话就同时出来的。 那这边的话呢 就是做出来的 这个布袋呢 会更加整洁。 这个机器的话就是代替汤斗的一个做联头的一个工艺 那这样的话 这个工艺呢 从这边传送过来的话 就直接把这个联头的这个领测看得非常的平整。 我带大家看一下我们的这个打折机器 我们看一下呢 这个所有的这个这个折纵都是有我们的这个。 小妹妹啊 用这个机器来打出来的 这样打出来的机器呢 又均匀又有规格 所以说挂出来的这个窗帘呢 会很整洁。 非常的有标准化 我们来看一下我们的高。 温定型的机器是怎么样工作的 首先呢 我们是经过300度的高温定型。 那这个做出来的定型的窗帘的话 看起来的话是更有型的 这个是第一个 第二个的话就是可以除菌杀菌去甲醛。 可以做到寄放寄助的这样的一个功能 在最后的一个。 环节把它打发好 然后呢 打发成这样的形式。 来 我们来看一下这件我们打打包好的窗帘 然后呢 就可以打包好了之后 就可以送到你家了。,https://www.douyin.com/video/7150598650031377671,True,00:02:11,视频,1664878493
94402463739,百合玛帛窗帘工厂,2025-08-25 16:58:48,7151707524931112205,20022年大家都选什么颜色和样式的...装修 #南宁窗帘软装 #南宁源头工厂,2022-10-07 17:57:55,"['南宁窗帘', '南宁装修', '南宁窗帘软装', '南宁源头工厂']",百合玛帛窗帘工厂,31,5,3,6,"['居家', '家具家电', '家居用品']",今天我们来聊一下。 我们2022年大家都在选什么样的窗帘和窗纱。 那首先从2022年的展会来看。 我们今年基本上没有什么新的产品出现。 我们更多的就是延续去年的产品来做一些小小的改造。 颜色的选择方面呢。 那像去年我们很流行的一些网红的颜色。 比如说爱马仕城啊。 还有一些橘色啊。 这些很跳跃的颜色。 今年就用量就比较少一点了。 那么今年呢。 我们更多的是往清爽的这个方向来走。 打笔方向。 我们现在身后的这个奶茶色。 还有现在大家看到的这个。 牛油果绿色。 这些的话都是年轻人比较喜欢的颜色。 那另外呢。 我们在有一些装修上面。 那很多年轻人喜欢意识极简的这样的一个风格。 那么意识极简的话。 我们会选择黑白灰。 这几个色调。 高级灰这个颜色的话。 也是深受客户的欢迎的。,https://www.douyin.com/video/7151707524931112205,True,00:01:07,视频,1665136675
