商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7252501899277110543,新居入伙，拎包入住，很实用三房两厅... #餐厨电器 #双儿童房 #衣柜衣帽间,2023-07-06 12:00:00,"['茶室', '玄关', '电视柜', '木作护墙', '餐厨电器', '双儿童房', '衣柜衣帽间']",皮阿诺PIANO全屋定制,44,1,11,20,"['居家', '装修设计', '室内装修效果']",,https://www.douyin.com/video/7252501899277110543,False,00:00:31,视频,1688616000
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7252630979569929483,倏忽温风至，因循小暑来深居如退藏，隐遁待伏凉#小暑,2023-07-06 19:30:00,['小暑'],皮阿诺PIANO全屋定制,38,3,4,5,"['随拍', '生活记录', '日常vlog']",,https://www.douyin.com/video/7252630979569929483,False,00:00:40,视频,1688643000
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7253019507642387746,把温柔碾碎放进生活的缝隙里把浪漫...里#家的样子 #全屋定制 #家装设计,2023-07-09 10:00:00,"['家的样子', '全屋定制', '家装设计']",皮阿诺PIANO全屋定制,43,1,2,10,"['居家', '装修设计', '室内装修效果']",by bwd6。,https://www.douyin.com/video/7253019507642387746,True,00:00:15,视频,1688868000
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7253987431425281336,外表简雅，内心谦逊艺术之美，#默 #...高端整家定制🏡#全屋定制 #家的样子,2023-07-10 12:00:00,"['全屋定制', '家的样子']",皮阿诺PIANO全屋定制,34,3,3,13,"['居家', '装修设计', '室内装修效果']",,https://www.douyin.com/video/7253987431425281336,False,00:00:47,视频,1688961600
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7254351916979752251,心本素颜，只为遇见💖精心设计，细致...景拍摄效果 #装修设计 #豪宅大平层,2023-07-11 12:00:00,"['全屋定制', '设计案例分享', '实景拍摄效果', '装修设计', '豪宅大平层']",皮阿诺PIANO全屋定制,39,2,3,25,"['居家', '装修设计', '室内装修效果']",by bwd6。,https://www.douyin.com/video/7254351916979752251,True,00:00:49,视频,1689048000
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7255239043775089979,用简洁的线条表达深远的意境用木质...力#家的样子 #全屋定制 #家装设计,2023-07-13 17:53:07,"['家的样子', '全屋定制', '家装设计']",皮阿诺PIANO全屋定制,37,1,1,14,"['居家', '装修设计', '室内装修效果']",,https://www.douyin.com/video/7255239043775089979,False,00:00:13,视频,1689241987
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7255482097723329849,不浓烈，也不冷清落落大方刚刚好#家的样子 #全屋定制 #家装设计,2023-07-14 09:36:49,"['家的样子', '全屋定制', '家装设计']",皮阿诺PIANO全屋定制,48,2,5,12,"['居家', '装修设计', '室内装修效果']",by bwd6。,https://www.douyin.com/video/7255482097723329849,True,00:00:12,视频,1689298609
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7257116924079918376,99%的家庭都会装的拉直器，真的不是...定制 #全屋定制 #装修设计 #拉直器,2023-07-18 19:21:17,"['皮阿诺全屋定制', '全屋定制', '装修设计', '拉直器']",皮阿诺PIANO全屋定制,64,6,13,29,"['居家', '家具家电', '家居用品']",我敢打赌啊 有95%的人家里都撞了它。 但是有85%的人不知道它到底有没有用。 就是这个小东西 拉直器。 其实它的原理呢就相当于是一个金属给这个木板做支撑。 减少因门板太长 从而导致变形的问题。 但是呢 如果您家这次装修的用的是石木多。 那这个其实您可以不用。 因为它的拉力还有矫正作用。 对于我们石木多层板和石木柜子来说。 它的效果是微乎其微的。 不过话又说回来 现在市面上大多数的衣柜。 用的都是石木颗粒板。 而且做的都是这种一门到顶的设计。 时间久了呢就会有变形的风险。 所以说不管是。 您是国产板材或者是进口板材。 只要高度超过两米。 我们都建议您配一个拉直器。 给您的柜门增加一层保障。 还有很多人说呀 我装了这个。 但是板子变形还是很严重。 那么大概率就是你的安装位置错了。 正常来说我们拉直器要安装在。 距离我们拉手15到20公分左右的位置。 千万别给它丢掉。 安装位置也给安在中间了。 不然你这拉直器一根一两百。 可真是白花了。 赶紧看看你家的拉直器安装对了吗。,https://www.douyin.com/video/7257116924079918376,True,00:01:07,视频,1689679277
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7257474021392928015,这才叫定制衣柜，你那顶多叫柜子！衣...阿诺全屋定制 #定制衣柜 #衣柜设计,2023-07-19 18:26:24,"['全屋定制', '皮阿诺全屋定制', '定制衣柜', '衣柜设计']",皮阿诺PIANO全屋定制,88,2,19,46,"['居家', '家具家电', '家居用品']",你来看看 这才叫真正的定制衣柜。 很多人装修衣柜吧 钱没少花。 但是做出来的效果吧 真的一言难尽。 而且吧 用着还没他舒服。 今天我就来教你几招 柜子怎么样设计的高级又好看。 首先颜色很关键。 要选择跟您家背景墙颜色接近的铜色系。 深浅搭配。 然后啊 这个柜门一定要做到顶。 尽量啊 不要装拉手。 可以装反弹器或者是内置的拉手。 总之啊 尽量不要装突出的拉手。 不好看的同时吧 还容易被磕着。 第二个呢 就是衣柜里面的设计。 一定要多做挂衣区。 长衣区 短衣区 通通都安排上。 同时一定要。 记得多做两个抽屉 放一些贴身衣物什么的。 用的时候你就知道有多舒服了。 上面呢 可以设计两个大格子。 用来放我们的被子。 像其他的区域呢 我们可以把它设计成隔板。 用来放我们一些不容易皱不常穿的一些衣物。 但是千万注意不要设计成密密麻麻的隔层了。 这样到了后期一定。 最后啊 也是很关键的一个点。 就是在我们墙体靠下面这部分的设计。 如果说咱们这里的宽度够的话。 我们可以从柜体延伸出来做一个书桌。 这样办公或者化妆都可以。 不要忘记加个抽屉哦。 如果说咱们这的宽度不够的话。 我们可以像目前这一款设计。 从。 从柜体延伸出来加一个床头柜。 这样不会因为说我们放个成品的床头柜。 导致柜门打不开的情况。 您学会了吗。,https://www.douyin.com/video/7257474021392928015,True,00:01:28,视频,1689762384
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7257866727994707239,大部分家庭都会做错的台下盆，赶紧...对了吗？#皮阿诺 #台下盆 #厨房装修,2023-07-20 19:50:29,"['皮阿诺', '台下盆', '厨房装修']",皮阿诺PIANO全屋定制,1242,17,95,78,"['居家', '家具家电', '家居用品']",台下盆容易掉。 要做台中盆。 台中盆久了会发霉。 变黑不行的。 别吵了。 不管做哪种。 都得做对了才行。 台下盆千万不要做这种假台下盆。 一积水打胶处还容易发霉。 做这种真正的台下盆才好看。 要注意这几点。 一 台面要覆盖水槽。 台面。 和水槽在一条直线上。 或者突出盆测力5毫米都可以。 四周打磨成圆角不滑手。 积水残渣。 一摸就干净。 二 水槽别买边缘往下凹的。 一积水要买这种平的。 买大单草洗锅更方便。 三 安装时。 在储备台面按水槽尺寸开槽。 让水槽刚好卡在凹槽里。 底下用金属卡扣固定。 300斤的老公怎么压都不会掉。 最后水龙头开孔最好开在台面上。 不要开在水槽上。 又丑又有卫生死角。 你家的台下盆做对了吗。,https://www.douyin.com/video/7257866727994707239,True,00:00:55,视频,1689853829
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7258220931359837492,做对橱柜尺寸，老公愿意天天呆厨房...做饭！#皮阿诺 #橱柜设计 #厨房装修,2023-07-21 18:45:07,"['皮阿诺', '橱柜设计', '厨房装修']",皮阿诺PIANO全屋定制,53,1,23,19,"['居家', '装修设计', '室内装修效果']",哎。 下面做满平板。 做排骨都不担心会裂。 功能区再按这样去规划。 如果墙面做得够平整。 可以不用做防水条。 没有卫生纸条。 吊柜高度一般70公分。 如果层高太高。 直接做到底。 颜值爆表。 效果顶呱呱。 上面放碗碟。 下面放大件。 让厨具归位。 厨房不乱。,https://www.douyin.com/video/7258220931359837492,True,00:00:47,视频,1689936307
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7258589918576774400,全屋定制板材你真的知道吗？一分钟...了解！#皮阿诺 #全屋定制板材 #板材,2023-07-22 18:36:45,"['皮阿诺', '全屋定制板材', '板材']",皮阿诺PIANO全屋定制,121,7,39,58,"['居家', '装修设计', '家装主材']",大家知道这里为什么会有个切开面吗。 啊不知道。 不是我切的。 我我干嘛的你你问他。 不问他吗。 工程老板就这样。 咨询全屋定制的时候是不是经常会听到一大堆。 密度板 颗粒板 生态板各种板。 这个切面是为了让您了解板材的表面工艺到内部结构。 我们经常听到的名称。 大概有两类。 一类是板材表面的工艺区分。 比如3n板 pt板 吸塑板。 最常听到的双生面板就是3n板。 就是表层贴纸。 特点是耐刮耐磨 成本低。 最近很火的 pt板就是表面附了一层塑料膜。 能够达到食品级。 不会散发刺激性的气味。 缺点是只能做平板。 吸塑板表面是 pvc和pp模。 可以凹各种造型。 另一种是板材内部结构区分。 把木头切成一片一片粘在一起的叫做多层板。 切成一块到两块木方粘在一起的叫做生态板。 把木头碾碎压在一起的叫做密度板。 同样的方法 颗粒比较大的这种叫做颗粒板。 知道了知道了。,https://www.douyin.com/video/7258589918576774400,True,00:01:03,视频,1690022205
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7259328761215159586,新房装修好，千万别着急入住！学会这...屋定制 #甲醛 #去除甲醛 #装修干货,2023-07-24 18:23:20,"['皮阿诺全屋定制', '甲醛', '去除甲醛', '装修干货']",皮阿诺PIANO全屋定制,49,2,9,32,"['居家', '生活窍门', '']",终于装修完了 赶紧打柜门塞下这圈。 诶等等 屈甲拳可不能一直开着柜门。 家里刚装修完想正确快速屈甲拳。 要注意这三点。 1 别一装修完就把柜子全打开通风了。 这样长时间开着很容易变形 关不严。 可以关几天再打开一小时 这样循环。 或者用活心碳 但记得及时更换。 甲拳易溶于水 北方湿度低。 可以用加湿器 减少空气中游离甲拳的含量。 用麻布擦洗地板加剧柜子也能抚住屈甲拳。 最后不同材料的甲拳挥发周期是不一样的。 选对装修材料很重要。,https://www.douyin.com/video/7259328761215159586,True,00:00:34,视频,1690194200
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7259700030834052392,全屋定制里面Z容易忽视的细节，封边...了解吗？#皮阿诺 #封边机 #全屋定制,2023-07-25 18:24:28,"['皮阿诺', '封边机', '全屋定制']",皮阿诺PIANO全屋定制,88,9,39,50,"['居家', '家具家电', '猎奇好物']",你们知道封边工艺都有哪些吗。 拜托你们用点心啊。 来你来说。 啊眼镜。 什么眼镜。 啊什么眼镜。 你来说吧。 很多客户一上来就会问。 你家的板子是激光封边吗。 那么什么是eva pur激光封边。 你真的知道吗。 eva和pur其实是两种热溶胶的缩写。 eva是目前最常见的。 之所以常见是因为技术相对成熟。 制作工艺法比较简单。 价格也比较低。 但是吧eva封边胶怕高温容易软化脱落。 而pur反应机里是湿气骨化。 属于不可逆反应。 是不会因为温度变化而导致开裂。 变相提高板材的防潮性和耐后性。 激光封边。 需要使用专用的机关封边带。 相当于把封边焊在板材上。 任何情况下都是不会掉的。 封边圆润没有胶痕。 所以价格高且颜色有限。 其实封边是一个跟系统工艺。 厂家大小机器调试。 工人专业度都有很大关系的。 如果各方面都达标。 eva和pur也都是可以很好达到。 适合自己的就是最好的。 哇果然是消败。,https://www.douyin.com/video/7259700030834052392,True,00:01:05,视频,1690280668
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7260063639745383695,这是不是你考试前后的样子！临时抱...谱！ #内容过于真实 #我的逗比同事,2023-07-26 17:55:21,"['内容过于真实', '我的逗比同事']",皮阿诺PIANO全屋定制,48,4,5,14,"['剧情演绎', '剧情', '职场']",十英时要看十英三 要选十英三含量93%的 十英时要看十英三 十英时要看十英三 十英时要看十人杀。 怎么抓。,https://www.douyin.com/video/7260063639745383695,True,00:00:19,视频,1690365321
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7260449887349706018,厨房台面还是销售推荐什么就选择什...皮阿诺 #厨房台面选择 #石英石台面,2023-07-27 18:53:57,"['厨房台面选择', '石英石台面']",皮阿诺PIANO全屋定制,49,5,12,22,"['居家', '装修设计', '家装主材']",抽查一下昨天厨规台面的知识。 小冠你先来。 答不出来扣你半月工资。 台面。 台面有。 石英石。 盐板。 还有。 你还有五秒钟。 说不出来就扣你半月工资。 我知道我知道。 首先是材质。 市面上有石英石盐板。 石木亚克力大理石和不锈钢。 先说简论肯定是石英石。 选择石英石含量93%的款式。 多硬度高 防渗透 防油污。 其他材质像盐板纯天然。 但是价格高容易崩边。 石木呢 稳定性不好。 一开裂一变形。 两颗粒太过时了。 现在用来做一些异形吧台多一点。 天然大理石。 好看又高的。 就是一个字。 贵。 不锈钢 防渗透和硬度都可以。 但是太贵了。 不锈钢 防渗透和硬度都可以。,https://www.douyin.com/video/7260449887349706018,True,00:00:44,视频,1690455237
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7260745083484441896,当男人说没衣服穿VS女人说没衣服穿...容过于真实 #没衣服穿了 #衣柜收纳,2023-07-28 13:59:45,"['内容过于真实', '没衣服穿了', '衣柜收纳']",皮阿诺PIANO全屋定制,22,4,8,11,"['随拍', '生活记录', '日常vlog']",哎我没衣服穿了。 昨天那件呢。 有洗了吗。 这不还有两件的吗。 这不还有两件的吗。 哎你好了没有啊。 哎我都没有衣服穿了。 这件不是挺好的吗。 这件上次发朋友圈的时候已经发过了呀。 这件呢正式点。 这件这么正式上班穿的。 这件普通点。 这件这么普通怎么配得上我今天的装。 你自己挑吧。 都怪你不给我买个干净的衣帽子。 现在都没有衣服可以穿。 啊。,https://www.douyin.com/video/7260745083484441896,True,00:00:28,视频,1690523985
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7260799981466979619,厨房装修知识夺命连环拷问，看一条...了吗！#厨房装修 #皮阿诺 #装修避坑,2023-07-29 18:00:00,"['厨房装修', '皮阿诺', '装修避坑']",皮阿诺PIANO全屋定制,44,4,13,21,"['居家', '装修设计', '室内装修效果']",哎 你说开放式厨房用不用做防水。 你家厨房有地楼吗。 意思就是你家有地楼就做。 没地楼吧。 做了也没用。 反而把你家客厅给泡了。 那厨房水电走顶还是走地啊。 厨房走顶或是客厅才走地。 水电走顶漏电漏水的方便维修。 水管在下 电管吧在上。 那厨房。 厨房电线回路做一路还是两路啊。 两路 单独给冰箱留一路。 你出差不在家把店砸一关。 冰箱还照样能供电。 那洗菜盆选双槽还是单槽啊。 我选大单槽的304不锈钢的。 再在单槽边上加一个逆旋。 做一个台下盘 实用的很。 油烟机做顶锡好还是侧锡是好。 还有。 没完没完了 我要厨师。 做饭多你就用顶锡。 做饭少你就用侧锡。 走。 那厨房推拉门的话是做吊轨还是地轨啊。 你追求颜值呢你就用吊轨啊。 追求安全你用地轨就行了。 还有。,https://www.douyin.com/video/7260799981466979619,True,00:00:56,视频,1690624800
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7260800905711275298,兰亭序丨茶书房！捻一缕茶香，守半盏...光！#皮阿诺 #茶书房 #书房 #新中式,2023-07-30 18:00:00,"['皮阿诺', '茶书房', '书房', '新中式']",皮阿诺PIANO全屋定制,62,2,7,39,"['居家', '家具家电', '家居用品']",by bwd6。,https://www.douyin.com/video/7260800905711275298,True,00:00:23,视频,1690711200
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7261930292754091320,当妈妈还有5分钟抵达战场！这5分钟...钟到达战场 #皮阿诺 #做家务的孩子,2023-07-31 18:38:57,"['妈妈还有5分钟到达战场', '皮阿诺', '做家务的孩子']",皮阿诺PIANO全屋定制,46,2,7,9,"['居家', '家具家电', '家居用品']",Ampun bang jago。 Abang jago。 Sorry bang jago。 Ampun bang jago。 Ampun bang jago。,https://www.douyin.com/video/7261930292754091320,True,00:00:18,视频,1690799937
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7262530134542994748,小金库给老婆端了！难道是我藏的不...私房钱藏起来 #定制衣柜 #搞笑日常,2023-08-02 12:00:00,"['皮阿诺', '小金库被发现了', '私房钱藏起来', '定制衣柜', '搞笑日常']",皮阿诺PIANO全屋定制,16,1,2,9,"['居家', '家具家电', '家居用品']",亲爱的今天我买了两件新衣服。 我的衣柜放不下了。 都说这些放给你了哦。 哎好啊。 我来收拾吧。 你逛那边。 啊这么好啊。 还好我们装的是定制衣柜。 空间利用率高。 收拾起来很方便。 亲爱的你怎么对我这么好。 我不对你好。 绝对。 哎呀这次这么整齐啊。 怎么这次收拾的这么快。,https://www.douyin.com/video/7262530134542994748,True,00:00:34,视频,1690948800
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7262664356322741564,男女生逛家居卖场的区别！就是你别...过于真实 #男女生的区别 #家居定制,2023-08-02 18:07:06,"['皮阿诺', '全屋定制', '内容过于真实', '男女生的区别', '家居定制']",皮阿诺PIANO全屋定制,19,1,2,7,"['随拍', '生活记录', '日常vlog']",男女生逛家具卖场的区别。,https://www.douyin.com/video/7262664356322741564,True,00:00:32,视频,1690970826
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7263036833716555065,家务从来不属于男人也不属于女人，... #家务活 #收纳整理 #内容过于真实,2023-08-03 18:12:32,"['皮阿诺', '厨房装修', '家务活', '收纳整理', '内容过于真实']",皮阿诺PIANO全屋定制,42,5,5,23,"['居家', '家具家电', '家居用品']",你以为的洗碗是这样的。 实际上的洗碗是这样的。 不仅仅要洗碗。 还要洗菜篮子。 还要洗锅刷锅具。 还要洗案板和刀具。 还要归纳物品。 还要擦油烟机。 擦墙。 擦灶台。 还要擦台面。 擦水池。 擦水龙头。 还要把地面擦干净。 这就是为什么女人洗个碗。 要在厨房待一个小时的原因了。 最后再把垃圾清理掉。 这洗碗才算结束。 愿生活中再多些理解和包容。,https://www.douyin.com/video/7263036833716555065,True,00:00:39,视频,1691057552
97706235456,皮阿诺PIANO全屋定制,2025-08-14 15:00:09,7263407074086849852,有趣都藏在无聊的日子里！保持自己...子 #装修设计 #高定系列 #装修分享,2023-08-04 18:09:23,"['皮阿诺', '家的样子', '装修设计', '高定系列', '装修分享']",皮阿诺PIANO全屋定制,46,1,4,24,"['居家', '装修设计', '室内装修效果']","我只想说,我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。 我真的觉得这首歌很特别。",https://www.douyin.com/video/7263407074086849852,True,00:01:38,视频,1691143763
