商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7480357068440882470,佛山一线品牌，南宁源头工厂，六轨推...推拉窗 #封阳台换窗户 #推拉窗厂家,2025-03-11 11:30:00,"['系统门窗', '门窗人', '佛山一线品牌', '六轨推拉窗', '封阳台换窗户']",窗之美系统门窗批发（B端合作）,3,1,2,1,"['居家', '装修设计', '家装主材']",不是推拉窗卖的贵。 而是你厂家没找对。 198包含5斤沙扇。,https://www.douyin.com/video/7480357068440882470,True,00:00:07,视频,1741663800
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7480729630161390906,诚信经营，业主勿扰！六轨推拉窗。南...窗 #源头实力厂家 #门窗 #门窗批发,2025-03-12 09:31:48,"['推拉窗', '源头实力厂家', '门窗', '门窗批发']",窗之美系统门窗批发（B端合作）,3,1,-1,-1,"['居家', '装修设计', '家装主材']",不是推拉窗卖的贵。 而是你厂家没找对。 198包含5斤沙扇。,https://www.douyin.com/video/7480729630161390906,True,00:00:13,视频,1741743108
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7482585292084399395,专业门窗厂家，推拉窗成品半成品输...各地发货 #生产车间现场 #专业厂家,2025-03-17 11:40:00,"['工厂实拍视频', '源头工厂', '生产车间现场', '专业厂家']",窗之美系统门窗批发（B端合作）,1,-1,-1,-1,"['居家', '装修设计', '家装主材']",by bwd6。,https://www.douyin.com/video/7482585292084399395,True,00:00:03,视频,1742182800
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7484876627348819210,佛山一线品牌，南宁门窗源头工厂，六...。#门窗 #工厂一手货 #门窗批发厂家,2025-03-23 13:44:19,"['门窗', '工厂一手货', '门窗批发厂家']",窗之美系统门窗批发（B端合作）,2,2,-1,-1,"['居家', '装修设计', '家装主材']",月亮悄悄放过小伤痕。,https://www.douyin.com/video/7484876627348819210,True,00:00:10,视频,1742708659
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7485307915738352905,南宁门窗源头工厂，专注所以专业，六...！#六轨推拉窗 #批发 #源头实力厂家,2025-03-24 17:37:58,"['六轨推拉窗', '批发', '源头实力厂家']",窗之美系统门窗批发（B端合作）,2,-1,-1,-1,"['居家', '装修设计', '家装主材']",又在 宇宙在。,https://www.douyin.com/video/7485307915738352905,True,00:00:06,视频,1742809078
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7486303932906491190,南宁门窗批发，六轨推拉窗低至三位...窗厂 #南宁门窗定制 #门窗批发厂家,2025-03-27 12:05:00,"['厂家实拍', '门窗厂', '南宁门窗定制', '门窗批发厂家']",窗之美系统门窗批发（B端合作）,1,3,-1,-1,"['居家', '装修设计', '家装主材']",随它眼球破了神经。,https://www.douyin.com/video/7486303932906491190,True,00:00:07,视频,1743048300
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7488153390397050149,佛山一线品牌，南宁门窗源头工厂，诚...成品输出！#推拉窗 #源头工厂 #批发,2025-04-01 09:39:57,"['推拉窗', '源头工厂', '批发']",窗之美系统门窗批发（B端合作）,1,-1,-1,-1,"['居家', '装修设计', '家装主材']",你出这一刻。,https://www.douyin.com/video/7488153390397050149,True,00:00:04,视频,1743471597
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7488990177377996069,门窗源头工厂，5000平厂房，出货稳定...工厂实拍视频 #源头实力厂家 #批发,2025-04-03 15:47:15,"['工厂实拍视频', '源头实力厂家', '批发']",窗之美系统门窗批发（B端合作）,3,2,1,2,"['居家', '装修设计', '家装主材']",碎 擦眼就破了。,https://www.douyin.com/video/7488990177377996069,True,00:00:06,视频,1743666435
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7492265010639555849,全广西需要六轨推拉窗的老板们注意...批发 #广西门窗厂家 #广西门窗工厂,2025-04-12 11:35:01,"['广西门窗', '广西门窗批发', '广西门窗厂家', '广西门窗工厂']",窗之美系统门窗批发（B端合作）,239,306,118,41,"['居家', '装修设计', '家装主材']",全广西再找六轨推拉窗的金沙沙们注意了。 我们创世美门窗工厂这款110系列2 0币后的六轨推拉窗只需要198元一瓶。 五斤另外加玻璃的话只需要284八元一瓶标配哥宾走罗华人八桥五金推拉更加丝滑。 2 0后的六轨双排不锈钢轨道 线路式的设计隔音又隔热 我们是南宁5000平方的工厂 这些都是我们即将要发货的产品。 需要样窗的朋友欢迎评论区留言。,https://www.douyin.com/video/7492265010639555849,True,00:00:34,视频,1744428901
2766799369936327,窗之美系统门窗批发（B端合作）,2025-08-25 17:02:02,7493484644030008591,120系列4.0厚六轨推拉窗298一平 #...厂家 #广西门窗批发 #广西门窗工厂,2025-04-15 18:31:48,"['广西门窗', '广西门窗厂家', '广西门窗批发', '广西门窗工厂']",窗之美系统门窗批发（B端合作）,221,271,121,45,"['居家', '装修设计', '家装主材']",全广西在找六轨推拉窗的经销商朋友们看过来 我们这款120系列4 00后的六轨推拉窗。 仅需298元一瓶 另外还包含五金 沙网 加破利的话 只需388元一瓶。 4 00后的双排不锈钢轨道 搭配哥宾佐罗华人 推拉更加。 加斯华高透沙网加嵌入式的设计 非常的美观 五金全部标配货慢五金。 开关更顺滑 我们是南宁5000平的门窗工厂 库存有500吨铝材 确保能够准时发货 这一片都是我们要准备发货的推拉窗。 有需求的老板们赶紧联系我。,https://www.douyin.com/video/7493484644030008591,True,00:00:39,视频,1744713108
