商家UID,商家名称,collection_time,id,desc,create_time,text_extra,nickname,digg_count,comment_count,collect_count,share_count,tag,转录文本,share_url,has_transcript,video_duration,video_type,create_timestamp
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7416289643278224640,有布草采购需求的，欢迎来店里找我哦#聚美优棉 #南宁布草 #酒店布草,2024-09-19 17:51:49,"['聚美优棉', '南宁布草', '酒店布草']",聚美优棉-酒店布草批发（蔡蓉）,968,176,238,171,"['居家', '家具家电', '猎奇好物']",最近在找酒店布草的朋友们不要滑走。 我是蔡蓉。 我在广西大宁做酒店布草十多年了。 我暂停展的都是工厂做的食物样板。 专注酒店客房布草。 打剑以此虚荣品一张式采购。 合作过的一些案例。 像阳光。 生美。 雅格。 开院明庭。 君豪一员。 雅策。 国际。 华盛。 五香间舍。 喜凡精品等。 还有许多的高端民宿。 这两款面料密度一个是。 6060一个是6080。 是这两年酒店。 选用的最多的两款面料。 舒适度。 细腻度。 还有柔软度。 都坚固了。 还有一点性价比非常高。 这款毛巾是我们给开院明庭酒店定制的。 做的是一个一等棉的超柔棉纱。 所以它非常的细腻柔软。 并且吸水性非常的好。 这个是普通的棉纱。 根本没办法达到的。 我的店在。 南宁长万剑彩市场。 有需要酒店补槽的老板们。 把你的定位要求告诉我。 我来给你出发案。,https://www.douyin.com/video/7416289643278224640,True,00:01:26,视频,1726739509
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7417062369957809408,今天带大家看一家新开业的酒店布草...棉 #西城漫悦酒店 #南宁西城大学府,2024-09-21 19:50:21,"['酒店布草', '南宁布草', '聚美优棉', '西城漫悦酒店', '南宁西城大学府']",聚美优棉-酒店布草批发（蔡蓉）,127,20,37,13,"['居家', '家具家电', '家居用品']",Hello 大家好 我是蔡蓉。 我在广西南宁做酒店不炒。 我们今天来到的是南宁西城大学府。 即将开业的西城蔓越酒店。 那现在带大家来看一下客房的不炒配置。 四件套的面料用的是一个全棉的6060的面料。 它在兼顾舒适度 柔软的同时 性价比也是比较高。 背心做的是一个一等棉的反而柔 是比较细腻的。 铺床的效果也是很蓬松 饱满的。 枕心选配的是一款静一门枕青。 这款枕青更能贴合你的脖子 非常的柔软舒适。 另外一款是一个一等棉的反而柔。 做的是一个相对的硬枕 高度跟硬度都是非常适中。 客户的满意度也是很高的。 现在我们来看一下客房的毛巾。 方巾 面巾 浴巾做的都是一个十六螺旋的长毛。 做的是一个自修了酒店的logo。 全棉的 用的一等棉纱。 舒适度 柔软度 吸水性都是非常好的。 李总有两个问题我要问你一下。 你觉得客房什么东西你是最看重的。 一个是床垫 二个是布草。 客房来说的话我们是最看重的。 那你选布草的标准是什么。 客人住的舒适 它的舒适度 柔软度。 特别是枕头不好的枕头你睡了的话。 你的肩颈肯定是会累会痛的。 那么好的枕头它很贴你的脖子的。 那在这里我们要谢谢李总。 然后住酒店。 生意行农 财源滚滚的。 谢谢。 您可以评论区下留言。 我来给您出解决方案。,https://www.douyin.com/video/7417062369957809408,True,00:01:44,视频,1726919421
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7418054869468155151,带大家看一看南宁会展中心开元名庭...南宁布草 #聚美优棉 #开元名庭酒店,2024-09-24 12:01:52,"['酒店布草', '南宁布草', '聚美优棉', '开元名庭酒店']",聚美优棉-酒店布草批发（蔡蓉）,1262,95,194,76,"['旅游', '酒店/民宿', '']",Hello 大家好 我是蔡荣。 我在广西兰宁做酒店补草。 我们今天来到的是会展中心的卡越明亭酒店。 这个酒店是去年6月份开业的。 是一个大堂的国风专修风格。 我们来一起看一下它这里的传品吧。 卡越明亭酒店客房的面料做的是一个6080的全面拱端面料。 是非常细腻柔软的。 大船。 整个枕头也是配了四个枕头。 两个软枕两个硬枕。 这个枕心做的是一个1000克的一等棉的反额容整形。 加大的尺寸50x80。 它棉质是非常的细腻 疼松的。 房间其它搭配周用的床尾垫。 包括船上的抱枕 还有沙发的抱枕。 它也是做了一个定制款的国风的磁锈。 包括床尾垫也是做的一个。 定制款的替换面料。 酒店的浴袍做的是一个全棉的华服格。 做的是一个口袋的自修logo。 浴袍可能使用频率现在不是很高。 但是星际酒店还是需要配我。 我们现在来看一下使用了快一年半的毛巾。 这个毛巾做的是一个超柔的棉纱。 它会比普通的棉纱吸水性柔。 包括现在使用的效果还是不错的。 也没有出现拿死勾毛的情况。 抱枕跟床尾垫的款式跟色彩。 是不是跟整个房间比较融合跟搭配。 这个也非常的关键。 如果你要求的点跟我一样。 你可以私信我。 我们到店里喝茶再聊一下。,https://www.douyin.com/video/7418054869468155151,True,00:01:31,视频,1727150512
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7419207880441646371,一条视频告诉你，鹅绒和一等棉怎么...布草 #南宁布草 #聚美优棉 #鹅绒被,2024-09-27 14:36:11,"['酒店布草', '南宁布草', '聚美优棉', '鹅绒被']",聚美优棉-酒店布草批发（蔡蓉）,146,12,38,17,"['居家', '家具家电', '家纺']",许多高端酒店的老板在选择背心上面会有一定的纠结。 是用五星的鹅茸呢。 还是用一等棉的反鹅茸呢。 当然五星的鹅茸铺船的效果肯定会更加的好。 呈现的效果会非常的蓬松更饱满。 还有一点非常大的优势就是它不会有损耗。 就是你用到它 哪怕七年到八年。 哪怕十年 你在阳光下拍拍 晒晒。 它又恢复这个蓬松的效果。 当然它的成本造价也会偏高一些。 这里是一个标准的大创法。 面量还是用了一个608年的全面拱段。 但是心内做了一个调整。 这里的心内用的是一个一等棉的反鹅茸。 较鹅茸来说一等棉的反鹅茸。 性价比会更高一点。 价格。 课单价高的课法。 你可以选用五星的鹅茸标准。 普通的房间你可以用一等棉的反鹅茸标准。 如果你还不知道怎么选。 私信我 我来帮你解决。,https://www.douyin.com/video/7419207880441646371,True,00:00:50,视频,1727418971
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7421029992500432162,带大家看一下禧凡尊悦精品酒店的行...草 #南宁布草 #聚美优棉 #行政套房,2024-10-02 12:26:44,"['酒店布草', '南宁布草', '聚美优棉', '行政套房']",聚美优棉-酒店布草批发（蔡蓉）,177,16,30,18,"['居家', '家具家电', '家居用品']",Hello 大家好 我是蔡荣。 我在广西南宁做酒店步操。 今天我们来到的是。 今年开业的喜凡尊越精品酒店。 这是一家按四行酒店标准。 专修的精品单体酒店。 等一下我们去看一下。 行政套房的五星鹅熔标准的步操。 这个行政套房的传送品。 用的是一个五星标准的鹅熔。 背心用的是一个70%的白鹅熔。 所以铺床呈现。 你会看到一个像面包阁的。 那个蓬松饱满的那个效果。 传单背套的面链。 也是选用的一个6080的全面拱端面鸟。 是非常舒适贴身柔软的。 整形是做的两软两硬。 做了两个尺寸。 一个是580x88的大枕。 一个是50x80的相对的小枕。 满足了不同客人的需求。 小枕还是做的一个一等棉的防鹅熔。 50x80的尺寸。 这个填充量才做到1000克。 是非常的轻。 整形的面料是做的一个全棉的防雨布。 做了一个静音的处理。 所以它睡上去的话。 不会哗哗哗哗的有一个声响。 我给你们看一下。 是做了一个双针的捆编。 洗防针月的毛巾。 也是用的一个一等棉的超柔面纱。 所以你现在看它的白度柔软度。 还是非常好的。 它大概洗的也有小半年的时间了。 也没有出现一点拉丝勾毛的情况。 客房的浴袍做的是一个双层的花打泥。 里面结出皮肤的。 这个面是非常舒服的。 也是做了一个口袋的刺绣。 虽然可能不采用。 但是高端酒店还是需要配网。 这个酒店的不草新内。 我用了两个标准的方案来做。 一个是五星标准的鹅熔方案。 一个是四星标准的一等棉防鹅熔方案。 客房的定位不一样。 卖家不一样。 所以我们在选产品的时候有。 如果你刚好也在纠结不草。 该怎么选 该怎么定位。 你可以私信我 我来帮你解决。,https://www.douyin.com/video/7421029992500432162,True,00:01:46,视频,1727843204
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7422146573234113844,一条告诉大家亲子房都有哪些布草配...布草 #南宁布草 #聚美优棉 #亲子房,2024-10-05 12:39:34,"['酒店布草', '南宁布草', '聚美优棉', '亲子房']",聚美优棉-酒店布草批发（蔡蓉）,55,1,5,4,"['旅游', '酒店/民宿', '']",大家好 我是蔡柔 我在管西南宁做酒店补操。 今天到大家来看一间亲子房。 这间亲子房做了一个大床。 还有一个小床的配置。 大床还是用了四个枕头。 两个软枕 两个硬枕。 小床也是配了两个枕头。 一个软枕 一个硬枕。 还配了一个非常可爱的毛绒玩具。 床尾单的款式非常多。 也接受定制。 儿童枕 儿童牙具 儿童拖鞋 儿童浴袍。 我们都可以接受定制。 有需要的话可以私信我。,https://www.douyin.com/video/7422146573234113844,True,00:00:26,视频,1728103174
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7423347414418853172,带大家看一家新开业的县份新标杆酒...置#酒店布草 #南宁布草 #聚美优棉,2024-10-08 18:19:27,"['酒店布草', '南宁布草', '聚美优棉']",聚美优棉-酒店布草批发（蔡蓉）,70,1,14,13,"['居家', '家具家电', '家纺']",Hello 大家好 我是蔡荣。 我在广西做酒店不炒。 我们今天来到的是国庆开业的。 宪奋新标杆酒店。 我们一起去看一下它的传品吧。 酒店在选择传品的时候。 我考虑了两个点。 一个点是面料是否舒服。 这个涉及到客人的体验感。 其次一点就是它的洗涤条件。 我们必须要考虑进去。 四月酒店的四鲜汤。 它的面料选用的是一个。 6060的全面裹段。 舒适度体验感是非常好的。 枕头同样还是配的一个软枕。 一个硬枕。 客房的软硬枕。 新的选择非常的关键。 不能太软。 不能太硬。 不能太高。 不能太矮。 需要满足大部分住店客人的需求。 背心做的是一个。 400克每平方的一等面防耳容。 不易。 一节块非常的蓬松饱满。 客房的毛巾选用的是。 一等面的超柔全面面纱。 手感跟吸水性都是非常好的。 除了客房的传品。 香客房。 定制类的杂件和一次性用品。 我都给它配完了。 如果你也在兴奋。 筹备新的酒店。 想要省心又省钱。 请私信我。 我来帮你解决。,https://www.douyin.com/video/7423347414418853172,True,00:00:58,视频,1728382767
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7424374489552538920,带大家看一下金湖广场旁的建设五象...草 #南宁布草 #聚美优棉 #客房杂件,2024-10-11 12:45:08,"['酒店布草', '南宁布草', '聚美优棉', '客房杂件']",聚美优棉-酒店布草批发（蔡蓉）,18,4,3,4,"['居家', '装修设计', '室内装修效果']",Hello 大家好 我是蔡蓉。 我在广西兰宁做酒店不草。 我们今天来到的是今年重装开业的建设五香大酒店。 酒店的背心做的是一个一等棉的反额容。 400克的四季背的效果。 所以它铺床成型的话还是非常的蓬松跟饱满的。 枕头也是做的一软一硬。 这个做的是一个适度的印整。 它会偏高。 高一点 棉质会偏硬一点点。 四季汤的面料做的是一个6060的提花面料。 做的是一个提羽毛花。 客房的皮具做的是一个酸涩拼皮。 硬的一个酒店的logo。 客房定制的皮具。 我们当时考虑它的搭配是跟川年的颜色。 包括那个墙布的颜色。 床靠背软。 包的颜色。 做了一个整体的搭配。 让它显得更加的协调。 建设五香大酒店重装的装修风格。 会比较偏解冤商务一点。 因为他们的收中群体。 也基本上都是商务人士。 如果刚好你的酒店也是这类装修的风格。 你却不知道怎么搭配。 或是想在出效果的情况下怎么样降低成本。 你可以私信我。 我来帮你出解决方案。,https://www.douyin.com/video/7424374489552538920,True,00:01:02,视频,1728621908
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7425440387608710435,一条视频告诉大家客房的定制皮具和...草 #南宁布草 #聚美优棉 #客房杂件,2024-10-14 09:41:26,"['酒店布草', '南宁布草', '聚美优棉', '客房杂件']",聚美优棉-酒店布草批发（蔡蓉）,24,10,6,7,"['居家', '家具家电', '家居用品']",Hello 大家好 我是蔡荣。 我在广西兰陵做酒店用品。 今天我带大家来看一下客房的定制皮具。 到底应该怎么选。 像定制的皮具。 还有洗手间的定制的亚克力或树脂系列的。 我们这两个系列必须要结合。 考虑到房间的装修风格。 包括整体的一个颜色搭配。 我们选择杂建的时候会注重几个点。 一个是它的材料。 看上去是不是足够有质感。 其次就是它的工艺跟细节。 这样子你搭配在房间的话才能起到加分的作用。 如果你也在选择客房的杂建。 却不知道怎么搭配。 你可以私信我 我来帮你解决。,https://www.douyin.com/video/7425440387608710435,True,00:00:35,视频,1728870086
1062600915828281,聚美优棉-酒店布草批发（蔡蓉）,2025-08-25 16:55:03,7426177243178650932,南宁的迪拜七星酒店大家一定很熟悉...草 #南宁布草 #聚美优棉 #迪拜七星,2024-10-16 09:20:58,"['酒店布草', '南宁布草', '聚美优棉', '迪拜七星']",聚美优棉-酒店布草批发（蔡蓉）,93,3,14,66,"['旅游', '酒店/民宿', '']",Hello 大家好 我是蔡蓉。 我在管西兰宁做酒店布草。 我们今天来到的这个酒店。 你肯定看到过也听到过。 我们上去看一下前几个月。 刚补货的布草的使用情况吧。 像这种奢华的装修风格的酒店。 你是不是很少见。 你看一下它的壁画。 还有它的吊灯。 还有它这些金碧辉煌的家具。 这一批的布草是前几个月做的一次补货。 手感跟密度还是跟之前一样的。 如果你也是正在营业的酒店。 有需要补布草的。 你可以在评论区下私信我。 我给你一个非常有性价比的方案。,https://www.douyin.com/video/7426177243178650932,True,00:00:33,视频,1729041658
